UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,YRREC,AGE
69IN00001,1968103051,68,2,U3051,0,,,,,,,,,,2,,,,,,,,117,,3,,,,10,0602,,,,,,,,,1969,1.0
69IN00002,1968103052,68,2,U3052,0,,,,,,,,,,2,,,,,,,,162,,6,,,,10,0718,,,,,,,,,1969,1.0
69IN00003,1968103053,68,2,U3053,0,,,,,,,,,,2,,,,,,,,150,,3,,,,10,0602,,,,,,,,,1969,1.0
69IN00004,1968103054,68,2,U3054,0,,,,,,,,,,2,,,,,,,,188,,,,,,10,,,,,,,,,,1969,1.0
69IN00005,1968103055,68,2,U3055,0,,,,,,,,,,2,,,,,,,,126,,3,,,,10,0602,,,,,,,,,1969,1.0
69IN00006,1968103056,68,2,U3056,0,,,,,,,,,,2,,,,,,,,158,,,,,,10,,,,,,,,,,1969,1.0
69IN00007,1968103058,68,2,U3058,0,,,,,,,,,,2,,,,,,,,126,,6,,,,10,0815,,,,,,,,,1969,1.0
69IN00008,1968103059,68,2,U3059,0,,,,,,,,,,2,,,,,,,,127,,3,,,,10,0804,,,,,,,,,1969,1.0
69IN00009,1968103060,68,2,U3060,0,,,,,,,,,,2,,,,,,,,139,,9,,,,10,0730,,,,,,,,,1969,1.0
69IN00010,1968103061,68,2,U3061,0,,,,,,,,,,2,,,,,,,,,,6,,,,10,0306,,,,,,,,,1969,1.0
69IN00011,1968103062,68,2,U3062,0,,,,,,,,,,2,,,,,,,,145,,9,,,,10,0730,,,,,,,,,1969,1.0
69IN00012,1968103063,68,2,U3063,0,,,,,,,,,,2,,,,,,,,168,,,,,,10,,,,,,,,,,1969,1.0
69IN00013,1968103064,68,2,U3064,0,,,,,,,,,,2,,,,,,,,152,,3,,,,10,0929,,,,,,,,,1969,1.0
69IN00014,1968103065,68,2,U3065,0,,,,,,,,,,2,,,,,,,,116,,3,,,,10,1117,,,,,,,,,1969,1.0
69IN00015,1968103066,68,2,U3066,0,,,,,,,,,,2,,,,,,,,202,,3,,,,10,1020,,,,,,,,,1969,1.0
69IN00016,1968103067,68,2,U3067,0,,,,,,,,,,2,,,,,,,,145,,3,,,,10,0602,,,,,,,,,1969,1.0
69IN00017,1968103068,68,2,U3068,0,,,,,,,,,,2,,,,,,,,148,,3,,,,10,0804,,,,,,,,,1969,1.0
69IN00018,1968103069,68,2,U3069,0,,,,,,,,,,2,,,,,,,,118,,3,,,,10,1013,,,,,,,,,1969,1.0
69IN00019,1968103070,68,2,U3070,0,,,,,,,,,,2,,,,,,,,143,,3,,,,10,1020,,,,,,,,,1969,1.0
69IN00020,1968103071,68,2,U3071,0,,,,,,,,,,2,,,,,,,,155,,9,,,,10,0730,,,,,,,,,1969,1.0
