UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,GOK,YRREC,AGE
70IN00001,1967880807,67,1,00807,D,,,,,,,,,,4,88,,,242,,,,140,140,2,,,,88,0926,,,,,,,,,,1970,3.0
70IN00002,1968880042,68,1,00042,D,,,,,,,,,,3,88,,,243,,,,121,170,2,,,,88,0926,,,0068,,,,,,,1970,2.0
70IN00003,1969310092,69,1,10092,1,,,,,,,,,,2,07,,,,,,,98,110,,,,,31,,,,,,,,,,,1970,1.0
70IN00004,1964840514,64,2,N0514,8,,214,,,,,,,,7,03,3,,,086,,,138,,6,,093,052,84,0711,129,3,247748,,,974380,,01,,1970,6.0
70IN00005,1964840525,64,2,N0525,8,,175,,,,,,,,7,02,2,,,121,,,,,6,,083,055,84,0303,153,2,726041,,,935980,,01,,1970,6.0
70IN00006,1964840556,64,2,N0556,8,,105,,,,,,,,7,01,1,,,085,,,137,,3,,113,047,84,0727,101,4,690841,,,912480,,02,,1970,6.0
70IN00007,1964840557,64,2,N0557,8,,105,,,,,,,,7,01,1,,,096,,,,,6,,123,053,84,0226,105,7,690841,,,912480,,02,,1970,6.0
70IN00008,1964840649,64,2,N0649,8,,035,,,,,,,,7,02,2,,,103,,,158,,3,,081,045,84,0727,122,2,740141,,,942080,,01,,1970,6.0
70IN00009,1964840713,64,2,N0713,8,,095,,,,,,,,7,03,3,,,093,,,,,6,,102,042,84,0127,089,2,638641,,,962080,,,,1970,6.0
70IN00010,1964840809,64,2,N0809,8,,024,,,,,,,,7,02,2,,,100,,,150,,3,,101,050,84,0727,115,3,743641,,,930280,,02,,1970,6.0
70IN00011,1964840835,64,2,N0835,8,,135,,,,,,,,7,03,3,,,113,,,152,,3,,118,068,84,0727,151,5,666341,,,967780,,02,,1970,6.0
70IN00012,1964840894,64,2,N0894,8,,804,,,,,,,,7,02,2,,,097,,,141,,3,,078,050,84,0727,139,2,688341,,,940980,,02,,1970,6.0
70IN00013,1964840937,64,2,N0937,8,,154,,,,,,,,7,02,2,,,103,,,,,6,,102,055,84,0509,129,4,771441,,,935180,,01,,1970,6.0
70IN00014,1964841009,64,2,N1009,8,,154,,,,,,,,7,01,1,,,103,,,,,6,,097,057,84,0514,139,4,771441,,,915180,,,,1970,6.0
70IN00015,1968950001,68,1,00001,9,,,,,,,,,,3,95,,,,,,,146,,,,,,95,,,,1084,,,,,,,1970,2.0
70IN00016,1964841085,64,3,N1085,8,,,,,,,,,,7,02,,,,,,,,,6,,,,84,0510,,,,,,,,,,1970,6.0
70IN00017,1965841231,65,2,N1231,,,,,,,,,,,6,00,,,,,,,151,150,,,,,84,,,,,,,,,02,,1970,5.0
70IN00018,1965841232,65,2,N1232,,,,,,,,,,,6,00,,,,,,,154,,,,,,84,,,,,,,,,,,1970,5.0
70IN00019,1965841233,65,2,N1233,,,,,,,,,,,6,00,,,,,,,101,,,,,,84,,,,,,,,,,,1970,5.0
70IN00020,1964862210,64,2,H2210,8,,098,,,,,,,,7,04,4,,,113,,,157,,6,,101,057,86,0530,139,6,548661,,,921980,,02,,1970,6.0
70IN00021,1964862217,64,2,H2217,8,,808,,,,,,,,7,04,4,,,123,,,145,,3,,109,063,86,0727,144,5,567761,,,922880,,02,,1970,6.0
70IN00022,1964862233,64,2,H2233,8,,068,,,,,,,,7,06,6,,,093,,,140,,6,,112,048,86,0730,092,5,489561,,,978480,,01,,1970,6.0
70IN00023,1964862238,64,2,H2238,8,,748,,,,,,,,7,05,5,,,117,,,176,,3,,105,057,86,0727,137,3,559661,,,949680,,02,,1970,6.0
70IN00024,1969950004,69,1,00004,9,,,,,,,,,,2,95,,,,,,,108,,,,,,95,,,,2302,,,,,,,1970,1.0
70IN00025,1964862311,64,2,H2311,8,,118,,,,,,,,7,05,5,,,096,,,,,6,,116,052,86,0327,112,4,000796,,,940180,,02,,1970,6.0
70IN00026,1964862353,64,2,H2353,8,,038,,,,,,,,7,05,5,,,110,,,167,,3,,110,060,86,0727,142,4,490661,,,952180,,02,,1970,6.0
70IN00027,1964862355,64,2,H2355,8,,028,,,,,,,,7,05,5,,,103,,,,,6,,093,056,86,0503,138,3,543361,,,949480,,02,,1970,6.0
70IN00028,1964862385,64,2,H2385,8,,038,,,,,,,,7,04,4,,,117,,,144,,3,,102,051,86,0727,118,2,490661,,,929180,,01,,1970,6.0
70IN00029,1964862397,64,2,H2397,8,,808,,,,,,,,7,06,6,,,098,,,152,,3,,093,042,86,0727,096,3,567761,,,960080,,02,,1970,6.0
70IN00030,1969950005,69,1,00005,9,,,,,,,,,,2,95,,,,,,,120,,,,,,95,,,,2413,,,,,,,1970,1.0
70IN00031,1969950002,69,1,00002,9,,,,,,,,,,2,95,,,,,,,143,,,,,,95,,,,2433,,,,,,,1970,1.0
70IN00032,1969950003,69,1,00003,9,,,,,,,,,,2,95,,,,,,,107,,,,,,95,,,,2454,,,,,,,1970,1.0
70IN00033,1964862458,64,2,H2458,8,,089,,,,,,,,7,06,6,,,098,,,165,,3,,104,044,86,0727,097,4,534361,,,977880,,02,,1970,6.0
70IN00034,1967102673,67,1,U2673,0,,,,,,,,,,4,07,,2,,170,08,,178,195,3,,094,,10,0803,198,5,,,,,,,,1970,3.0
70IN00035,1968102771,68,1,U2771,0,,,,,,,,,,3,07,,2,,150,09,,185,250,3,,104,,10,0803,153,4,,,,,,,,1970,2.0
70IN00036,1968422838,68,2,T2838,4,78,,4,,,,,,,3,02,7,1,780,103,07,02,103,148,,,126,,42,,122,5,968541,,,,,01,,1970,2.0
70IN00037,1963813063,63,2,Y3063,8,,,,,,,,,,8,07,,,,,,,163,,3,,,  4,81,0727,,,,,,,,02,,1970,7.0
70IN00038,1965813074,65,2,Y3074,8,,,,,,,,,,6,07,,,,,,,173,,3,,,,81,0727,,,,,,,,02,,1970,5.0
70IN00039,1968423149,68,1,T3149,4,70,,,,,,,,,3,02,,,210,,,,170,210,2,,,,42,0926,,,,,,,,,,1970,2.0
70IN00040,1963813156,63,2,Y3156,8,,,,,,,,,,8,07,,,,,,,124,,3,,,,81,0727,,,,,,,,01,,1970,7.0
70IN00041,1968103256,68,1,U3256,0,,,,,,,,,,3,08,,2,,100,13,,182,185,,,068,,10,,078,3,,,,,,,,1970,2.0
70IN00042,1968103264,68,1,U3264,0,,,,,,,,,,3,07,,2,,096,10,,150,185,,,072,,10,,072,2,,,,,,,,1970,2.0
70IN00043,1968103267,68,1,U3267,0,,,,,,,,,,3,08,,1,,098,10,,195,192,,,067,,10,,067,3,,,,,,,,1970,2.0
70IN00044,1968103270,68,1,U3270,0,,,,,,,,,,3,02,,1,,097,09,,163,180,3,,065,,10,0803,068,2,,,,,,,,1970,2.0
70IN00045,1963813286,63,2,Y3286,8,,,,,,,,,,8,09,,,,,,,124,,6,,,,81,0803,,,,,,,,01,,1970,7.0
70IN00046,1968103288,68,1,U3288,0,,,,,,,,,,3,02,,2,,093,09,,180,190,,,076,,10,,078,2,,,,,,,,1970,2.0
70IN00047,1968103295,68,1,U3295,0,,,,,,,,,,3,08,,2,,073,09,,143,144,3,,068,,10,0803,056,3,,,,,,,,1970,2.0
70IN00048,1963813332,63,2,Y3332,8,,,,,,,,,,8,08,,,,,,,139,,3,,,  5,81,0727,,,,,,,,02,,1970,7.0
70IN00049,1963813382,63,2,Y3382,8,,,,,,,,,,8,09,,,,,,,,,6,,,  6,81,0601,,,,,,,,01,,1970,7.0
70IN00050,1963813554,63,2,Y3554,8,,,,,,,,,,8,07,,,,,,,124,,3,,,  4,81,0727,,,,,,,,02,,1970,7.0
70IN00051,1963813615,63,2,Y3615,8,,,,,,,,,,8,07,,,,,,,,,6,,,  4,81,0127,,,,,,,,,,1970,7.0
70IN00052,1965813620,65,2,Y3620,,,,,,,,,,,6,00,,,,,,,138,,,,,,81,,,,,,,,,,,1970,5.0
70IN00053,1965813621,65,2,Y3621,,,,,,,,,,,6,00,,,,,,,110,,,,,,81,,,,,,,,,,,1970,5.0
70IN00054,1965813622,65,2,Y3622,,,,,,,,,,,6,00,,,,,,,98,,,,,,81,,,,,,,,,,,1970,5.0
70IN00055,1965813623,65,2,Y3623,,,,,,,,,,,6,00,,,,,,,87,,,,,,81,,,,,,,,,,,1970,5.0
70IN00056,1965813624,65,2,Y3624,,,,,,,,,,,6,00,,,,,,,106,,,,,,81,,,,,,,,,,,1970,5.0
70IN00057,1965813625,65,2,Y3625,,,,,,,,,,,6,00,,,,,,,103,,,,,,81,,,,,,,,,,,1970,5.0
70IN00058,1965813651,65,2,Y3651,,,,,,,,,,,6,00,,,,,,,128,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00059,1965813652,65,2,Y3652,,,,,,,,,,,6,00,,,,,,,168,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00060,1965813653,65,2,Y3653,,,,,,,,,,,6,00,,,,,,,133,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00061,1965813654,65,2,Y3654,,,,,,,,,,,6,00,,,,,,,130,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00062,1965813655,65,2,Y3655,,,,,,,,,,,6,00,,,,,,,,,6,,,,81,0220,,,,,,,,,,1970,5.0
70IN00063,1965813656,65,2,Y3656,,,,,,,,,,,6,00,,,,,,,115,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00064,1965813657,65,2,Y3657,,,,,,,,,,,6,00,,,,,,,140,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00065,1965813658,65,2,Y3658,,,,,,,,,,,6,00,,,,,,,98,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00066,1965813659,65,2,Y3659,,,,,,,,,,,6,00,,,,,,,156,,3,,,,81,0707,,,,,,,,,,1970,5.0
70IN00067,1965813660,65,2,Y3660,,,,,,,,,,,6,00,,,,,,,120,,3,,,,81,0601,,,,,,,,,,1970,5.0
70IN00068,1965813661,65,2,Y3661,,,,,,,,,,,6,00,,,,,,,,,6,,,,81,0305,,,,,,,,,,1970,5.0
70IN00069,1965813662,65,2,Y3662,,,,,,,,,,,6,00,,,,,,,153,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00070,1965813663,65,2,Y3663,,,,,,,,,,,6,00,,,,,,,133,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00071,1965813664,65,2,Y3664,,,,,,,,,,,6,00,,,,,,,140,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00072,1965813665,65,2,Y3665,,,,,,,,,,,6,00,,,,,,,113,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00073,1965813666,65,2,Y3666,,,,,,,,,,,6,00,,,,,,,133,,3,,,,81,0707,,,,,,,,,,1970,5.0
70IN00074,1965813667,65,2,Y3667,,,,,,,,,,,6,00,,,,,,,162,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00075,1965813668,65,2,Y3668,,,,,,,,,,,6,00,,,,,,,118,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00076,1965813669,65,2,Y3669,,,,,,,,,,,6,00,,,,,,,122,,3,,,,81,0707,,,,,,,,,,1970,5.0
70IN00077,1965813670,65,2,Y3670,,,,,,,,,,,6,00,,,,,,,152,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00078,1965813671,65,2,Y3671,,,,,,,,,,,6,00,,,,,,,125,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00079,1965813672,65,2,Y3672,,,,,,,,,,,6,00,,,,,,,140,,3,,,,81,0707,,,,,,,,,,1970,5.0
70IN00080,1965813673,65,2,Y3673,,,,,,,,,,,6,00,,,,,,,133,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00081,1965813674,65,2,Y3674,,,,,,,,,,,6,00,,,,,,,116,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00082,1965813675,65,2,Y3675,,,,,,,,,,,6,00,,,,,,,110,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00083,1965813676,65,2,Y3676,,,,,,,,,,,6,00,,,,,,,123,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00084,1965813677,65,2,Y3677,,,,,,,,,,,6,00,,,,,,,149,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00085,1965813678,65,2,Y3678,,,,,,,,,,,6,00,,,,,,,174,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00086,1965813679,65,2,Y3679,,,,,,,,,,,6,00,,,,,,,140,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00087,1965813680,65,2,Y3680,,,,,,,,,,,6,00,,,,,,,135,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00088,1965813681,65,2,Y3681,,,,,,,,,,,6,00,,,,,,,128,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00089,1965813682,65,2,Y3682,,,,,,,,,,,6,00,,,,,,,133,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00090,1965813683,65,2,Y3683,,,,,,,,,,,6,00,,,,,,,162,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00091,1965813684,65,2,Y3684,,,,,,,,,,,6,00,,,,,,,136,,3,,,,81,0707,,,,,,,,,,1970,5.0
70IN00092,1965813685,65,2,Y3685,,,,,,,,,,,6,00,,,,,,,133,,3,,,,81,0707,,,,,,,,,,1970,5.0
70IN00093,1965813686,65,2,Y3686,,,,,,,,,,,6,00,,,,,,,115,,3,,,,81,0707,,,,,,,,,,1970,5.0
70IN00094,1965813687,65,2,Y3687,,,,,,,,,,,6,00,,,,,,,128,,3,,,,81,0707,,,,,,,,,,1970,5.0
70IN00095,1965813688,65,2,Y3688,,,,,,,,,,,6,00,,,,,,,103,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00096,1965813689,65,2,Y3689,,,,,,,,,,,6,00,,,,,,,142,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00097,1965813690,65,2,Y3690,,,,,,,,,,,6,00,,,,,,,,,6,,,,81,0421,,,,,,,,,,1970,5.0
70IN00098,1965813691,65,2,Y3691,,,,,,,,,,,6,00,,,,,,,145,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00099,1965813692,65,2,Y3692,,,,,,,,,,,6,00,,,,,,,147,,3,,,,81,0615,,,,,,,,,,1970,5.0
70IN00100,1965813693,65,2,Y3693,,,,,,,,,,,6,00,,,,,,,123,,3,,,,81,0707,,,,,,,,,,1970,5.0
