UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,YRREC,AGE
73IN00001,1972011320,72,3,P1320,7,00,,,,,,,,,2,30,,,,,,,107,130,,,,,01,,,,,,,,,,1973,1.0
73IN00002,1972011356,72,3,P1356,4,00,,,,,,,,,2,02,,,,,,,96,130,3,,,,01,1001,,,,,,,,,1973,1.0
73IN00003,1969310001,69,2,10001,1,,11,,,,,,,,5,07,,,11,,,01,156,150,,,,,31,,,,,,,,,,1973,4.0
73IN00004,1969310006,69,2,10006,1,,11,,,,,,,,5,07,,,56,,,02,157,175,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00005,1969310007,69,2,10007,1,,11,,,,,,,,5,07,,,56,,,02,158,170,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00006,1969310024,69,2,10024,1,,11,,,,,,,,5,07,,,12,,,02,163,185,,,,,31,,,,,,,,,,1973,4.0
73IN00007,1969310029,69,2,10029,1,,11,,,,,,,,5,07,,,38,,,02,144,154,,,,,31,,,,,,,,,,1973,4.0
73IN00008,1969310039,69,2,10039,1,,,,,,,,,,5,07,,,,,,,,,,,,,31,,,,,,,,,,1973,4.0
73IN00009,1969310042,69,2,10042,1,,11,,,,,,,,5,07,,,56,,,01,143,142,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00010,1969310046,69,2,10046,1,,11,,,,,,,,5,07,,,56,,,02,108,140,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00011,1969310049,69,2,10049,1,,11,,,,,,,,5,07,,,56,,,03,151,165,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00012,1969310059,69,2,10059,1,,11,,,,,,,,5,07,,,56,,,03,152,158,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00013,1969310066,69,2,10066,1,,,,,,,,,,5,07,,,,,,,,,,,,,31,,,,,,,,,,1973,4.0
73IN00014,1969310073,69,2,10073,1,,12,,,,,,,,5,07,,,38,,,03,129,158,,,,,31,,,,,,,,,,1973,4.0
73IN00015,1969310082,69,2,10082,1,,12,,,,,,,,5,07,,,12,,,03,171,185,,,,,31,,,,,,,,,,1973,4.0
73IN00016,1969310089,69,2,10089,1,,10,,,,,,,,5,07,,,,,,,,,7,,,,31,0529,,,,,,,,,1973,4.0
73IN00017,1969310095,69,2,10095,1,,10,,,,,,,,5,07,,,11,,,02,117,146,,,,,31,,,,,,,,,,1973,4.0
73IN00018,1969310096,69,2,10096,1,,10,,,,,,,,5,07,,,12,,,02,136,150,,,,,31,,,,,,,,,,1973,4.0
73IN00019,1969310101,69,2,10101,1,,10,,,,,,,,5,07,,,56,,,03,136,160,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00020,1969310113,69,2,10113,1,,10,,,,,,,,5,07,,,56,,,02,131,140,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00021,1969310124,69,2,10124,1,,10,,,,,,,,5,07,,,11,,,,133,,,,,,31,,,,,,,,,,1973,4.0
73IN00022,1969310126,69,2,10126,1,,10,,,,,,,,5,07,,,56,,,03,138,145,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00023,1969310127,69,2,10127,1,,10,,,,,,,,5,07,,,12,,,04,127,135,,,,,31,,,,,,,,,,1973,4.0
73IN00024,1969310137,69,2,10137,1,,10,,,,,,,,5,07,,,11,,,,149,,,,,,31,,,,,,,,,,1973,4.0
73IN00025,1969310148,69,2,10148,1,,10,,,,,,,,5,07,,,56,,,02,130,132,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00026,1970310174,70,2,10174,1,,11,,,,,,,,4,07,,,55,,,03,115,130,2,,,,31,0920,,,,,,,,,1973,3.0
73IN00027,1970310186,70,2,10186,1,,11,,,,,,,,4,07,,,55,,,02,110,150,2,,,,31,0920,,,,,,,,,1973,3.0
73IN00028,1970310229,70,2,10229,1,,11,,,,,,,,4,07,,,12,,,04,126,114,,,,,31,,,,,,,,,,1973,3.0
73IN00029,1970310243,70,2,10243,1,,12,,,,,,,,4,07,,,55,,,02,152,172,2,,,,31,0920,,,,,,,,,1973,3.0
73IN00030,1970310257,70,1,10257,1,,,,,,,,,,4,07,,,,143,13,,210,215,3,,,,31,0801,136,2,,,,,,,1973,3.0
73IN00031,1970310258,70,2,10258,1,,11,,,,,,,,4,07,,,55,,,03,118,132,2,,,,31,0920,,,,,,,,,1973,3.0
73IN00032,1970310278,70,2,10278,1,,13,,,,,,,,4,07,,,12,,,03,136,170,,,,,31,,,,,,,,,,1973,3.0
73IN00033,1970310296,70,2,10296,1,,02,,,,,,,,4,07,,,11,,,01,118,138,,,,,31,,,,,,,,,,1973,3.0
73IN00034,1970310320,70,2,10320,1,,01,,,,,,,,4,07,,,12,,,,135,,,,,,31,,,,,,,,,,1973,3.0
73IN00035,1970310321,70,1,10321,1,,,,,,,,,,4,07,,,,130,,,207,205,3,,,,31,0801,071,3,,,,,,,1973,3.0
73IN00036,1970310326,70,2,10326,1,,01,,,,,,,,4,07,,,12,,,02,132,170,,,,,31,,,,,,,,,,1973,3.0
