UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,C14,SEA,PD,RGRP,ELG,STM,TBR,ADAM,JAW,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,CAUSE,XVET,YRREC
76IN00001,1970370001,70,2,70001,,,29,,1,,,,30,,70,,,, 21,,, 1,116,122,,70,,,37,,,,000008,5,,000609,,,1976
76IN00002,1969340008,69,2,40008,,,15,,1,,,,02,,80,,,, 16,,,02,136,138,,76,,,34,,,,000004,,,065604,,,1976
76IN00003,1969390011,69,2,90011,,,09,,1,,,,51,,,,,, 20,,,02,118,144,6,75,,,39,1026,,,000195,,,329601,40,,1976
76IN00004,1969380012,69,2,80012,,,22,,1,3,,,08,,,,,,,,,11,151,130,,,,,38,,,,000008,,,052504,,,1976
76IN00005,1969380014,69,2,80014,,,22,,1,3,,,08,,,,,,,,, 2,166,156,3,,,,38,1122,,,000008,3,,101104,93,,1976
76IN00006,1969380016,69,2,80016,,,22,,1,,,,08,,80,,,, 19,,,02,166,160,,75,,,38,,,,000008,,,075904,,,1976
76IN00007,1969390018,69,2,90018,, 2,09,,1,,,,51,,80,,,, 12,,,01,104,128,,73,,,39,,,,000195,,,325901,,,1976
76IN00008,1969340018,69,2,40018,,,15,,1,,,,02,,80,,,, 14,,,04,178,170,,76,,,34,,,,000004,,,109104,,,1976
76IN00009,1969380019,69,2,80019,, 2,23,,1,,,,08,,80,,,, 08,,,02,164,168,,73,,,38,,,,000008,,,095804,,,1976
76IN00010,1969390021,69,2,90021,,,09,,1,,,,51,,80,,,, 24,,,02,106,120,,70,,,39,,,,000195,,,336601,,,1976
76IN00011,1969380031,69,2,80031,,,23,,1,,,,08,,80,,,, 23,,,02,186,188,,71,,,38,,,,000008,,,109404,,,1976
76IN00012,1970390041,70,2,90041,,,09,,1,3,,,51,,,,,,,,,03,114,112,,,,,39,,,,000095,,,430801,,,1976
76IN00013,1970390043,70,2,90043,, 1,09,,1,,,,51,,70,,,, 11,,,03,143,152,,74,,,39,,,,000095,,,379001,,,1976
76IN00014,1969340043,69,2,40043,,,15,,1,,,,02,,80,,,, 16,,,01,181,190,,76,,,34,,,,000004,,,068504,,,1976
76IN00015,1969380047,69,2,80047,,,23,,1,,,,08,,,,,,,,,,,,6,,,,38,0414,,,000008,,,103604,43,-,1976
76IN00016,1969380049,69,2,80049,, 1,23,,1,,,,08,,80,,,, 05,,,04,137,148,,74,,,38,,,,000008,,,101504,,,1976
76IN00017,1969380054,69,2,80054,,,23,,1,,,,08,,80,,,, 23,,,04,185,170,,70,,,38,,,,000008,,,079304,,,1976
76IN00018,1970390057,70,2,90057,,,09,,1,,,,51,,,,,,,,,,,,6,,,,39,0511,,,000095,,,393601,24,,1976
76IN00019,1969380058,69,2,80058,, 1,23,,1,,,,08,,80,,,, 07,,,03,157,152,,74,,,38,,,,000008,,,349301,,,1976
76IN00020,1970390059,70,2,90059,,,09,,1,,,,51,,,,,,,,,,,,6,,,,39,0330,,,000095,,,423901,01,,1976
76IN00021,1969380060,69,2,80060,, 1,22,,1,,,,08,,,,,, 05,,,03,177,162,6,,,,38,1015,,,000008,,,089404,01,,1976
76IN00022,1970390066,70,2,90066,,,09,,1,,,,51,,70,,,, 20,,,03,128,138,,75,,,39,,,,000095,,,400201,,,1976
76IN00023,1969310073,69,2,10073,,,11,,1,,,,07,,80,,,, 13,,,02,123,126,,76,,,31,,,,000001,,,288001,,,1976
76IN00024,1969340082,69,2,40082,,,15,,2,,,,02,,75,,,, 15,,,02,166,160,,76,,,34,,,,000004,,,084604,,,1976
76IN00025,1969340084,69,2,40084,,,15,,2,,,,02,,75,,,, 13,,,04,144,152,,76,,,34,,,,000004,,,051404,,,1976
76IN00026,1970390085,70,2,90085,,,09,,1,,,,51,,70,,,, 25,,,03,124,138,,71,,,39,,,,000095,,,384601,,,1976
76IN00027,1970390089,70,2,90089,, 2,09,,1,,,,51,,70,,,, 10,,,03,157,162,,73,,,39,,,,000095,,,360201,,,1976
76IN00028,1970340094,70,2,40094,,,16,,1,,,,02,,70,,,, 14,,,02,169,145,,76,,,34,,,,004504,,,072404,,,1976
76IN00029,1969310096,69,2,10096,,,10,,2,,,,07,,75,,,, 14,,,03,141,142,,76,,,31,,,,000001,,,370501,,,1976
76IN00030,1970390097,70,2,90097,,,09,,1,,,,51,,70,,,, 24,,,03,146,151,,70,,,39,,,,000095,,,419901,,,1976
76IN00031,1969380099,69,2,80099,,,22,,1,,,,08,,80,,,, 19,,,02,156,152,,75,,,38,,,,000008,,,049604,,,1976
76IN00032,1970390102,70,2,90102,,,09,,1,,,,51,,,,,,,,,,,,7,,,,39,0528,,,000095,,,386501,97,,1976
76IN00033,1969380103,69,2,80103,,,22,,1,,,,08,,,,,,,,,,,,7,,,,38,0528,,,000008,,,101704,97,,1976
76IN00034,1970390104,70,2,90104,,,09,,1,,,,51,,,,,, 24,,,02,99,105,5,,,,39,1117,,,000095,,,417201,95,,1976
76IN00035,1969380105,69,2,80105,,,23,,1,,,,08,,80,,,, 23,,,02,180,167,,71,,,38,,,,000008,,,083104,,,1976
76IN00036,1969380106,69,2,80106,,,23,,1,,,,08,,80,,,, 19,,,02,146,167,,75,,,38,,,,000008,,,055704,,,1976
76IN00037,1970390107,70,2,90107,,,09,,1,,,,51,,70,,,, 25,,,02,125,146,,71,,,39,,,,000095,,,368401,,,1976
76IN00038,1970390111,70,2,90111,, 1,09,,1,,,,51,,70,,,, 09,,,03,106,116,,74,,,39,,,,000095,,,389401,,,1976
76IN00039,1970340114,70,2,40114,,,26,,1,,,,02,,70,,,, 15,,,03,211,183,,76,,,34,,,,000004,,,329804,,,1976
76IN00040,1970390116,70,2,90116,, 2,09,,1,,,,51,,70,,,, 12,,,02,137,142,,73,,,39,,,,000095,,,392801,,,1976
76IN00041,1970340119,70,2,40119,,,16,,1,3,,,02,,,,,,,,,02,108,100,5,,,,34,1027,,,004504,,,059404,95,,1976
76IN00042,1970390120,70,2,90120,,,09,,1,,,,51,,70,,,, 20,,,02,168,163,,75,,,39,,,,000095,,,402501,,,1976
76IN00043,1970340123,70,2,40123,,,15,,1,,,,02,,70,,,, 16,,,04,169,174,,76,,,34,,,,000904,,,108804,,,1976
76IN00044,1969310127,69,2,10127,,,10,,2,,,,07,,,,,,,,,,,,6,,,,31,0405,,,000001,,,395801,50,-,1976
