UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,BRAND,C34,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
79IN00001,1972011686,72,2,P1686,,76,11,,1,,3,0,,,,,,,,,,198,,3,,07,,01,0806,,032101,K,,387501,93,,1979
79IN00002,1975013673,75,2,P3673,,76,05,,1,1,,0,,,1,50,,491,   7,, 2,170,189,,,01,,01,,,149004,8,,167201,,,1979
79IN00003,1976014881,76,2,P4881,,76, 01,,1,,3,0,,,3,,,,,,,144,,5,,01,,01,1015,,351804,K,,124101,95,,1979
79IN00004,1976014935,76,2,P4935,,76, 03,,1,,,0,,,1,40,, 01,,,,152,177,,,01,,01,,,320204,8,,215801,,3,1979
79IN00005,1976015048,76,2,P5048,,76, 01,,1,,3,0,,,1,,,,,,,179,,5,,01,,01,1015,,351804,K,,009601,95,,1979
79IN00006,1977015691,77,2,P5691,,76, 15,,1,2,,0,,,3,,, 46,,, 1,126,142,2,,01,,01,0920,,413204,8,,124101,92,,1979
79IN00007,1977015750,77,2,P5750,,76, 14,,1,2,,0,,,3,,, 46,,, 2,122,120,2,,01,,01,0920,,460704,8,,197901,92,,1979
79IN00008,1977016025,77,2,P6025,,76, 13,,1,,,0,,,5,30,,491,   7,, 2,129,143,,,01,,01,,,472404,8,,271201,,,1979
79IN00009,1978016517,78,2,P6517,,76,012,,1,2,,0,,,5,,, 46,,, 2,117,122,2,,01,,01,0920,,368304,8,,124101,92,,1979
79IN00010,1969340008,69,2,40008,,76,15,,1,,3,0,,,,,,,,,,,,6,,02,,34,0427,,000004,*,,065604,95,,1979
79IN00011,1971010715,71,2,P0715,,76,17,,1,3,,0,,,,,,,,, 4,164,164,,,02,,01,,,000904,8,,063904,,,1979
79IN00012,1971011218,71,2,P1218,,76,05,,2,3,,0,,,,,,,,, 3,131,134,,,02,,01,,,000004,8,,000704,,,1979
79IN00013,1972011405,72,2,P1405,,76,17,,1,1,,0,,,,80,,491,   7,, 2,148,152,,,02,,01,,,014804,8,,009404,,,1979
79IN00014,1972011421,72,2,P1421,,76,17,,1,1,,0,,,,80,,491,   7,, 3,161,185,,,02,,01,,,014804,8,,103604,,,1979
79IN00015,1972011448,72,2,P1448,,76,16,,1,1,,0,,,,80,,492,   8,, 4,164,180,,,02,,01,,,011504,8,,327104,,,1979
79IN00016,1972011523,72,2,P1523,,76,15,,1,1,,0,,,,80,,492,   8,,,189,,,,02,,01,,,009104,8,,104504,,,1979
79IN00017,1972011527,72,2,P1527,,76,15,,1,1,,0,,,,80,,491,   7,, 2,159,175,,,02,,01,,,009104,8,,326104,,,1979
79IN00018,1972011571,72,2,P1571,,76,16,,1,3,,0,,,,80,,492,   8,,,159,,,,02,,01,,,011504,8,,080104,,,1979
79IN00019,1972011576,72,2,P1576,,76,17,,1,1,,0,,,,80,,493,   9,, 2,164,188,,,02,,01,,,014804,8,,080304,,,1979
79IN00020,1972011696,72,2,P1696,,76,17,,1,3,,0,,,,80,,491,   7,,,174,,,,02,,01,,,014804,8,,329804,,,1979
79IN00021,1972011753,72,2,P1753,,76,17,,1,1,,0,,,,80,,492,   8,, 2,157,162,,,02,,01,,,014804,8,,012004,,,1979
79IN00022,1972011888,72,2,P1888,,76,04,,2,,,0,,,,75,, 01,,,,149,154,,,02,,01,,,000004,8,,008204,,4,1979
79IN00023,1972011903,72,2,P1903,,76,04,,2,2,,0,,,,,,,,, 2,174,170,,,02,,01,,,000004,8,,090404,,,1979
79IN00024,1972011967,72,2,P1967,,76,03,,2,1,,0,,,,75,,493,   9,, 2,151,155,,,02,,01,,,000004,8,,007504,,,1979
79IN00025,1973012011,73,2,P2011,,76,17,,1,1,,0,,,,70,,491,   7,,,166,,,,02,,01,,,000904,8,,006904,,,1979
79IN00026,1973012173,73,2,P2173,,76,16,,1,,,0,,,,70,, 02,,,,165,177,,,02,,01,,,011504,8,,326104,,3,1979
79IN00027,1973012236,73,2,P2236,,76,16,,1,1,,0,,,,70,,492,   8,,,177,,,,02,,01,,,011504,8,,101704,,,1979
79IN00028,1973012268,73,2,P2268,,76,15,,1,1,,0,,,,70,,493,   9,,,182,,,,02,,01,,,169704,8,,090404,,,1979
79IN00029,1973012269,73,2,P2269,,76,15,,1,1,,0,,,,70,,492,   8,,,132,,,,02,,01,,,169704,8,,090404,,,1979
79IN00030,1973012292,73,2,P2292,,76,17,,1,1,,0,,,,70,,491,   7,, 2,147,162,,,02,,01,,,000904,8,,084504,,,1979
79IN00031,1973012405,73,2,P2405,,76,15,,1,3,,0,,,,,,491,   7,,,166,,7,,02,,01,1025,,169704,8,,094004,97,,1979
79IN00032,1973012509,73,2,P2509,,76,17,,1,,,0,,,,70,, 03,,,,174,188,,,02,,01,,,000904,8,,327104,,4,1979
79IN00033,1973012588,73,2,P2588,,76,15,,1,3,,0,,,,,, 01,,,13,170,188,,,02,,01,,,169704,8,,008404,,,1979
79IN00034,1973012600,73,2,P2600,,76,551,,1,,,0,,,,70,, 01,,,,188,219,,,02,,01,,,144004,8,,142104,,3,1979
79IN00035,1973012694,73,2,P2694,,76,05,,2,3,,0,,,,,,,,,11,167,175,,,02,,01,,,144004,8,,017804,,,1979
79IN00036,1974012870,74,2,P2870,,76,17,,1,1,,0,,,1,60,,493,   9,, 2,170,189,,,02,,01,,,149004,8,,112504,,,1979
79IN00037,1974013023,74,2,P3023,,76,17,,1,3,,0,,,2,60,,492,   8,,,157,,,,02,,01,,,149004,8,,097704,,,1979
79IN00038,1974013080,74,2,P3080,,76,15,,1,1,,0,,,3,60,,493,   9,, 2,162,180,,,02,,01,,,190404,8,,001804,,,1979
79IN00039,1974013127,74,2,P3127,,76,17,,1,,,0,,,2,60,, 02,,,,148,173,,,02,,01,,,149004,8,,122904,,4,1979
79IN00040,1974013135,74,2,P3135,,76,17,,1,1,,0,,,2,60,,491,   7,,,147,,,,02,,01,,,149004,8,,071504,,,1979
79IN00041,1974013161,74,2,P3161,,76,15,,1,1,,0,,,1,60,,492,   8,, 2,165,174,,,02,,01,,,190404,8,,001604,,,1979
79IN00042,1974013191,74,2,P3191,,76,17,,1,2,,0,,,2,60,,493,   9,,,174,,,,02,,01,,,149004,8,,075604,,,1979
79IN00043,1974013205,74,2,P3205,,76,15,,1,3,,0,,,3,,,,,, 2,169,174,6,,02,,01,1210,,190404,8,,157604,01,,1979
79IN00044,1974013235,74,2,P3235,,76,16,,1,3,,0,,,1,,, 03,,,12,182,182,,,02,,01,,,248604,8,,013804,,,1979
79IN00045,1974013256,74,2,P3256,,76,15,,1,1,,0,,,2,60,,491,   7,,,162,,,,02,,01,,,190404,8,,008404,,,1979
79IN00046,1968103303,68,2,U3303,,76,15,,2,2,,0,,,,,,,,, 5,144,152,, 00,02,0,10,,,000004,8,,081204,,,1979
79IN00047,1974013452,74,2,P3452,,76,03,,2,,,0,,,,,,,,,,,,7,,02,,01,0525,,000004,*,,193804,97,,1979
79IN00048,1974013573,74,2,P3573,,76,02,,2,1,,0,,,,55,,492,   8,, 2,145,160,,,02,,01,,,000004,8,,142104,,,1979
79IN00049,1974013624,74,2,P3624,,76,02,,2,1,,0,,,,55,,493,   9,,,140,,,,02,,01,,,000004,8,,080304,,,1979
79IN00050,1975013651,75,2,P3651,,76,06,,1,,,0,,,2,50,, 01,,,,152,174,,,02,,01,,,320204,8,,171704,,4,1979
79IN00051,1975013734,75,2,P3734,,76,04,,1,1,,0,,,2,50,,491,   7,, 2,161,177,,,02,,01,,,144004,8,,013804,,,1979
79IN00052,1975013735,75,2,P3735,,76,04,,1,,3,0,,,2,,,,,,,177,,3,,02,,01,0806,,144004,K,,013804,93,,1979
79IN00053,1975013805,75,2,P3805,,76,04,,1,,3,0,,,2,,,,,,,147,,3,,02,,01,0806,,144004,K,,090804,93,,1979
79IN00054,1975013847,75,2,P3847,,76,06,,1,,,0,,,3,50,, 02,,,,127,168,,,02,,01,,,320204,8,,001804,,4,1979
79IN00055,1975013883,75,2,P3883,,76,05,,1,1,,0,,,2,50,,492,   8,,,161,,,,02,,01,,,149004,8,,229204,,,1979
79IN00056,1975013884,75,2,P3884,,76,04,,1,1,,0,,,3,50,,491,   7,, 2,162,184,,,02,,01,,,144004,8,,231304,,,1979
79IN00057,1975013890,75,2,P3890,,76,04,,1,,,0,,,1,50,, 03,,,,153,179,,,02,,01,,,144004,8,,316104,,3,1979
79IN00058,1975013919,75,2,P3919,,76,05,,1,,,0,,,3,50,, 01,,,,154,176,,,02,,01,,,149004,8,,308004,,3,1979
79IN00059,1975013923,75,2,P3923,,76,06,,1,1,,0,,,3,50,,493,   9,, 9,156,166,,,02,,01,,,320204,8,,013704,,,1979
79IN00060,1975013931,75,2,P3931,,76,06,,1,1,,0,,,3,50,,492,   8,, 2,139,126,,,02,,01,,,320204,8,,133004,,,1979
79IN00061,1975013957,75,2,P3957,,76,05,,1,1,,0,,,2,50,,492,   8,,,138,,,,02,,01,,,149004,8,,182604,,,1979
79IN00062,1975013990,75,2,P3990,,76,04,,1,,,0,,,2,50,, 02,,,,135,148,,,02,,01,,,144004,8,,079104,,4,1979
79IN00063,1975014048,75,2,P4048,,76,04,,1,,,0,,,2,,,,,,,152,,5,,02,,01,0618,,144004,8,,017804,95,,1979
79IN00064,1975014052,75,2,P4052,,76,06,,1,,,0,,,3,50,, 02,,,,172,194,,,02,,01,,,320204,8,,009404,,3,1979
79IN00065,1975014055,75,2,P4055,,76,06,,1,1,,0,,,2,50,, 11,,,,165,190,,,02,,01,,,320204,8,,223604,,,1979
79IN00066,1975014067,75,2,P4067,,76,04,,1,1,,0,,,2,50,,491,   7,,,176,,,,02,,01,,,144004,8,,000804,,,1979
79IN00067,1975014086,75,2,P4086,,76,05,,1,,,0,,,3,50,, 03,,,,169,195,,,02,,01,,,149004,8,,118804,,4,1979
79IN00068,1975014148,75,2,P4148,,76,05,,1,1,,0,,,2,50,,493,   9,, 2,162,179,,,02,,01,,,149004,8,,073304,,,1979
79IN00069,1975014183,75,2,P4183,,76,04,,1,,,0,,,2,,,,,,,,,6,,02,,01,0407,,144004,*,,008404,01,,1979
79IN00070,1975014194,75,2,P4194,,76,06,,1,1,,0,,,2,50,,492,   8,, 2,162,190,,,02,,01,,,320204,8,,123004,,,1979
79IN00071,1975014216,75,2,P4216,,76,04,,1,3,,0,,,3,,,,,, 2,157,156,,,02,,01,,,144004,8,,012004,,,1979
79IN00072,1975014220,75,2,P4220,,76,04,,1,2,,0,,,2,,, 47,,, 2,150,182,2,,02,,01,0920,,144004,8,,071504,92,,1979
79IN00073,1975014229,75,2,P4229,,76,05,,1,1,,0,,,3,50,,493,   9,, 2,132,144,,,02,,01,,,149004,8,,140504,,,1979
79IN00074,1975014294,75,2,P4294,,76,32,,1,,,0,,,1,,, 02,,,,152,,7,,02,,01,1018,,334504,8,,226904,97,3,1979
79IN00075,1975014389,75,2,P4389,,76,02,,2,1,,0,,,,45,,491,   7,, 2,144,165,,,02,,01,,,000004,8,,215204,,,1979
79IN00076,1975014432,75,2,P4432,,76,03,,2,,,0,,,,45,, 03,,,,130,143,,,02,,01,,,000004,8,,357304,,4,1979
79IN00077,1975014472,75,2,P4472,,76,03,,2,1,,0,,,,45,,492,   8,, 2,137,154,,,02,,01,,,000004,8,,009404,,,1979
79IN00078,1975014504,75,2,P4504,,76,03,,2,1,,0,,,,45,,493,   9,,,143,,,,02,,01,,,000004,8,,111004,,,1979
79IN00079,1976014599,76,2,P4599,,76, 01,,1,2,,0,,,2,,, 47,,, 2,157,174,2,,02,,01,0920,,351804,8,,066104,92,,1979
79IN00080,1976014645,76,2,P4645,,76, 02,,1,1,,0,,,2,40,,492,   8,,,146,,,,02,,01,,,248604,8,,302304,,,1979
79IN00081,1976014647,76,2,P4647,,76, 02,,1,,,0,,,2,40,, 01,,,,146,163,,,02,,01,,,248604,8,,001804,,3,1979
79IN00082,1976014668,76,2,P4668,,76, 01,,1,1,,0,,,2,40,,491,   7,,,164,,,,02,,01,,,351804,8,,013804,,,1979
79IN00083,1976014699,76,2,P4699,,76, 03,,1,2,,0,,,1,,, 47,,, 2,162,184,2,,02,,01,0920,,320204,8,,144804,92,,1979
79IN00084,1976014706,76,2,P4706,,76, 03,,1,3,,0,,,2,,,,,, 3,158,130,3,,02,,01,1001,,320204,8,,223604,93,,1979
79IN00085,1976014731,76,2,P4731,,76, 01,,1,2,,0,,,3,,, 47,,, 2,153,184,2, 00,02,0,01,0920,,351804,8,,012304,92,,1979
79IN00086,1976014842,76,2,P4842,,76, 02,,1,1,,0,,,2,40,,493,   9,,,129,,,,02,,01,,,248604,8,,229004,,,1979
79IN00087,1976014869,76,2,P4869,,76, 01,,1,1,,0,,,3,40,,491,   7,, 2,153,184,,,02,,01,,,351804,8,,201104,,,1979
79IN00088,1976014891,76,2,P4891,,76, 01,,1,2,,0,,,1,,, 47,,, 2,158,182,2,,02,,01,0920,,351804,8,,238904,92,,1979
79IN00089,1976014915,76,2,P4915,,76, 01,,1,,,0,,,1,40,, 02,,,,135,152,,,02,,01,,,351804,8,,320504,,3,1979
79IN00090,1976014946,76,2,P4946,,76, 02,,1,1,,0,,,3,40,,492,   8,, 2,155,166,,,02,,01,,,248604,8,,226804,,,1979
79IN00091,1976015009,76,2,P5009,,76, 01,,1,1,,0,,,3,40,, 11,,,,154,172,,,02,,01,,,351804,8,,192204,,,1979
79IN00092,1976015029,76,2,P5029,,76, 02,,1,,,0,,,1,,,,,,,,,7,,02,,01,0525,,248604,*,,227604,97,,1979
79IN00093,1976015057,76,2,P5057,,76, 03,,1,1,,0,,,2,40,,491,   7,, 2,144,148,,,02,,01,,,320204,8,,140504,,,1979
79IN00094,1976015086,76,2,P5086,,76, 33,,1,,,0,,,2,,,,,,,,,6,,02,,01,0316,,298604,*,,169604,01,,1979
79IN00095,1976015179,76,2,P5179,,76, 33,,1,2,,0,,,3,40,, 11,,,,167,183,, 00,02,0,01,,,298604,8,,319104,,,1979
79IN00096,1976015248,76,2,P5248,,76, 02,,2,,,0,,,,35,, 03,,,,145,187,,,02,,01,,,000004,8,,231304,,3,1979
79IN00097,1976015272,76,2,P5272,,76, 02,,2,,,0,,,,35,, 03,,,,129,155,,,02,,01,,,000004,8,,152704,,4,1979
79IN00098,1976015289,76,2,P5289,,76, 02,,2,2,,0,,,,,,493,   9,,,144,,7, 00,02,0,01,1025,,000004,8,,380504,97,,1979
79IN00099,1976015336,76,2,P5336,,76, 03,,2,,,0,,,,,,,,,,,,7,,02,,01,0525,,000004,*,,133004,97,,1979
79IN00100,1977015616,77,2,P5616,,76, 16,,1,1,,0,,,1,30,,491,   7,,,155,,,,02,,01,,,351804,8,,000804,,,1979
79IN00101,1977015630,77,2,P5630,,76, 14,,1,,,0,,,5,30,, 01,,,,120,146,,,02,,01,,,460704,8,,223604,,3,1979
79IN00102,1977015700,77,2,P5700,,76, 15,,1,2,,0,,,5,,, 46,,, 2,130,152,2,,02,,01,0920,,413204,8,,013804,92,,1979
79IN00103,1977015701,77,1,P5701,,76, 15,,1,,,0,,,5,,,,,,,,,3,,02,,01,0124,,413204,*,,013804,93,,1979
79IN00104,1977015758,77,2,P5758,,76, 15,,1,1,,0,,,5,30,,492,   8,, 1,134,142,, 00,02,0,01,,,413204,8,,373704,,,1979
79IN00105,1977015767,77,2,P5767,,76, 13,,1,1,,0,,,5,30,,493,   9,,,148,,,,02,,01,,,472404,8,,323504,,,1979
79IN00106,1977015768,77,2,P5768,,76, 13,,1,1,,0,,,5,30,,491,   7,, 2,128,144,,,02,,01,,,472404,8,,323504,,,1979
