UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
81IN00001,1971010525,71,2,P0525,,74,22,,1,,,0,,,,00,,,,,,,0,0,7,,30,,01,0614,,017608,*,,004309,97,,1981
81IN00002,1972011277,72,2,P1277,,71,10,,1,3,,0,,,,90,,,,,, 2,130,119,3,,51,,01,0928,,000695,1,,349301,93,,1981
81IN00003,1972011295,72,2,P1295,,75,21,,1,2,,0,,,,90,,151,,,, 2,163,162,3,,30,,01,0928,,020908,8,,001609,93,,1981
81IN00004,1972011320,72,3,P1320,,,23,,1,1,,0,,,,90,,,,,,,171,0,,,30,,01,,,017008,5,,005609,,,1981
81IN00005,1972011329,72,2,P1329,,71,09,,1,,,0,,,,90,,,,,,,0,0,6,,51,,01,0405,,000495,*,,390101,02,,1981
81IN00006,1972011339,72,2,P1339,,70,37,,1,,,0,,,,90,,,,,,,140,0,3,,30,,01,1102,,026408,3,,016909,93,,1981
81IN00007,1972011383,72,2,P1383,,70,23,,1,,,0,,,,90,,701,,,, 3,127,142,,,30,,01,,,017008,2,,001109,,,1981
81IN00008,1972011394,72,2,P1394,,74,22,,1,3,,0,1,,,90,,,,,,12,137,153,3,141,08,,01,1207,,017608,8,,001008,93,5,1981
81IN00009,1972011405,72,2,P1405,,49,17,,1,,,0,,,,90,,491,,40,, 2,126,132,,,02,,01,,,014804,2,,009404,,,1981
81IN00010,1972011416,72,2,P1416,,74,23,,1,,3,0,,,,90,,,,,,,142,0,3,,30,,01,0608,,017008,9,,010409,93,,1981
81IN00011,1972011421,72,2,P1421,,49,17,,1,,,0,,,,90,,493,,42,, 3,156,165,,,02,,01,,,014804,3,,103604,,,1981
81IN00012,1972011445,72,2,P1445,,73,22,,1,,,0,,,,90,,004,,,, 3,118,119,7,,08,,01,1019,,017708,7,,021208,97,,1981
81IN00013,1972011448,72,2,P1448,,49,16,,1,,,0,,,,90,,492,,41,, 3,153,145,,,02,,01,,,011504,3,,327104,,,1981
81IN00014,1972011461,72,2,P1461,,74,23,,1,3,,0,,,,90,,,,,, 3,133,143,3,,30,,01,0928,,017008,8,,013609,93,,1981
81IN00015,1972011474,72,2,P1474,,70,09,,1,2,,0,,,,90,,171,,,, 2,138,136,2,,51,,01,0917,,000495,1,,002401,92,,1981
81IN00016,1972011523,72,2,P1523,,49,15,,1,3,,0,,,,90,,,,,,12,148,137,3,145,02,,01,1207,,009104,2,,104504,93,2,1981
81IN00017,1972011541,72,2,P1541,,70,21,,1,3,,0,,,,90,,,,,, 2,109,107,3,110,30,,01,1207,,020908,1,,002609,93,,1981
81IN00018,1972011544,72,2,P1544,,75,22,,1,2,,0,,,,90,,167,,,, 2,122,118,3,,08,,01,0928,,017608,7,,019108,93,,1981
81IN00019,1972011562,72,2,P1562,,71,22,,1,2,,0,,,,90,,161,,,, 3,139,144,2,,30,,01,0917,,017708,2,,007709,92,,1981
81IN00020,1972011567,72,2,P1567,,74,23,,1,,,0,,,,90,,006,,,,,149,0,,,08,,01,,,017008,8,,022708,,,1981
81IN00021,1972011607,72,2,P1607,,73,22,,1,,,0,,,,90,,006,,,,,145,0,,,08,,01,,,017608,8,,012808,,,1981
81IN00022,1972011611,72,2,P1611,,71,09,,1,,,0,,,,90,,,,,,,122,0,7,,51,,01,0910,,000495,1,,005901,97,,1981
81IN00023,1972011656,72,2,P1656,,73,23,,1,2,,0,,,,90,,151,,,, 2,153,166,2,,30,,01,0917,,017008,8,,099009,92,,1981
81IN00024,1972011736,72,2,P1736,,74,37,,1,,,0,,,,90,,001,,,, 2,111,119,,113,30,,01,,,026408,8,,015709,,,1981
