UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
90IN00001,         0,00001,,88,1,,1,02,,6565JP,5051JP,,,1,1,,1,,,1,,M,210,244,,,,,,,,T-1,,,2,20,REG#47521,1990
90IN00002,1986030001,L0001,03,86,2,72,2,30,724,765602,337502,6,,1,,,, 2,163,1,,5,183,213, 2,,,,,,,,4,,F,35,,1990
90IN00003,1989100003,S0003,10,89,1,18,1,07,143,816219,694419,,,,,,0,,,2,158,Y,137,174,,C,+,,92,0920,,,,,,10,,1990
90IN00004,1988440004,T0004,44,88,2,40,1,02,401,780343,499443,,,,,,, 1,093,1,A-2,1,144,156, 2,A,,,,,F,T-5,3,2,2,20,,1990
90IN00005,1989100005,S0005,10,89,2,18,1,07,141,800619,821719,,,,,,, 1,070,1,,1,114,125, 1,B,,,,,,009,3,,1,10,WILD,1990
90IN00006,1988440005,T0005,44,88,1,40,1,02,401,780343,499443,2,,,,,,,,3,,X,176,0,,,,J,93,0529,,,,,,20,JIM'S RAMS,1990
90IN00007,1989100006,S0006,10,89,1,11,1,07,R2,831119,895919,,,,,,,,,3,,Y,159,181,,V,,,93,0806,,,,,,10,,1990
90IN00008,1986030007,L0007,03,86,2,83,2,30,733,761202,675501,7,,1,,,, 2,117,1,,1,162,176, 2,A,,,,,,332,3,,2,35,,1990
90IN00009,1988440007,T0007,44,88,2,48,1,02,  3,788943,872743,,,,,,, 2,129,3,X,1,134,144,12,B,,,93,1015,,,,,,20,BADBAG,1990
90IN00010,1989100008,S0008,10,89,1,11,1,07,111,891619,560419,,,,,,,,,1,,Y,138,177,,C,,,,,,,,,,10,,1990
90IN00011,1986030009,L0009,03,86,2,72,2,30,724,765602,606302,6,,1,,,, 2,187,1,,5,178,0,,,,,,,,,,,F,35,,1990
90IN00012,1989100009,S0009,10,89,1,11,1,07,111,891619,560419,,,,,,,,,1,,Y,174,207,,V,,,,,,001,,,1,10,,1990
90IN00013,1989100010,S0010,10,89,1,11,1,07,114,881719,788819,,,,,,0,,,2,157,Y,144,184,,V,,,92,0920,,,,,,10,SAVEIF?,1990
