UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,UREA,AGE,RMK,YRREC
95IN00001,         0,01574,,01574,92,1,TX,1,07,,,,0,,,2,137,M,218,236,0,,92,0921,C,,,,3.0,TEXAS RAM,1995
95IN00002,         0,01957,,01957,92,1,TX,1,07,,,,0,,,2,139,M,187,214,0,,92,0921,F,,,,3.0,TEXAS RAM,1995
95IN00003,         0,01958,,01958,92,1,TX,1,07,,,,0,,,2,138,M,212,240,0,,92,0921,F,,,,3.0,TEXAS RAM,1995
95IN00004,1993003004, 3004,00,   47,93,2,00,1,00,-Z-,000010,000000,7,,,1,30A,3,138,171,0,,,,,LIS,L,,2.0,,1995
95IN00005,1993003012, 3012,00, 1013,93,2,00,1,00,-Z-,000010,000000,7,,,1,31B,3,113,143,0,,,,,LIS,L,,2.0,,1995
95IN00006,1993003013, 3013,00, 4552,93,2,00,1,00,-Z-,000010,000000,7,,,2,34D,3,126,159,0,,92,1010,,LIS,L,,2.0,,1995
95IN00007,1993003018, 3018,00, 9085,93,2,00,1,00,-Z-,000010,000000,7,,,2,29A,3,114,133,0,,92,1010,,LIS,L,,2.0,,1995
95IN00008,1993003020, 3020,00,   78,93,2,00,1,00,-Z-,000010,000000,7,,,2,30A,3,137,166,0,,92,1010,,LIS,L,,2.0,,1995
95IN00009,1993003021, 3021,00, 1541,93,2,00,1,00,-Z-,000010,000000,7,,,2,31D,3,125,146,0,,92,1010,,LIS,L,,2.0,,1995
95IN00010,1993003025, 3025,00, 2037,93,2,00,1,00,-Z-,000010,000000,7,,,3,32A,3,109,134,0,,93,1023,,LIS,L,,2.0,X BAG,1995
95IN00011,1993003031, 3031,00,   61,93,2,00,1,00,-Z-,000010,000000,7,,,2,30A,3,113,142,0,,92,1010,,LIS,L,,2.0,,1995
95IN00012,1993003038, 3038,00, 4568,93,2,00,1,00,-Z-,000010,000000,7,,,2,34D,3,113,165,0,,92,1010,,LIS,L,,2.0,,1995
95IN00013,1993003048, 3048,00, 5083,93,2,00,1,00,-Z-,000010,000000,7,,,2,35A,3,90,140,0,,92,1010,,LIS,L,,2.0,,1995
95IN00014,1993003059, 3059,00, 2014,93,2,00,1,07,-Z-,000010,000000,7,,,1,32A,3,133,168,0,,,,,LIS,L,,2.0,,1995
95IN00015,1993003062, 3062,00, 9052,93,2,00,1,00,-Z-,000010,000000,7,,,2,29A,3,116,151,0,,92,1010,,LIS,L,,2.0,,1995
95IN00016,1993003064, 3064,00, 9015,93,2,00,1,00,-Z-,000010,000000,7,,,2,29A,3,121,164,0,,92,1010,,LIS,L,,2.0,,1995
95IN00017,1993003068, 3068,00,   27,93,2,00,1,00,-Z-,000010,000000,7,,,1,30A,3,129,141,0,,,,,LIS,L,,2.0,,1995
95IN00018,1993003075, 3075,00, 4547,93,2,00,1,00,-Z-,000010,000000,7,,,3,34D,3,121,143,0,,93,1023,,LIS,L,,2.0,X BAG,1995
95IN00019,1993003078, 3078,00, 9507,93,2,00,1,00,-Z-,000010,000000,7,,,3,29C,3,103,122,0,,93,1023,,LIS,L,,2.0,THIN! 062895,1995
95IN00020,1993003081, 3081,00, 5019,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,117,133,0,,,,,LIS,L,,2.0,,1995
95IN00021,1993003091, 3091,00, 9032,93,2,00,1,00,-Z-,000010,000000,7,,,2,29A,3,127,167,0,,92,1010,,LIS,L,,2.0,?PUKER,1995
95IN00022,1993003095, 3095,00,  553,93,2,00,1,00,-Z-,000010,000000,7,,,1,31A,3,134,184,0,,,,,LIS,L,,2.0,LOST TAG#502,1995
95IN00023,1993003103, 3103,00, 5054,93,2,00,1,00,-Z-,000010,000000,7,,,2,35A,3,110,169,0,,92,1010,,LIS,L,,2.0,,1995
95IN00024,1993003104, 3104,00, 4573,93,2,00,1,00,-Z-,000010,000000,7,,,2,34D,3,141,146,0,,92,1010,,LIS,L,,2.0,,1995
95IN00025,1993003110, 3110,00, 5517,93,2,00,1,00,-Z-,000010,000000,7,,,2,35C,3,133,148,0,,92,1010,,LIS,L,,2.0,,1995
95IN00026,1993003113, 3113,00,  570,93,2,00,1,00,-Z-,000010,000000,7,,,1,31B,3,116,142,0,,,,,LIS,L,,2.0,,1995
95IN00027,1993003114, 3114,00,   13,93,2,00,1,00,-Z-,000010,000000,7,,,2,30A,3,118,153,0,,92,1010,,LIS,L,,2.0,,1995
95IN00028,1993003118, 3118,00, 4015,93,2,00,1,00,-Z-,000010,000000,7,,,2,34A,3,119,160,0,,92,1010,,LIS,L,,2.0,,1995
95IN00029,1993003119, 3119,00, 2525,93,2,00,1,00,-Z-,000010,000000,7,,,2,32C,3,122,158,0,,92,1010,,LIS,L,,2.0,,1995
95IN00030,1993003125, 3125,00, 2067,93,2,00,1,00,-Z-,000010,000000,7,,,3,32A,3,108,178,0,,93,1023,,LIS,L,,2.0,X,1995
95IN00031,1993003138, 3138,00,  530,93,2,00,1,00,-Z-,000010,000000,7,,,2,31A,3,114,145,0,,92,1010,,LIS,L,,2.0,,1995
95IN00032,1993003139, 3139,00, 1528,93,2,00,1,00,-Z-,000010,000000,7,,,2,31D,3,123,155,0,,92,1010,,LIS,L,,2.0,,1995
95IN00033,1993003142, 3142,00, 1033,93,2,00,1,00,-Z-,000010,000000,7,,,3,OVX,3,102,157,0,X,,,,LIS,L,,2.0,X,1995
95IN00034,1993003143, 3143,00, 1545,93,2,00,1,00,-Z-,000010,000000,7,,,2,31D,3,111,169,0,,92,1010,,LIS,L,,2.0,,1995
