UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,SEMEN,BGRP,UREA,AGE,RMK,YRREC
96IN00001,1993003004, 3004,00,   47,93,2,00,1,00,-Z-,000010,000000,7,,,1,30A,3,187,165,0,,,,,,0,,,3.0,,1996
96IN00002,1993003012, 3012,00, 1013,93,2,00,1,00,-Z-,000010,000000,7,,,1,31B,3,156,137,0,,,,,,0,,,3.0,SICK 01/21/97,1996
96IN00003,1993003059, 3059,00, 2014,93,2,00,1,00,-Z-,000010,000000,7,,,1,32A,3,206,116,0,,93,1007,,,0,,,3.0,,1996
96IN00004,1993003068, 3068,00,   27,93,2,00,1,00,-Z-,000010,000000,7,,,1,30A,3,171,163,0,,,,,,0,,,3.0,,1996
96IN00005,1993003081, 3081,00, 5019,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,134,124,0,,,,,,0,,,3.0,,1996
96IN00006,1993003095, 3095,00,  553,93,2,00,1,00,-Z-,000010,000000,7,,,1,31A,3,208,161,0,,,,,,0,,,3.0,LOST TAG#502,1996
96IN00007,1993003113, 3113,00,  570,93,2,00,1,00,-Z-,000010,000000,7,,,1,31B,3,160,122,0,,76,1205,,,0,,,3.0,"DEAD, OPP",1996
96IN00008,1993003142, 3142,00, 1033,93,2,00,1,00,-Z-,000010,000000,2,,,3,OVX,*,0,0,0,X,,,,,0,,,3.0,OVX.,1996
96IN00009,1993003170, 3170,00, 4606,93,2,00,1,00,-Z-,000010,000000,2,,,3,OVX,*,0,0,0,X,,,,,0,,,3.0,OVX.,1996
96IN00010,1993003185, 3185,00, 2534,93,2,00,1,00,-Z-,000010,000000,7,,,1,32C,3,148,130,0,,,,,,0,,,3.0,,1996
96IN00011,1993003186, 3186,00, 5555,93,2,00,1,00,-Z-,000010,000000,7,,,1,35C,3,197,181,0,,,,,,0,,,3.0,,1996
96IN00012,1993003211, 3211,00, 5032,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,180,147,0,,,,,,0,,,3.0,,1996
96IN00013,1993003231, 3231,00, 2528,93,2,00,1,00,-Z-,000010,000000,7,,,1,32C,3,183,153,0,,93,1007,,,0,,,3.0,,1996
96IN00014,1993003232, 3232,00, 4504,93,2,00,1,00,-Z-,000010,000000,2,,,3,OVX,*,0,0,0,X,,,,,0,,,3.0,OVX.,1996
96IN00015,1993003237, 3237,00, 5053,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,178,156,0,,,,,,0,,,3.0,,1996
96IN00016,1993003244, 3244,00, 5504,93,2,00,1,00,-Z-,000010,000000,7,,,1,35C,3,165,129,0,,,,,,0,,,3.0,,1996
96IN00017,1993003255, 3255,00, 9023,93,2,00,1,00,-Z-,000010,000000,7,,,1,29A,3,184,141,0,,93,1007,,,0,,,3.0,,1996
96IN00018,1993003261, 3261,00, 5526,93,2,00,1,00,-Z-,000010,000000,7,,,1,35C,3,180,142,0,,,,,,0,,,3.0,GOOD EWE,1996
96IN00019,1993003274, 3274,00, 4016,93,2,00,1,00,-Z-,000010,000000,7,,,1,34A,3,162,146,0,,,,,,0,,,3.0,,1996
96IN00020,1993003282, 3282,00, 1066,93,2,00,1,00,-Z-,000010,000000,2,,,3,OVX,*,0,0,0,X,95,1126,,,0,,,3.0,OVX.,1996
96IN00021,1993003283, 3283,00,    5,93,2,00,1,00,-Z-,000010,000000,7,,,1,30A,3,199,167,0,,,,,,0,,,3.0,,1996
96IN00022,1993003288, 3288,00,  532,93,2,00,1,00,-Z-,000010,000000,7,,,1,31A,3,148,142,0,,,,,,0,,,3.0,,1996
96IN00023,1993003291, 3291,00, 2002,93,2,00,1,00,-Z-,000010,000000,7,,,1,32A,3,161,155,0,,,,,,0,,,3.0,,1996
96IN00024,1993003298, 3298,00, 5110,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,171,165,0,,,,,,0,,,3.0,,1996
96IN00025,1993003330, 3330,00, 5022,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,185,160,0,,,,,,0,,,3.0,,1996
96IN00026,1993003405, 3405,00, 4574,93,2,00,1,00,-Z-,000010,000000,7,,,1,34D,3,156,132,0,,,,,,0,,,3.0,,1996
96IN00027,1994000002,40002,00, 9530,94,2,00,1,00,,000010,952700,7,,,1,29C,3,149,136,0,,,,,,0,,,2.0,,1996
96IN00028,1994000003,40003,00, 9532,94,2,00,1,00,,000010,952800,7,,,1,29C,3,155,146,0,,,,,,0,,,2.0,,1996
96IN00029,1994000010,40010,00, 9102,94,2,00,1,00,,000010,907700,7,,,1,29A,3,115,158,0,,93,1202,,,0,,,2.0,,1996
96IN00030,1994000015,40015,00, 4626,94,2,00,1,00,,000010,460800,7,,,1,34D,3,149,130,0,,,,,,0,,,2.0,,1996
96IN00031,1994000029,40029,00, 9113,94,2,00,1,00,,000010,904200,7,,,1,29A,3,145,144,0,,,,,,0,,,2.0,,1996
96IN00032,1994000032,40032,00, 2106,94,2,00,1,00,,000010,203100,7,,,1,32A,3,118,122,0,,,,,,0,,,2.0,,1996
96IN00033,1994000037,40037,00, 2108,94,2,00,1,00,,000010,201900,7,,,1,32A,3,101,120,0,,93,1007,,,0,,,2.0,,1996
96IN00034,1994000039,40039,00, 1094,94,2,00,1,00,,000010,105600,7,,,1,31B,3,136,135,0,,,,,,0,,,2.0,WEAK,1996
96IN00035,1994000048,40048,00, 1093,94,2,00,1,00,,000010,100800,7,,,1,31B,3,141,156,0,,93,1202,,,0,,,2.0,,1996
96IN00036,1994000057,40057,00, 9095,94,2,00,1,00,,000010,903700,7,,,1,29A,3,119,163,0,,93,1202,,,0,,,2.0,,1996
96IN00037,1994000059,40059,00, 9089,94,2,00,1,00,,000010,905800,7,,,1,29A,3,138,147,0,,,,,,0,,,2.0,,1996
96IN00038,1994000087,40087,00,  556,94,2,00,1,00,,000010, 50600,7,,,1,31A,3,162,135,0,,,,,,0,,,2.0,,1996
96IN00039,1994000089,40089,00,  566,94,2,00,1,00,,000010, 54100,7,,,1,31A,3,148,165,0,,,,,,0,,,2.0,,1996
96IN00040,1994000106,40106,00, 5566,94,2,00,1,00,,000010,552800,7,,,1,35C,3,153,173,0,,,,,,0,,,2.0,,1996
