UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,SEMEN,BGRP,AGE,RMK,YRREC
97IN00001,1993003004, 3004,00,   47,93,2,00,1,00,-Z-,000010,000000,7,,,,3,,3,189,163,2,,93,1020,,,0,,4.0,XTHIN,1997
97IN00002,1993003012, 3012,00, 1013,93,2,00,1,00,-Z-,000010,000000,7,,,,6,,*,0,0,0,,76,0123,,,0,,4.0,SICK 01/21/97,1997
97IN00003,1993003068, 3068,00,   27,93,2,00,1,00,-Z-,000010,000000,7,,,,3,,3,194,148,3,,93,1020,,,0,,4.0,XTHIN,1997
97IN00004,1993003081, 3081,00, 5019,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,155,149,2,,,,,L15,0,3,4.0,,1997
97IN00005,1993003095, 3095,00,  553,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,190,168,3,,,,,L16,0,3,4.0,LOST TAG#502,1997
97IN00006,1993003142, 3142,00, 1033,93,2,00,1,00,-Z-,000010,000000,2,,,,6,OVX,*,0,0,0,X,95,0829,,,0,,4.0,OVX.,1997
97IN00007,1993003170, 3170,00, 4606,93,2,00,1,00,-Z-,000010,000000,2,,,,3,OVX,*,0,0,0,X,,,,,0,,4.0,OVX.,1997
97IN00008,1993003185, 3185,00, 2534,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,166,149,3,,,,,L17,0,3,4.0,,1997
97IN00009,1993003186, 3186,00, 5555,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,206,175,2,,,,,L18,0,3,4.0,,1997
97IN00010,1993003211, 3211,00, 5032,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,176,152,3,,,,,L19,0,3,4.0,,1997
97IN00011,1993003232, 3232,00, 4504,93,2,00,1,00,-Z-,000010,000000,2,,,,3,OVX,*,0,0,0,X,,,,,0,,4.0,"OVX,LAMBED-97",1997
97IN00012,1993003237, 3237,00, 5053,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,186,164,2,,,,,L20,0,3,4.0,,1997
97IN00013,1993003244, 3244,00, 5504,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,171,137,3,,,,,L21,0,3,4.0,,1997
97IN00014,1993003261, 3261,00, 5526,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,176,161,2,,,,,L15,0,3,4.0,GOOD EWE,1997
97IN00015,1993003274, 3274,00, 4016,93,2,00,1,00,-Z-,000010,000000,7,,,,6,,3,152,0,0,,01,0510,,,0,,4.0,,1997
97IN00016,1993003283, 3283,00,    5,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,202,186,3,,,,,L16,0,3,4.0,TR96=1,1997
97IN00017,1993003288, 3288,00,  532,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,153,141,2,,,,,L17,0,3,4.0,,1997
97IN00018,1993003291, 3291,00, 2002,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,184,168,3,,,,,L18,0,3,4.0,,1997
97IN00019,1993003298, 3298,00, 5110,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,170,190,2,,,,,L19,0,3,4.0,,1997
97IN00020,1993003330, 3330,00, 5022,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,191,167,3,,,,,L20,0,3,4.0,,1997
97IN00021,1993003405, 3405,00, 4574,93,2,00,1,00,-Z-,000010,000000,7,,,,6,,3,143,0,0,,76,0707,,,0,,4.0,"X,LARGE TEATS",1997
97IN00022,1994000002,40002,00, 9530,94,2,00,1,00,,000010,952700,7,,,,1,LIM,3,159,153,2,,,,,L21,0,3,3.0,,1997
97IN00023,1994000003,40003,00, 9532,94,2,00,1,00,,000010,952800,7,,,,1,LIM,3,173,178,3,,,,,L15,0,3,3.0,,1997
97IN00024,1994000015,40015,00, 4626,94,2,00,1,00,,000010,460800,7,,,,3,,3,175,151,2,,93,1020,,,0,,3.0,"X,THIN,WEAK",1997
97IN00025,1994000029,40029,00, 9113,94,2,00,1,00,,000010,904200,7,,,,1,LIM,3,169,169,3,,,,,L16,0,3,3.0,,1997
97IN00026,1994000032,40032,00, 2106,94,2,00,1,00,,000010,203100,7,,,,1,LIM,3,158,149,3,,,,,L17,0,3,3.0,,1997
97IN00027,1994000039,40039,00, 1094,94,2,00,1,00,,000010,105600,7,,,,1,LIM,3,162,155,2,,,,,L18,0,3,3.0,WEAK,1997
97IN00028,1994000059,40059,00, 9089,94,2,00,1,00,,000010,905800,7,,,,1,LIM,3,164,162,1,,,,,L19,0,3,3.0,,1997
97IN00029,1994000087,40087,00,  556,94,2,00,1,00,,000010, 50600,7,,,,1,LIM,3,184,161,2,,,,,L20,0,3,3.0,,1997
97IN00030,1994000089,40089,00,  566,94,2,00,1,00,,000010, 54100,7,,,,1,LIM,3,188,179,2,,,,,L21,0,3,3.0,,1997
97IN00031,1994000106,40106,00, 5566,94,2,00,1,00,,000010,552800,7,,,,3,,3,175,174,2,,93,1020,,,0,,3.0,"X,PRODUCTION",1997
97IN00032,1994000114,40114,00, 5565,94,2,00,1,00,,000010,554600,7,,,,1,LIM,3,143,137,4,,,,,L15,0,3,3.0,,1997
97IN00033,1994000147,40147,00, 1087,94,2,00,1,00,,000010,103500,7,,,,1,LIM,3,151,132,2,,,,,L16,0,3,3.0,,1997
97IN00034,1994000156,40156,00, 4030,94,2,00,1,00,,000010,402300,7,,,,1,LIM,3,137,131,2,,,,,L17,0,3,3.0,,1997
97IN00035,1994000163,40163,00, 4622,94,2,00,1,00,,000010,459600,7,,,,1,LIM,3,162,147,2,,,,,L18,0,3,3.0,,1997
97IN00036,1994000169,40169,00, 4635,94,2,00,1,00,,000010,451800,7,,,,3,,3,156,154,12,,93,1020,,,0,,3.0,X12BAG,1997
97IN00037,1994000171,40171,00, 4620,94,2,00,1,00,,000010,453500,7,,,,1,LIM,3,163,151,3,,,,,L19,0,3,3.0,,1997
97IN00038,1994000194,40194,00, 4621,94,2,00,1,00,,000010,451700,7,,,,1,LIM,3,167,162,2,,,,,L20,0,3,3.0,,1997
97IN00039,1994000196,40196,00, 9104,94,2,00,1,00,,000010,908200,7,,,,1,LIM,3,179,176,2,,,,,L21,0,3,3.0,,1997
97IN00040,1994000250,40250,00, 5148,94,2,00,1,00,,000010,509000,2,,,,3,OVX,*,0,0,0,X,,,,,0,,3.0,OVX,1997
97IN00041,1994000254,40254,00, 5143,94,2,00,1,00,,000010,501200,7,,,,1,LIM,3,171,130,3,,,,,L15,0,3,3.0,,1997
97IN00042,1994000259,40259,00, 5127,94,2,00,1,00,,000010,508000,7,,,,1,LIM,3,155,153,3,,,,,L16,0,3,3.0,,1997
97IN00043,1994000275,40275,00, 1572,94,2,00,1,00,,000010,155100,7,,,,1,LIM,3,165,143,3,,,,,L17,0,3,3.0,,1997
97IN00044,1994000279,40279,00, 1573,94,2,00,1,00,,000010,152700,7,,,,3,,3,184,161,3,,93,1020,,,0,,3.0,"X,SW.BAG,VLTS",1997
97IN00045,1994000285,40285,00,  580,94,2,00,1,00,,000010,402000,7,,,,1,LIM,3,129,128,2,,,,,L18,0,3,3.0,OLD4035NEW580,1997
97IN00046,1994000292,40292,00, 5136,94,2,00,1,00,,000010,510100,7,,,,1,LIM,3,169,168,2,,,,,L19,0,3,3.0,OPP? 01/09/96,1997
97IN00047,1994000294,40294,00, 5132,94,2,00,1,00,,000010,510800,7,,,,1,LIM,3,147,164,2,,,,,L20,0,3,3.0,TR96=2,1997
97IN00048,1994000304,40304,00,   85,94,2,00,1,00,,000010,  3300,7,,,,1,LIM,3,153,148,4,,,,,L21,0,3,3.0,,1997
97IN00049,1994000309,40309,00,   92,94,2,00,1,00,,000010,  6200,7,,,,1,LIM,3,157,154,3,,,,,L15,0,3,3.0,,1997
97IN00050,1994000310,40310,00,   91,94,2,00,1,00,,000010,  3500,7,,,,F,LIM,3,145,151,3,,,,,657,0,,3.0,FISTULA,1997
97IN00051,1994000314,40314,00,   94,94,2,00,1,00,,000010,   100,7,,,,6,,3,152,0,0,,16,0818,,,0,,3.0,,1997
97IN00052,1994000320,40320,00,  573,94,2,00,1,00,,000010,  7500,7,,,,1,LIM,3,164,151,2,,,,,L16,0,3,3.0,"OLD101,NEW573",1997
97IN00053,1994000332,40332,00,   97,94,2,00,1,00,,000010,   800,7,,,,1,LIM,3,145,137,3,,,,,L17,0,3,3.0,,1997
