UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,YRREC
05IN00001,2003303001, 3001,30, 3001,03,2,00,2,80,FL-,000081,688504,7,,,,6,RN,3,,0,0,0,,04,0513,F,,,1.5,POISON 5/13,SxP,,0,2005
05IN00002,2003303004, 3004,30, 3004,03,2,00,2,80,FL-,000081,837104,7,,,,1,RN,3,,184,185,2,,19,1222,F,r.3,3,1.5,,SxP,,0,2005
05IN00003,2003303006, 3006,30, 3006,03,2,00,2,80,FL-,000081,739304,7,,,,1,RN,3,,167,184,2,,,,F,r.4,3,1.5,,SxP,,0,2005
05IN00004,2003303007, 3007,30, 3007,03,2,00,2,80,FL-,000081,474004,7,,,,1,RN,5,,174,202,9,,,,F,r.1,3,1.5,,SxP,,0,2005
05IN00005,2003303010, 3010,30, 3010,03,2,00,2,80,FL-,000081,580604,7,,,,6,RN,*,,0,0,0,,14,0324,F,,,1.5,,SxP,,0,2005
05IN00006,2003303015, 3015,30, 3015,03,2,00,2,80,FL-,000081,721304,7,,,,1,RN,3,,185,187,2,,04,1214,F,r.1,3,1.5,,SxP,,0,2005
05IN00007,2003303016, 3016,30, 3016,03,2,00,2,80,FL-,000081,721304,7,,,,1,RN,3,,170,182,2,,,,F,r.2,3,1.5,,SxP,,0,2005
05IN00008,2003303021, 3021,30, 3021,03,2,00,2,33,FL-,000064,673204,7,,,,1,RN,3,,168,156,2,,,,F,r.3,3,1.5,,CxP,,0,2005
05IN00009,2003303022, 3022,30, 3022,03,2,00,2,33,FL-,000064,673204,7,,,,1,RN,3,,147,165,2,,,,F,r.3,3,1.5,,CxP,,0,2005
05IN00010,2003303025, 3025,30, 3025,03,2,00,2,80,FL-,000081,656504,7,,,,B,RN,B,,206,219,1,,93,0916,F,,,1.5,,SxP,,5426,2005
05IN00011,2003303031, 3031,30, 3031,03,2,00,2,80,FL-,000081,348104,7,,,,1,RN,3,,170,191,2,,,,F,r.2,3,1.5,,SxP,,0,2005
05IN00012,2003303032, 3032,30, 3032,03,2,00,2,80,FL-,000081,530404,7,,,,1,RN,3,,184,183,2,,,,F,r.4,3,1.5,,SxP,,0,2005
05IN00013,2003303033, 3033,30, 3033,03,2,00,2,80,FL-,000081,530404,7,,,,1,RN,3,,185,197,2,,,,F,r.3,3,1.5,ENTR,SxP,,0,2005
05IN00014,2003303035, 3035,30, 3035,03,2,00,2,80,FL-,000081,477704,7,,,,1,RN,5,,203,225,2,,,,F,Jar,3,1.5,,SxP,,0,2005
05IN00015,2003303036, 3036,30, 3036,03,2,00,2,33,FL-,000064,614604,7,,,,1,RN,3,,155,165,2,,,,F,r.1,3,1.5,,CxP,,0,2005
05IN00016,2003303037, 3037,30, 3037,03,2,00,2,80,FL-,000081,324804,7,,,,1,RN,3,,174,188,2,,,,F,r.1,3,1.5,,SxP,,0,2005
