UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
13IN00001,2005051393,H1393,05,H1393,05,2,88,1,30,e10,A9073,04,H1123,05,0,,,3,.,D,.,179,197,2,,93,1029,.,,,8.0,,Poly,,12939,1,,0.061,,2013
13IN00002,2005051520,H1520,05,H1520,05,2,83,1,30,04P,A9232,04,H0684,05,0,,,3,Flw,2,.,214,207,2,,93,1029,.,,,8.0,,Poly,,12831,1,,0.047,,2013
13IN00003,2005051525,H1525,05,H1525,05,2,83,1,30,04P,A9232,04,H0439,05,7,,,6,.,,.,0,0,0,,09,0325,L,,,8.0,DEAD,Life,Albmn,0,1,,0.056,,2013
13IN00004,2005051585,H1585,05,H1585,05,2,82,1,30,22P,A8879,04,A7259,04,7,,,3,.,H,.,186,174,2,,93,1029,L,,,8.0,LAME RT.F.LEG,Life,,12777,1,,0.049,,2013
13IN00005,2005051610,H1610,05,H1610,05,2,83,1,30,02P,A7896,04,A8780,04,7,,,3,.,H,.,171,164,2,,93,1029,L,,,8.0,OUT OF DRYS,Life,,12698,1,,0.034,,2013
13IN00006,2005051627,H1627,05,H1627,05,2,82,1,30,26P,A9153,04,A8371,04,7,,,3,.,2,.,156,157,2,,93,1029,L,,,8.0,INCR.RR<>INC.,Life,Albmn,12679,1,,0.05,,2013
13IN00007,2005051747,H1747,05,H1747,05,2,82,1,30,26P,A9153,04,A9683,04,0,,,3,Ctl,H,.,206,173,2,,93,1029,.,,,8.0,TOO BIG,Poly,,12763,1,,0.071,,2013
13IN00008,2005051761,H1761,05,H1761,05,2,82,1,30,15P,A8766,04,A8916,04,7,,,3,.,D,.,167,192,3,,93,1029,L,,,8.0,WARTS,Life,,12852,1,,0.072,,2013
13IN00009,2005051806,H1806,05,H1806,05,2,82,1,30,25P,A9897,04,A8522,04,0,,,3,Ctl,D,.,172,187,1,,93,1029,.,,,8.0,LAME RF ',Poly,,12916,1,,0.054,,2013
13IN00010,2005051809,H1809,05,H1809,05,2,82,1,30,24P,A9088,04,90687,09,7,,,3,.,H,.,213,173,3,,93,1029,L,,,8.0,NICE EWE,Life,,12767,1,,0.042,,2013
13IN00011,2005051822,H1822,05,H1822,05,2,82,1,30,24P,A9088,04,A9071,04,7,,,6,.,2,.,152,0,0,,42,0609,L,,,8.0,SNOT NOSE,Life,Albmn,0,1,,0.059,,2013
