UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,REASON,STAPL,CLFL,BRDNEW,C5457,GRFL,FLGR,C6263,SIRE,SB1,DAYDIS,C7378,AGE_BRDG,C80,YRREC,AGE
55IN00001,1946101624,46,2,U1624,0,68,,10,,,,,0,,,,621,,,,123,140,,93,,,,,,,,,,,,9,,1955,9.0
55IN00002,1946101625,46,2,U1625,0,68,,10,,,,,0,,,,399,,,,107,134,,,,,,,,,,,,,,9,,1955,9.0
55IN00003,1946101629,46,2,U1629,0,68,,10,,,,,0,,,,,,,,,,6,,,,,,,,,,,,   6,9,,1955,9.0
55IN00004,1947101631,47,2,U1631,0,68,,10,,,,,9,,,,,,,,,,6,,,,,,,,,,,,   6,8,,1955,8.0
55IN00005,1947101632,47,2,U1632,0,68,,10,,,,,9,,,,691,,,,116,147,,,,,,,,,,,,,,8,,1955,8.0
55IN00006,1948101636,48,2,U1636,0,68,,10,,,,,8,,,,,,,,118,,3,,,,,,,,,,,,,7,,1955,7.0
55IN00007,1948101638,48,2,U1638,0,68,,10,,,,,8,,,,479,,,,127,164,,,,,,,,,,,,,,7,,1955,7.0
55IN00008,1949101639,49,2,U1639,0,68,,10,,,,,7,,,,728,,,,111,128,,,,,,,,,,,,,,6,,1955,6.0
55IN00009,1949101640,49,2,U1640,0,68,,10,,,,,7,,,,,,,,,,6,,,,,,,,,,,,   6,6,,1955,6.0
55IN00010,1950101642,50,2,U1642,0,68,,10,,,,,6,,,,611,,,,115,156,,,,,,,,,,,,,,5,,1955,5.0
55IN04500,1948681011,48,2,B1011,8,61,,68,,,,,8,,,,,,,,125,150,2,11,,,,,,,,,,,,7,,1955,7.0
55IN04501,1948680993,48,2,B0993,8,61,030,68,,05,,,8,,8,1,016,081,11,,125,153,,,096,,,,088,5,,3567,4,,,7,,1955,7.0
55IN04502,1948680998,48,2,B0998,8,61,030,68,,05,,,8,,8,1,056,080,08,,150,158,,,087,,,,070,3,,3567,4,,,7,,1955,7.0
55IN04503,1947680821,47,2,B0821,8,61,032,68,,05,,,9,,8,1,086,087,11,,137,157,,,089,,,,092,5,,5740,6,,,8,,1955,8.0
55IN04504,1947680869,47,2,B0869,8,61,032,68,,06,,,9,,8,1,106,074,08,,126,151,,,090,,,,076,5,,5740,6,,,8,,1955,8.0
55IN04505,1948681020,48,2,B1020,8,61,032,68,,05,,,8,,8,1,046,090,06,,140,173,,,106,,,,116,5,,5740,6,,,7,,1955,7.0
55IN04506,1947680856,47,2,B0856,8,61,141,68,,05,,,9,,1,1,096,102,09,,175,208,,,109,,,,109,5,,5659,6,,,8,,1955,8.0
55IN04507,1951690415,51,2,L0415,9,61,170,69,,05,,,5,,4,1,036,097,08,,180,219,,,093,052,,,091,4,,7606,6,,,4,,1955,4.0
55IN04508,1952690416,52,2,L0416,9,73,156,69,,08,,,4,,9,1,713,100,06,,142,183,,,095,055,,,131,7,,8076,6,,,3,,1955,3.0
55IN04509,1953690419,53,2,L0419,9,73,176,69,,,,,3,,,,,,,,122,154,2,76,,,,,,,,,,,,2,,1955,2.0
