UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_BRDG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,REASON,STAPL,CLFL,BRDNEW,C5457,GRFL,FLGR,C6263,SIRE,SB1,DAYDIS,C7378,AGE_LMG,C80,YRREC,AGE
56IN00001,1946101624,46,2,U1624,0,68,,10,,,,,0,,,,,,,,122,,3,11,,,,,,,,,,0604,,-,,1956,10.0
56IN00002,1946101625,46,2,U1625,0,68,,10,,,,,0,,,,,,,,109,125,6,11,,,,,,,,,,1205,,-,,1956,10.0
56IN00003,1947101632,47,2,U1632,0,68,,10,,,,,9,,,,,,,,124,144,3,11,,,,,,,,,,0924,,0,,1956,9.0
56IN00004,1948101638,48,2,U1638,0,68,,10,,,,,8,,,,671,,,,126,144,,,,,,,,,,,,,,9,,1956,8.0
56IN00005,1949101639,49,2,U1639,0,68,,10,,,,,7,,,,,,,,115,124,2,11,,,,,,,,,,0927,,8,,1956,7.0
56IN00006,1950101642,50,2,U1642,0,68,,10,,,,,6,,,,,,,,121,136,2,11,,,,,,,,,,0927,,7,,1956,6.0
56IN00007,1950101643,50,2,U1643,0,68,,10,,,,,6,,,,671,,,,136,164,,,,,,,,,,,,,,7,,1956,6.0
56IN00008,1951101644,51,2,U1644,0,68,,10,,,,,5,,,,468,,,,136,166,,,,,,,,,,,,,,6,,1956,5.0
56IN00009,1951101645,51,2,U1645,0,68,,10,,,,,5,,,,328,,,,122,138,,,,,,,,,,,,,,6,,1956,5.0
56IN00010,1951101646,51,2,U1646,0,68,,10,,,,,5,,,,681,,,,133,160,,,,,,,,,,,,,,6,,1956,5.0
56IN04432,1955671808,55,2,01808,7,73,196,67,,07,,,1,,9,1,076,098,09,,98,130,,,116,062,,,123,5,,9207,6,,,2,,1956,1.0
56IN04433,1955671784,55,2,01784,7,75,156,67,,06,,,1,,9,1,016,095,07,,95,133,,,109,050,,,105,5,,9227,6,,,2,,1956,1.0
56IN04434,1947680821,47,2,B0821,8,61,,68,,05,,,9,,8,1,,087,11,,126,131,3,11,089,,,,092,5,,5740,6,1119,,0,,1956,9.0
56IN04435,1947680856,47,2,B0856,8,61,,68,,05,,,9,,1,1,,102,09,,170,192,2,11,109,,,,109,5,,5659,6,0927,,0,,1956,9.0
56IN04436,1947680869,47,2,B0869,8,61,,68,,,,,9,,,,,,,,119,,3,,,,,,,,,,,0604,,0,,1956,9.0
56IN04437,1948680993,48,2,B0993,8,61,,68,,05,,,8,,8,1,,081,11,,123,158,2,11,096,,,,088,5,,3567,4,0927,,9,,1956,8.0
56IN04438,1948681020,48,2,B1020,8,61,,68,,05,,,8,,8,1,,090,06,,148,164,2,11,106,,,,116,5,,5740,6,0927,,9,,1956,8.0
56IN04439,1948680998,48,2,B0998,8,61,030,68,,05,,,8,,8,1,026,080,08,,150,181,,,087,,,,070,3,,3567,4,,,9,,1956,8.0
56IN04440,1951690415,51,2,L0415,9,61,170,69,,05,,,5,,4,1,,097,08,,174,177,2,10,093,052,,,091,4,,7606,6,0927,,6,,1956,5.0
56IN04441,1952690416,52,2,L0416,9,73,156,69,,08,,,4,,9,1,,100,06,,172,185,2,10,095,055,,,131,7,,8076,6,0927,,5,,1956,4.0
