UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,SALE_LOT,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
59IN00001,1957910125,57,1,00125,1,,,91,,,,,3,,,,,,,,176,135,3,,,,91,0801,150,2,,,,,,,2,,1959,2.0
59IN00002,1957910126,57,1,00126,1,,,91,,,,,3,,,,,,,,144,153,3,,,,91,0801,133,2,,,,,,,2,,1959,2.0
59IN00003,1957910119,57,1,00119,1,,,91,,,,,3,,,,,,,,150,,,,,,91,,,,,,,,,,2,,1959,2.0
59IN00004,1958910123,58,1,00123,1,,,91,,,,,2,,,,,,,,160,,,,,,91,,,,,,,,,,1,,1959,1.0
59IN00005,1951101644,51,2,U1644,0,68,,10,,,,,9,,,,,,,,130,151,2,,,,10,0924,,,,,,    3,2,,8,,1959,8.0
59IN00006,1951101647,51,2,U1647,0,68,,10,,,,,9,,,,,,,,132,151,2,,,,10,0924,,,,,,   70,0,,8,,1959,8.0
59IN00007,1952101650,52,2,U1650,0,68,,10,,,,,8,,,,,,,,110,140,,,,,10,,,,,,,   50,8,,7,,1959,7.0
59IN00008,1952101653,52,2,U1653,0,68,,10,,,,,8,,,,,,,,126,138,3,,,,10,1218,,,,,,,,,7,,1959,7.0
59IN00009,1952101655,52,2,U1655,0,68,,10,,,,,8,,,,,,,,144,187,,,,,10,,,,,,,   49,8,,7,,1959,7.0
59IN00010,1952101666,52,2,U1666,0,68,,10,,,,,8,,,,,,,,133,162,,,,,10,,,,,,,   47,8,,7,,1959,7.0
59IN04736,1955671787,55,2,01787,7,73,106,67,3,08,,1,5,,9,1,,074,10,,139,149,,,102,049,67,,114,5,,9422,6,   08,6,,4,,1959,4.0
59IN04737,1955671788,55,2,01788,7,73,106,67,3,07,,8,5,,9,1,,095,09,,138,163,,,103,067,67,,135,5,,9422,6,   09,6,,4,,1959,4.0
59IN04738,1955671792,55,2,01792,7,73,046,67,3,06,,,5,,9,1,,093,08,,133,150,,,086,047,67,,116,3,,9150,6,   06,6,,4,,1959,4.0
59IN04739,1955671796,55,2,01796,7,73,036,67,3,07,,,5,,9,1,,095,06,,133,161,,,118,068,67,,150,6,,9171,6,   05,6,,4,,1959,4.0
59IN04740,1955671799,55,2,01799,7,73,126,67,3,06,,8,5,,9,1,,094,09,,140,162,,,098,051,67,,121,4,,8774,6,   04,6,,4,,1959,4.0
59IN04741,1955671805,55,2,01805,7,73,176,67,3,06,,,5,,9,1,,098,07,,140,145,,,100,051,67,,109,5,,9197,6,   01,6,,4,,1959,4.0
59IN04742,1955671806,55,2,01806,7,73,166,67,3,05,,,5,,1,1,,111,09,,146,149,,,110,058,67,,112,5,,8407,6,   03,6,,4,,1959,4.0
59IN04743,1955671808,55,2,01808,7,73,196,67,3,07,,,5,,9,1,,098,09,,140,170,,,116,062,67,,123,5,,9207,6,   02,6,,4,,1959,4.0
59IN04744,1955671809,55,2,01809,7,73,186,67,3,08,,,5,,9,1,,098,07,,137,167,,,096,039,67,,094,4,,9068,6,   07,6,,4,,1959,4.0
59IN04745,1955671814,55,2,01814,7,73,046,67,3,06,,,5,,9,1,,093,08,,108,124,,,105,045,67,,082,5,,9150,6,   10,6,,4,,1959,4.0
