UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AOD,DINBR,TM,HORN,BPEN,YRWT,FACE,FLUSHTRT,SPRGWT,FALLWT,DISP,FLUSHWT,STAPL,CLFL,PENTRT,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,AGE,ADAM,YRREC
61IN00001,1958809001,58,2,J9001,,61,,80,,,,,,,,3,014,,14,,,115,,,,,,,,,,,,,,3.0,4,1961
61IN00002,1958809002,58,2,J9002,,61,,80,,,,,,,,1,015,,14,,,114,,,,,,,,,,,,,,3.0,4,1961
61IN00003,1958809003,58,2,J9003,,61,,80,,,,,,,,1,028,,12,,,108,,,,,,,,,,,,,,3.0,4,1961
61IN00004,1958809005,58,2,J9005,,61,,80,,,,,,,,4,024,,14,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00005,1958809006,58,2,J9006,,61,,80,,,,,,,,1,014,,11,,,143,,,,,,,,,,,,,,3.0,4,1961
61IN00006,1958809007,58,2,J9007,,61,,80,,,,,,,,1,028,,12,,,114,,,,,,,,,,,,,,3.0,4,1961
61IN00007,1958809009,58,2,J9009,,61,,80,,,,,,,,1,029,,13,,,104,,,,,,,,,,,,,,3.0,4,1961
61IN00008,1958809010,58,2,J9010,,61,,80,,,,,,,,1,015,,09,,,126,,,,,,,,,,,,,,3.0,4,1961
61IN00009,1958809011,58,2,J9011,,61,,80,,,,,,,,1,024,,10,,,142,,,,,,,,,,,,,,3.0,4,1961
61IN00010,1958809012,58,2,J9012,,61,,80,,,,,,,,1,038,,13,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN05675,1955671788,55,2,01788,7,73,106,67,3,07,,,,,9,1,,095,09,,137,163,2,,103,067,,0928,135,5,942260,, 22,,,6.0,7,1961
61IN05676,1955671792,55,2,01792,7,73,046,67,3,06,,,,,9,1,,093,08,,157,160,2,,086,047,,0928,116,3,915060,, 22,,,6.0,7,1961
61IN05677,1955671796,55,2,01796,7,73,036,67,3,07,,,,,9,1,,095,06,,132,160,2,,118,068,,0928,150,6,917160,, 22,,,6.0,7,1961
61IN05678,1955671799,55,2,01799,7,73,126,67,3,06,,,,,9,1,,094,09,,143,163,2,,098,051,,0928,121,4,877460,, 22,,,6.0,7,1961
61IN05679,1955671805,55,2,01805,7,73,176,67,3,06,,,,,9,1,,098,07,2,145,162,5,,100,051,,1120,109,5,919760,,,,,6.0,7,1961
61IN05680,1955671806,55,2,01806,7,73,166,67,3,05,,,,,1,1,,111,09,,132,,6,,110,058,,0626,112,5,840760,,,,,6.0,7,1961
61IN05681,1955671808,55,2,01808,7,73,196,67,3,07,,,,,9,1,,098,09,8,155,148,5,,116,062,,1215,123,5,920760,,,,,6.0,7,1961
61IN05682,1955671809,55,2,01809,7,73,186,67,3,08,,,,,9,1,,098,07,,135,160,2,,096,039,,0928,094,4,906860,, 21,,,6.0,7,1961
61IN05683,1958809000,58,2,J9000,,61,,80,,,,,,,,1,018,,13,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN05684,1958960005,58,1,00005,6,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4,1961
