UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,REG,TYPE,INBR,TBR,ADAM,DINBR,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,C79,C80,YRREC,AGE
64IN00001,1956101952,56,2,U1952,0,41,601,,,,,,,9,,5,1,,100,09,,143,172,3,,089,058,10,1001,108,2,415011,2,,,,,,1964,8.0
64IN00002,1957102053,57,2,U2053,0,41,561,,,,,00,,8,,5,1,545,108,09,,150,164,,,080,059,10,,110,2,440911,1,,,,,,1964,7.0
64IN00003,1962102612,62,3,U2612,0,,,,,,,,,3,,,,,,,,,,,,,,10,,090,2,,,,,,,,1964,2.0
64IN00004,1962910137,62,1,00137,1,,,,,,,,,3,,,,,,,,178,221,3,,,,91,0810,,,,,,,,,,1964,2.0
64IN00005,1964910138,64,1,00138,1,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,1964,0.0
64IN00006,1963910139,63,1,00139,1,,,,,,,,,2,,,,,,,,,,,,,,91,,,,,,,,,,,1964,1.0
64IN00007,1954114199,54,2,R4199,1,23,230,,,,,22,,-,,1,4,230,079,15,,130,147,,,060, 27,11,,074,2,371511,2,,,,,,1964,10.0
64IN00008,1954114227,54,2,R4227,1,20,200,,,,,18,,-,,1,3,200,076,15,,130,142,,,073, 39,11,,083,2,345711,2,,,,,,1964,10.0
64IN00009,1954114294,54,2,R4294,1,27,270,,,,,26,,-,,1,3,270,081,13,,136,137,,,084, 46,11,,123,2,352011,8,,,,,,1964,10.0
64IN00010,1954114303,54,2,R4303,1,19,190,,,,,23,,-,,1,3,,080,15,,,,7,,077, 33,11,0525,077,2,376111,,,,,,,1964,10.0
64IN05447,1960809901,60,2,J9901,8,61,,,,,,,,5,,1,1,758,,10,,120,163,,,24,,80,,114,2,,3,,152 3,,,,1964,4.0
64IN05448,1959809902,59,2,J9902,8,61,,,,,,,,6,,2,1,268,,13,,129,145,,,23,,80,,096,3,,2,,138 6,,,,1964,5.0
64IN05449,1959809903,59,2,J9903,8,61,,,,,,,,6,,1,5,409,,09,,133,141,,,23,,80,,076,2,,3,,136 8,,,,1964,5.0
64IN05450,1959809904,59,2,J9904,8,61,,,,,,,,6,,1,1,618,,13,,120,150,,,24,,80,,127,5,,3,,143 7,,,,1964,5.0
64IN05451,1960809905,60,2,J9905,8,61,,,,,,,,5,,2,1,468,,08,,101,126,,,23,,80,,080,L,,3,,117 8,,,,1964,4.0
64IN05452,1959809906,59,2,J9906,8,61,,,,,,,,6,,1,4,269,,12,,110,113,,,23,,80,,111,2,,8,,106 2,,,,1964,5.0
64IN05453,1960809907,60,2,J9907,8,61,,,,,,,,5,,1,1,628,,12,,118,142,7,,23,,80,1118,080,2,,3,,,,,,1964,4.0
64IN05454,1960809908,60,2,J9908,8,61,,,,,,,,5,,1,5,438,,11,,118,129,,,23,,80,,084,2,,3,,127 3,,,,1964,4.0
64IN05455,1960809999,60,2,J9999,8,61,,,,,,,,5,,,,628,,,,131,141,,,,,80,,,,,,,134 8,,,,1964,4.0
64IN05456,1963900792,63,3,V0792,9,,,,,,,,,2,,,,,,,,138,166,3,,,,90,1110,,,,4,,,,,,1964,1.0
