UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,REG,TYPE,INBR,TBR,ADAM,DINBR,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,C79,C80,YRREC,AGE
68IN00001,1967841131,67,,N1131,8,,,,,,,,,2,,00,,,,,,,165,,3,,,,84,0909,,,,8,,,,,,1968,1.0
68IN00002,1967841132,67,,N1132,8,,,,,,,,,2,,00,,,,,,,155,,3,,,,84,0610,,,,9,,   11,,,,1968,1.0
68IN00003,1967841133,67,,N1133,8,,,,,,,,,2,,00,,,,,,,,,3,,,,84,0122,,,,,,   01,,,,1968,1.0
68IN00004,1967841134,67,,N1134,8,,,,,,,,,2,,00,,,,,,,,,3,,,,84,0122,,,,,,   01,,,,1968,1.0
68IN00005,1967841135,67,,N1135,8,,,,,,,,,2,,00,,,,,,,148,170,3,,,,84,0930,,,,3,,,,,,1968,1.0
68IN00006,1967841136,67,,N1136,8,,,,,,,,,2,,00,,,,,,,178,,3,,,,84,0930,,,,8,,,,,,1968,1.0
68IN00007,1967841137,67,,N1137,8,,,,,,,,,2,,00,,,,,,,160,,3,,,,84,0715,,,,8,,,,,,1968,1.0
68IN00008,1967841138,67,,N1138,8,,,,,,,,,2,,00,,,,,,,,,3,,,,84,0325,,,,,,,,,,1968,1.0
68IN00009,1967841139,67,,N1139,8,,,,,,,,,2,,00,,,,,,,,,3,,,,84,0325,,,,,,,,,,1968,1.0
68IN00010,1967841140,67,,N1140,8,,,,,,,,,2,,00,,,,,,,137,,3,,,,84,0610,,,,9,,   12,,,,1968,1.0
68IN05402,1965970252,65,1,00252,,97,,,,,,,,4,,97,,,,,,,,,,,,,97,,,,,,,,,,,1968,3.0
68IN05403,1965970253,65,1,00253,,97,,,,,,,,4,,97,,,,,,,,,,,,,97,,,,,,,,,,,1968,3.0
68IN05404,1965970254,65,1,00254,,97,,,,,,,,4,,97,,,,,,,,,,,,,97,,,,,,,,,,,1968,3.0
68IN05405,1965970255,65,1,00255,,97,,,,,,,,4,,97,,,,,,,,,,,,,97,,,,,,,,,,,1968,3.0
68IN05406,1965970256,65,1,00256,,97,,,,,,,,4,,97,,,,,,,,,,,,,97,,,,,,,,,,,1968,3.0
68IN05407,1965970257,65,1,00257,,97,,,,,,,,4,,97,,,,,,,,,,,,,97,,,,,,,,,,,1968,3.0
68IN05408,1965970258,65,1,00258,,97,,,,,,,,4,,97,,,,,,,,,,,,,97,,,,,,,,,,,1968,3.0
68IN05409,1965970259,65,1,00259,,97,,,,,,,,4,,97,,,,,,,,,,,,,97,,,,,,,,,,,1968,3.0
68IN05410,1965970260,65,1,00260,,97,,,,,,,,4,,97,,,,,,,,,,,,,97,,,,,,,,,,,1968,3.0
68IN05411,1965970261,65,1,00261,,97,,,,,,,,4,,97,,,,,,,,,,,,,97,,,,,,,,,,,1968,3.0
