UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,C14,SEA,PD,RGRP,ELG,STM,TBR,ADAM,TRT1,TRT2,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,CAUSE,XVET,YRREC
75IN00001,1969310073,69,2,10073,,,11,,1,,,,07,,,,,,, 32,,,,144,,,,,,31,,,,000001,,,288001,,,1975
75IN00002,1969310096,69,2,10096,,,10,,2,,,,07,,,,,,, 01,,,,108,,,,,,31,,,,000001,,,370501,,,1975
75IN00003,1969310127,69,2,10127,,,10,,2,,,,07,,,,,,, 02,,, 2,143,141,,,,,31,,,,000001,3,,395801,,,1975
75IN00004,1970310332,70,2,10332,,,01,,2,,,,07,,,,,,,,,,,164,,7,,,,31,0918,,,,,,,97,,1975
75IN00005,1971010946,71,2,P0946,,,11,,1,,,,07,,,,,,,,,,,127,,4,,,,01,,,,017601,,,399601,,,1975
75IN00006,1971011197,71,2,P1197,,,02,,1,,,,07,,,,,,,,,,,85,,7,,,,01,0918,,,000001,,,291801,97,,1975
75IN00007,1971011241,71,2,P1241,,,03,,2,,,,07,,,,,,, 01,,,,114,,,,,,01,,,,000001,,,006601,,,1975
75IN00008,1972011482,72,2,P1482,,,30,,1,,3,,07,,,,,,,,,, 2,123,156,4,,,,01,,,,013501,,,024301,,,1975
75IN00009,1972011672,72,2,P1672,,,31,,1,,,,07,,,,,,, 01,,,,133,,,,,,01,,,,003701,,,412201,,,1975
75IN00010,1972011686,72,2,P1686,,,11,,1,,,,07,,,,,,, 03,,,,155,,,,,,01,,,,032101,,,387501,,,1975
75IN05698,1971979982,71,2,V9982,,,,,,,,,97,,5,,,,,,,,,166,,,,,,97,,,,,,,,,,1975
75IN05699,1970979986,70,2,V9986,,,,,,,,,97,,6,,,,,,,,,150,,,,,,97,,,,,,,,,,1975
75IN05700,1967979987,67,2,V9987,,,,,,,,,97,,9,,,,,,,,,179,,,,,,97,,,,,,,,,,1975
75IN05701,1967979988,67,2,V9988,,,,,,,,,97,,9,,,,,,,,,246,,,,,,97,,,,,,,,,,1975
75IN05702,1972979991,72,2,V9991,,,,,,,,,97,,4,,,,,,,,,180,,,,,,97,,,,,,,,,,1975
75IN05703,1969979992,69,2,V9992,,,,,,,,,97,,7,,,,,,,,,144,,,,,,97,,,,,,,,,,1975
75IN05704,1967979994,67,2,V9994,,,,,,,,,97,,9,,,,,,,,,195,,,,,,97,,,,,,,,,,1975
75IN05705,1966979999,66,2,V9999,,,,,,,,,97,,0,,,,,,,,,166,,,,,,97,,,,,,,,,,1975
75IN05706,,,1,00001,,,,,,3,,,,,,,,,2,,,04,,294,311,3,,058,,,0721,,,,,,,93,,1975
75IN05707,,,1,00003,,,,,,3,,,,,,,,,1,,,06,,221,193,3,,076,,,0721,,,,,,,93,,1975
