UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,C3034,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
77IN00001,1976014929,76,2,P4929,,,8,,,,&,,,,2,1,,,,,,,5,,75,,01,0118,,000097,*,,406109,95,,1977
77IN00002,1976015204,76,3,P5204,,,337,,,,&,,,,1,1,,,,,,,5,,20,,01,0204,,000097,*,,170308,95,,1977
77IN00003,1969310073,69,2,10073,,76,11,,1,2,,0,,,,8,,,, 2,128,115,5,,07,,31,1017,,000001,8,,288001,95,,1977
77IN00004,1969310096,69,2,10096,,76,10,,2,2,,0,,,,8,,,, 1,124,143,5,,07,,31,1017,,000001,8,,370501,95,,1977
77IN00005,1971011241,71,2,P1241,,76,03,,2,,,0,,,,6,, 12,, 3,122,123,,,07,,01,,,000001,8,,006601,,,1977
77IN00006,1972011672,72,2,P1672,,76,31,,1,,,0,,,,5,, 11,, 3,152,146,,,07,,01,,,003701,3,,412201,,,1977
77IN00007,1972011686,72,2,P1686,,76,11,,1,,,0,,,,5,, 12,,10,180,203,,,07,,01,,,032101,8,,387501,,,1977
77IN00008,1972011979,72,2,P1979,,76,01,,2,,,0,,,,5,, 12,, 3,134,152,,,07,,01,,,000001,8,,266401,,,1977
77IN00009,1973012158,73,2,P2158,,76,12,,1,,,0,,,,4,, 15,, 3,146,148,,,07,,01,,,126101,8,,386101,,,1977
77IN00010,1973012488,73,2,P2488,,76,11,,1,,,0,,,,4,, 12,, 2,169,121,,,07,,01,,,121301,8,,326201,,,1977
77IN05402,1974979931,74,1,V9931,,,,,,1,,,,,2,3,,,,,210,251,,,97,,97,,,,M,,9992 7,,,1977
77IN05403,1974979934,74,1,V9934,,,,,,1,,,,,3,3,,,,,205,249,,,97,,97,,,,M,,9973 7,,,1977
77IN05404,1968979975,68,2,V9975,,,,,,,,,,,,9,,,,,168,,,,97,,97,,,,4,,,,,1977
77IN05405,1969979980,69,2,V9980,,,,,,,,,,,,8,,,,,156,,,,97,,97,,,,4,,,,,1977
77IN05406,1971979982,71,2,V9982,,,,,,,,,,,,6,,,,,,,6,,97,,97,0305,,,*,,,28,,1977
77IN05407,1970979986,70,2,V9986,,,,,,,,,,,,7,,,,,148,,,,97,,97,,,,4,,,,,1977
77IN05408,1967979988,67,2,V9988,,,,,,,,,,,,0,,,,,181,,,,97,,97,,,,4,,,,,1977
77IN05409,1972979991,72,2,V9991,,,,,,,,,,,,5,,,,,216,,,,97,,97,,,,4,,,,,1977
77IN05410,1969979992,69,2,V9992,,,,,,,,,,,,8,,,,,146,,6,,97,,97,0715,,,4,,,01,,1977
77IN05411,1967979994,67,2,V9994,,,,,,,,,,,,0,,,,,200,,,,97,,97,,,,4,,,,,1977
