UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,BRAND,C34,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
79IN00001,1972011686,72,2,P1686,,76,11,,1,,3,0,,,,,,,,,,198,,3,,07,,01,0806,,032101,K,,387501,93,,1979
79IN00002,1975013673,75,2,P3673,,76,05,,1,1,,0,,,1,50,,491,   7,, 2,170,189,,,01,,01,,,149004,8,,167201,,,1979
79IN00003,1976014881,76,2,P4881,,76, 01,,1,,3,0,,,3,,,,,,,144,,5,,01,,01,1015,,351804,K,,124101,95,,1979
79IN00004,1976014935,76,2,P4935,,76, 03,,1,,,0,,,1,40,, 01,,,,152,177,,,01,,01,,,320204,8,,215801,,3,1979
79IN00005,1976015048,76,2,P5048,,76, 01,,1,,3,0,,,1,,,,,,,179,,5,,01,,01,1015,,351804,K,,009601,95,,1979
79IN00006,1977015691,77,2,P5691,,76, 15,,1,2,,0,,,3,,, 46,,, 1,126,142,2,,01,,01,0920,,413204,8,,124101,92,,1979
79IN00007,1977015750,77,2,P5750,,76, 14,,1,2,,0,,,3,,, 46,,, 2,122,120,2,,01,,01,0920,,460704,8,,197901,92,,1979
79IN00008,1977016025,77,2,P6025,,76, 13,,1,,,0,,,5,30,,491,   7,, 2,129,143,,,01,,01,,,472404,8,,271201,,,1979
79IN00009,1978016517,78,2,P6517,,76,012,,1,2,,0,,,5,,, 46,,, 2,117,122,2,,01,,01,0920,,368304,8,,124101,92,,1979
79IN00010,1969340008,69,2,40008,,76,15,,1,,3,0,,,,,,,,,,,,6,,02,,34,0427,,000004,*,,065604,95,,1979
79IN05579,1974979919,74,2,V9919,,,,,,,,,,,2,60,,,,,,203,,,,97,,97,,,,B,,9981 7,,,1979
79IN05580,1974979922,74,2,V9922,,,,,,,,,,,3,60,,,,,,182,,,,97,,97,,,,B,,9983 7,,,1979
79IN05581,1974979924,74,1,V9924,,,,,,1,,,,,1,,,,,,,214,,,,97,,97,,,,M,,9999 7,,,1979
79IN05582,1974979927,74,1,V9927,,,,,,1,,,,,3,,,,,,,190,,,,97,,97,,,,M,,9977 7,,,1979
79IN05583,1974979930,74,2,V9930,,,,,,,,,,,3,60,,,,,,182,,,,97,,97,,,,B,,9984 7,,,1979
79IN05584,1974979931,74,1,V9931,,,,,,1,,,,,2,,,,,,,242,,,,97,,97,,,,M,,9992 7,,,1979
79IN05585,1974979934,74,1,V9934,,,,,,1,,,,,3,,,,,,,223,,,,97,,97,,,,M,,9973 7,,,1979
79IN05586,1969979980,69,2,V9980,,97,,,,,,,,,,,,,,,,110,,3,,97,,97,0611,,,B,,,93,,1979
79IN05587,1970979986,70,2,V9986,,97,,,,,,,,,,,,,,,,,,6,,97,,97,0214,,,*,,,15,,1979
79IN05588,1967979988,67,2,V9988,,97,,,,,,,,,,&0,,,,,,182,,,,97,,97,,,,B,,,,,1979
