UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
81IN00001,1971010525,71,2,P0525,,74,22,,1,,,0,,,,00,,,,,,,0,0,7,,30,,01,0614,,017608,*,,004309,97,,1981
81IN00002,1972011277,72,2,P1277,,71,10,,1,3,,0,,,,90,,,,,, 2,130,119,3,,51,,01,0928,,000695,1,,349301,93,,1981
81IN00003,1972011295,72,2,P1295,,75,21,,1,2,,0,,,,90,,151,,,, 2,163,162,3,,30,,01,0928,,020908,8,,001609,93,,1981
81IN00004,1972011320,72,3,P1320,,,23,,1,1,,0,,,,90,,,,,,,171,0,,,30,,01,,,017008,5,,005609,,,1981
81IN00005,1972011329,72,2,P1329,,71,09,,1,,,0,,,,90,,,,,,,0,0,6,,51,,01,0405,,000495,*,,390101,02,,1981
81IN00006,1972011339,72,2,P1339,,70,37,,1,,,0,,,,90,,,,,,,140,0,3,,30,,01,1102,,026408,3,,016909,93,,1981
81IN00007,1972011383,72,2,P1383,,70,23,,1,,,0,,,,90,,701,,,, 3,127,142,,,30,,01,,,017008,2,,001109,,,1981
81IN00008,1972011394,72,2,P1394,,74,22,,1,3,,0,1,,,90,,,,,,12,137,153,3,141,08,,01,1207,,017608,8,,001008,93,5,1981
81IN00009,1972011405,72,2,P1405,,49,17,,1,,,0,,,,90,,491,,40,, 2,126,132,,,02,,01,,,014804,2,,009404,,,1981
81IN00010,1972011416,72,2,P1416,,74,23,,1,,3,0,,,,90,,,,,,,142,0,3,,30,,01,0608,,017008,9,,010409,93,,1981
81IN05875,1980978626,80,2,U8626,,97,,,1,,,,,,,10,,,,,,,163,0,,,97,,97,,,001997,B,,992297,,,1981
81IN05876,1980978629,80,1,U8629,,97,,,1,1,,,,,,10,,,,,,,150,0,,192,97,,97,,,001997,Y,,271697,,,1981
81IN05877,1980978630,80,1,U8630,,97,,,1,1,,,,,,10,,,,,,,186,0,,214,97,,97,,,001997,Y,,271697,,,1981
81IN05878,1980978631,80,2,U8631,,97,,,1,,,,,,,10,,,,,,,174,0,,,97,,97,,,001997,B,,271697,,,1981
81IN05879,1980978633,80,1,U8633,,97,,,1,1,,,,,,10,,,,,,,200,0,,247,97,,97,,,001997,Y,,991997,,,1981
81IN05880,1980978634,80,2,U8634,,97,,,1,,,,,,,10,,,,,,,141,0,,,97,,97,,,001997,B,,991997,,,1981
81IN05881,1980978635,80,2,U8635,,97,,,1,,,,,,,10,,,,,,,152,0,,,97,,97,,,276197,B,,696797,,,1981
81IN05882,1980978639,80,2,U8639,,97,,,1,,,,,,,10,,,,,,,129,0,6,,97,,97,0810,,001997,B,,274297,13,,1981
81IN05883,1974979919,74,2,V9919,,97,,,1,,,,,,,70,,,,,,,204,0,7,,97,,97,1016,,,B,,998197,97,,1981
81IN05884,1974979922,74,2,V9922,,97,,,1,,,,,,,70,,,,,,,175,0,,,97,,97,,,,B,,998397,,,1981
