UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
89IN00001,1986030001,L0001,03,86,2,72,2,30,724,765602,337502,6,,1,,,, 1,  0,1,,5,146,0,,,,,,,,,,,F,25,,1989
89IN00002,1988440004,T0004,44,88,2,40,1,02,401,780343,499443,,,,,,, 0,  0,1,,5,112,151,1,A,,,,,,T.7,3,,2,10,,1989
89IN00003,1988440005,T0005,44,88,1,40,1,02,401,780343,499443,,,,,,,,,3,,Y,123,179,,,,,,,,,,,,10,JAW5,1989
89IN00004,1986030007,L0007,03,86,2,75,2,30,733,761202,675501,7,,1,,,, 2,179,1,,2,145,162,3,A,,,,,,74,3,,2,25,,1989
89IN00005,1988440007,T0007,44,88,2,48,1,02,  3,788943,872743,,,,,,, 0,  0,1,,3,107,148,1,B,,,,,,T.4,3,,2,10,,1989
89IN00006,1986030009,L0009,03,86,2,72,2,30,724,765602,606302,6,,1,,,, 1,  0,1,,5,159,0,,,,,,,,,,,F,25,,1989
89IN00007,1988440011,T0011,44,88,2,42,1,02,902,829843,826243,,,,,,, 1,103,1,,3,113,137,2,A,,,,,,832,3,3,1,10,4TEAT.CHOKER,1989
89IN00008,1988440015,T0015,44,88,2,41,1,02,412,853843,651843,,,,,,,,,1,,*,0,0,,,,,33,0315,,,,,,10,,1989
89IN00009,1988440016,T0016,44,88,2,43,1,02,  5,861743,884743,6,,,,,, 0,  0,1,,5,116,125,1,A,,,,,,T.5,3,,2,10,,1989
89IN00010,1988440018,T0018,44,88,2,42,1,02,912,816143,638043,,,,,,, 1, 83,1,,3,148,147,1,A,,,,,,812,3,3,1,10,,1989
89IN05522,1986029984,Y9984,02,86,2,76,2,30,735,771002,364102,7,,0,,,, 2,157,1,,2,149,166,2,A,+,,,,,53,2,,2,25,,1989
89IN05523,1988439984,T9984,43,88,1,42,1,02,932,771243,524543,,,,,,,,,1,,*,0,0,,,,,93,0306,,,,,,10,,1989
89IN05524,1988439988,T9988,43,88,2,41,1,02,411,866643,439343,,,,,,, 0,  0,1,,3,112,150,1,A,,,,,,414,3,1,1,10,,1989
89IN05525,1986029989,Y9989,02,86,2,73,2,30,735,771002,439902,7,,1,,,, 2,153,1,,2,146,152,3,V,+,,,,,72,1,,2,25,,1989
89IN05526,1988439990,T9990,43,88,2,40,1,02,402,850243,646643,6,,,,,, 0,  0,1,,5,116,131,1,,,,,,,,,,F,10,,1989
89IN05527,1988439991,T9991,43,88,2,40,1,02,402,850243,646643,6,,,,,, 0,  0,1,,5,125,142,1,,,,,,,,,,F,10,,1989
89IN05528,1988439993,T9993,43,88,1,41,1,02,411,866643,614543,7,,,,,,,,2,,Y,148,193,,,,,92,0921,,,,,,10,,1989
89IN05529,1988439994,T9994,43,88,1,40,1,02,401,780343,410943,,,,,,,,,2,,Y,131,173,,,,,92,0921,,,,,,10,,1989
89IN05530,1988439996,T9996,43,88,2,43,1,02,  4,793143,936543,6,,,,,, 0,  0,1,,5,116,131,1,B,,,,,,T.3,3,,2,10,,1989
89IN05531,1988439997,T9997,43,88,1,40,1,02,401,780343,730943,,,,,,,,,3,,Y,140,179,,,,,93,0901,,,,,,10,,1989
