UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,SEMEN,BGRP,UREA,AGE,RMK,YRREC
96IN00001,1993003004, 3004,00,   47,93,2,00,1,00,-Z-,000010,000000,7,,,1,30A,3,187,165,0,,,,,,0,,,3.0,,1996
96IN00002,1993003012, 3012,00, 1013,93,2,00,1,00,-Z-,000010,000000,7,,,1,31B,3,156,137,0,,,,,,0,,,3.0,SICK 01/21/97,1996
96IN00003,1993003059, 3059,00, 2014,93,2,00,1,00,-Z-,000010,000000,7,,,1,32A,3,206,116,0,,93,1007,,,0,,,3.0,,1996
96IN00004,1993003068, 3068,00,   27,93,2,00,1,00,-Z-,000010,000000,7,,,1,30A,3,171,163,0,,,,,,0,,,3.0,,1996
96IN00005,1993003081, 3081,00, 5019,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,134,124,0,,,,,,0,,,3.0,,1996
96IN00006,1993003095, 3095,00,  553,93,2,00,1,00,-Z-,000010,000000,7,,,1,31A,3,208,161,0,,,,,,0,,,3.0,LOST TAG#502,1996
96IN00007,1993003113, 3113,00,  570,93,2,00,1,00,-Z-,000010,000000,7,,,1,31B,3,160,122,0,,76,1205,,,0,,,3.0,"DEAD, OPP",1996
96IN00008,1993003142, 3142,00, 1033,93,2,00,1,00,-Z-,000010,000000,2,,,3,OVX,*,0,0,0,X,,,,,0,,,3.0,OVX.,1996
96IN00009,1993003170, 3170,00, 4606,93,2,00,1,00,-Z-,000010,000000,2,,,3,OVX,*,0,0,0,X,,,,,0,,,3.0,OVX.,1996
96IN00010,1993003185, 3185,00, 2534,93,2,00,1,00,-Z-,000010,000000,7,,,1,32C,3,148,130,0,,,,,,0,,,3.0,,1996
96IN04348,1995050859,50859,05,50859,95,3,00,1,00,,000044,550500,7,,,1,35C,3,97,0,0,,93,0703,,,0,,,1.0,,1996
96IN04349,1995050869,50869,05,50869,95,2,00,1,00,,000044,459900,7,,,1,34D,3,116,116,0,,,,,,0,,,1.0,,1996
96IN04350,1995050876,50876,05,50876,95,2,00,1,00,,000044, 51100,7,,,1,16,3,112,118,0,,,,,,0,,,1.0,,1996
96IN04351,1995050877,50877,05,50877,95,2,00,1,00,,000044,457800,7,,,1,16,3,102,143,0,,93,1202,,,0,,,1.0,,1996
96IN04352,1995050901,50901,05,50901,95,3,00,1,00,,000044,453300,7,,,1,31D,*,0,0,0,,93,0410,,,0,,,1.0,,1996
96IN04353,1995050903,50903,05,50903,95,3,00,1,00,,000044,108500,7,,,1,31B,3,67,0,0,,93,0826,,,0,,,1.0,? DAM ? 1085,1996
96IN04354,1995050905,50905,05,50905,95,3,00,1,00,,000044,154400,7,,,1,31D,3,89,0,0,,53,0521,,,0,,,1.0,urinary calc.,1996
96IN04355,1995050906,50906,05,50906,95,3,00,1,00,,000044,151400,7,,,1,31D,3,86,0,0,,93,0801,,,0,,,1.0,,1996
96IN04356,1995050919,50919,05,50919,95,3,00,1,00,,000044,456100,7,,,1,34D,*,0,0,0,,97,0109,,,0,,,1.0,MSG 01/09/96,1996
96IN04357,         0,I4052,,I4052,94,1,ID,1,02,,,,0,,1,1,,M,196,230,0,,,,,,0,,,2.0,Isaacs Ram,1996
