UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,SEMEN,BGRP,AGE,RMK,YRREC
97IN00001,1993003004, 3004,00,   47,93,2,00,1,00,-Z-,000010,000000,7,,,,3,,3,189,163,2,,93,1020,,,0,,4.0,XTHIN,1997
97IN00002,1993003012, 3012,00, 1013,93,2,00,1,00,-Z-,000010,000000,7,,,,6,,*,0,0,0,,76,0123,,,0,,4.0,SICK 01/21/97,1997
97IN00003,1993003068, 3068,00,   27,93,2,00,1,00,-Z-,000010,000000,7,,,,3,,3,194,148,3,,93,1020,,,0,,4.0,XTHIN,1997
97IN00004,1993003081, 3081,00, 5019,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,155,149,2,,,,,L15,0,3,4.0,,1997
97IN00005,1993003095, 3095,00,  553,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,190,168,3,,,,,L16,0,3,4.0,LOST TAG#502,1997
97IN00006,1993003142, 3142,00, 1033,93,2,00,1,00,-Z-,000010,000000,2,,,,6,OVX,*,0,0,0,X,95,0829,,,0,,4.0,OVX.,1997
97IN00007,1993003170, 3170,00, 4606,93,2,00,1,00,-Z-,000010,000000,2,,,,3,OVX,*,0,0,0,X,,,,,0,,4.0,OVX.,1997
97IN00008,1993003185, 3185,00, 2534,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,166,149,3,,,,,L17,0,3,4.0,,1997
97IN00009,1993003186, 3186,00, 5555,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,206,175,2,,,,,L18,0,3,4.0,,1997
97IN00010,1993003211, 3211,00, 5032,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,176,152,3,,,,,L19,0,3,4.0,,1997
97IN04494,1996006463, 6463,00, 6463,96,3,00,1,00,,000044,951300,7,,,,3,,*,0,0,0,,93,0318,,,0,,1.0,,1997
97IN04495,1996006471, 6471,00, 6471,96,2,00,1,00,,000044,552400,7,,,,1,LIM,3,115,124,1,,,,,L17,0,3,1.0,,1997
97IN04496,1996006344, 6344,00, 6344,96,3,00,1,00,,000044,  4400,7,,,,3,,3,98,0,0,,93,0714,,,0,,1.0,NO BIRTH DATA,1997
97IN04497,1996006029, 6029,00, 6029,96,3,00,1,00,,000044,951500,7,,,,3,,*,0,0,0,,93,0127,,,0,,1.0,,1997
97IN04498,1996445661,T5661,44, 3569,96,3,41,1,02,,448344,447144,7,,,,3,,*,0,0,0,,93,0127,,,0,,1.0,,1997
97IN04499,1989034583,L4583,03,L4583,89,2,73,2,30,734,150203,857102,6,,,1,3,-FL,2,195,160,3,,93,1020,,,0,*,7.5,"X,TEETH",1997
97IN04500,1995042379,A2379,04,A2379,95,2,73,1,30,743,038604,027604,6,,,,3,-FL,2,148,123,12,,93,1020,,,0,*,2.0,FLANK RIP=JYB,1997
97IN04501,1994105176,S5176,10,S5176,94,1,11,1,07,24,235810,916519,2,,,,L,DUD,*,0,0,,,,,R,,0,,3.0,msg to bleed,1997
97IN04502,1993040368,A0368,04,A0368,93,1,73,2,30,  5,944003,321503,6,,,,L,LIB,*,0,0,0,,93,1201,,,0,,3.5,,1997
97IN04503,         0,I0064,,I0064,96,1,ID,1,02,,,,I,,,1,1,#7,Y,0,228,0,,,,,,0,,1.0,Krakow Ram,1997
