UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,YRREC
99IN00001,1993003095, 3095,00,  553,93,2,00,1,00,-Z-,000010,000000,7,,,,3,LIM,3,172,161,3,,93,1022,,mkt,,6.0,MLTS!,1999
99IN00002,1993003185, 3185,00, 2534,93,2,00,1,00,-Z-,000010,000000,7,,,,3,LIM,3,168,153,4,,93,1022,,mkt,,6.0,"X,SW.BAG",1999
99IN00003,1993003186, 3186,00, 5555,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,195,169,2,,,,,L13,3,6.0,,1999
99IN00004,1993003211, 3211,00, 5032,93,2,00,1,00,-Z-,000010,000000,7,,,,3,LIM,3,183,157,3,,93,1022,,mkt,,6.0,VLTS,1999
99IN00005,1993003237, 3237,00, 5053,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,168,158,3,,,,,L14,3,6.0,,1999
99IN00006,1993003244, 3244,00, 5504,93,2,00,1,00,-Z-,000010,000000,7,,,,3,LIM,3,165,146,4,,93,1022,,mkt,,6.0,"X,SW.BAG",1999
99IN00007,1993003261, 3261,00, 5526,93,2,00,1,00,-Z-,000010,000000,7,,,,7,LIM,*,0,0,0,,97,0426,,,,6.0,GOOD EWE,1999
99IN00008,1993003283, 3283,00,    5,93,2,00,1,00,-Z-,000010,000000,7,,,,3,LIM,3,215,179,5,,93,1022,,mkt,,6.0,LUMP in BAG,1999
99IN00009,1993003288, 3288,00,  532,93,2,00,1,00,-Z-,000010,000000,7,,,,3,LIM,3,167,151,3,,93,1022,,mkt,,6.0,VLTS,1999
99IN00010,1993003291, 3291,00, 2002,93,2,00,1,00,-Z-,000010,000000,7,,,,3,LIM,3,186,167,4,,93,1022,,mkt,,6.0,"X,SW.BAG",1999
99IN04730,1997813930,Z3930,81,Z3930,97,2,97,1,97,971,234581,287381,0,,,,3,,B,142,171,2,,93,1022,,mkt,,2.0,"X,UT.PROLAPSE",1999
99IN04731,1997813957,Z3957,81,Z3957,97,2,97,1,97,973,325581,356781,0,,,,1,,B,170,164,2,,,,,972,1,2.0,,1999
99IN04732,1997813967,Z3967,81,Z3967,97,2,97,1,97,971,234581,246181,0,,,,1,,B,132,155,1,,,,,971,1,2.0,,1999
99IN04733,1997814014,Z4014,81,Z4014,97,2,97,1,97,971,234581,325281,0,,,,1,,B,171,190,2,,,,,971,1,2.0,,1999
99IN04734,1997814017,Z4017,81,Z4017,97,2,97,1,97,972,324681,159981,0,,,,1,,B,157,175,2,,,,,972,1,2.0,,1999
99IN04735,1997814023,Z4023,81,Z4023,97,2,97,1,97,972,324681,159381,0,,,,1,,B,153,165,2,,,,,972,1,2.0,,1999
99IN04736,1997814026,Z4026,81,Z4026,97,2,97,1,97,971,234581,286581,0,,,,1,,B,153,187,2,,,,,971,1,2.0,,1999
99IN04737,1997814030,Z4030,81,Z4030,97,2,97,1,97,972,324681,321281,0,,,,3,,B,233,228,1,,93,1022,,mkt,,2.0,BARREN,1999
99IN04738,1997814054,Z4054,81,Z4054,97,2,97,1,97,973,325581,360481,0,,,,3,,B,200,213,2,,93,1022,,mkt,,2.0,,1999
99IN04739,1997814060,Z4060,81,Z4060,97,2,97,1,97,972,324681,294081,0,,,,1,,B,158,181,1,,,,,972,1,2.0,,1999
