UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,LIB,YRREC
01IN00001,1994000335,40335,00,   84,94,2,00,1,00,,000010,   200,7,,,,3,.,X,,137,0,0,,93,0509,.,,B,7.0,,,,,2001
01IN00002,1994000332,40332,00,   97,94,2,00,1,00,,000010,   800,7,,,,3,.,X,,124,0,0,,93,0509,.,,B,7.0,,,,,2001
01IN00003,1993104064,S4064,10,  542,93,2,18,1,07,  4,097510,896019,7,,,,3,.,X,,122,0,0,,93,0509,.,,B,8.0,,,,,2001
01IN00004,1994000087,40087,00,  556,94,2,00,1,00,,000010, 50600,7,,,,6,.,5,,152,0,0,,95,0720,.,,B,7.0,,,,,2001
01IN00005,1994000644,40644,00,  562,94,2,00,1,00,,000010, 53100,7,,,,6,.,5,,135,0,0,,95,0626,.,,B,7.0,,,,,2001
01IN00006,1995000293,50293,00,  572,95,2,00,1,00,,000044,402700,7,,,,3,.,5,,149,187,2,,93,1023,.,,X,6.0,NEW ID = 572,,,,2001
01IN00007,1994000320,40320,00,  573,94,2,00,1,00,,000010,  7500,7,,,,6,.,5,,155,0,0,,95,0716,.,,B,7.0,"OLD101,NEW573",,,,2001
01IN00008,1993103836,S3836,10,  577,93,2,18,1,07,  4,097510,963919,7,,,,3,.,X,,146,0,0,,93,0509,.,,B,8.0,"OLD59,NEW577",,,,2001
01IN00009,1993103921,S3921,10,  578,93,2,18,1,07,  3,127310,957519,7,,,,6,.,*,,0,0,0,,12,0424,.,,B,8.0,"OLD38,NEW578",,,,2001
01IN00010,1994000285,40285,00,  580,94,2,00,1,00,,000010,402000,7,,,,3,.,X,,108,0,0,,93,0509,.,,B,7.0,OLD4035NEW580,,,,2001
01IN04521,2000816872,Z6872,81,Z6872,00,2,97,1,97,971,367781,356781,0,,,,1,.,B,,177,179,2,,,,.,972,1,1.0,"ENTR,SEV.",,,,2001
01IN04522,2000816873,Z6873,81,Z6873,00,1,97,1,97,971,367781,356781,0,,,,3,.,Y,,194,218,,,93,0824,.,,Y,1.0,SM. TESTES,,,,2001
01IN04523,2000816874,Z6874,81,Z6874,00,2,97,1,97,972,367981,364181,0,,,,1,.,B,,173,174,2,,,,.,972,1,1.0,TRT R.EYE,,,,2001
01IN04524,2000816878,Z6878,81,Z6878,00,2,00,1,00,41-,432804,814200,1,,,,1,BLK,2,,124,146,1,B,,,X,60,2,1.0,BLACK EWE,,,,2001
01IN04525,2000816905,Z6905,81,Z6905,00,2,97,1,97,971,367781,392881,0,,,,1,.,B,,170,210,1,,,,.,971,1,1.0,ENTR,,,,2001
01IN04526,2000816925,Z6925,81,Z6925,00,1,00,1,80,02,000097,346404,0,,SXP,,1,SXP,Y,,184,205,,,,,B,,Y,1.0,RAM SxP save,,,,2001
01IN04527,2000816931,Z6931,81,Z6931,00,2,97,1,97,974,356481,595781,0,,,,1,.,B,,141,184,1,,,,.,972,1,1.0,,,,,2001
01IN04528,2000816935,Z6935,81,Z6935,00,1,00,1,80,03,000097,511504,0,,,,1,SXP,X,,0,0,,,93,0709,B,,Y,1.0,"FOOT ABS, X",,,,2001
01IN04529,2000816945,Z6945,81,Z6945,00,1,00,1,80,24,000097,507804,0,,SXP,,1,SXP,Y,,160,183,,,,,B,,Y,1.0,RAM SxP save,,,,2001
01IN04530,2000111451,R1451,11,R1451,00,2,13,1,43,32,904910,667010,0,,,,2, 55,5,,109,149,1,,92,0920,F,,-,1.0,,,,,2001
