UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,YRREC
04IN00001,1998008019, 8019,00, 8019,98,2,18,1,07,L-1,000010,778810,0,,,,1,.,5,,176,186,1,,,,.,000,1,6.0,L.EYE TRT '02,,,0,2004
04IN00002,1998008040, 8040,00, 8040,98,2,18,1,07,L-1,000010,741200,2,,,,O,OVX,5,,208,0,0,X,,,.,OVX,O,6.0,"OVX,BARREN",Ovx,,0,2004
04IN00003,1998008059, 8059,00, 8059,98,2,18,1,07,L-1,000010,831510,2,,,,O,OVX,5,,192,0,0,X,,,.,OVX,O,6.0,POLYPAY?OVX,Ovx,,0,2004
04IN00004,1998008084, 8084,00, 8084,98,2,18,1,07,L-1,000010,741400,0,,,,1,.,2,,144,151,2,,,,.,31R,2,6.0,BLK. EAR,,,0,2004
04IN00005,1998008091, 8091,00, 8091,98,2,18,1,07,L-1,000010,728300,0,,,,1,.,2,,155,152,2,,,,.,000,1,6.0,,,,0,2004
04IN00006,1998008136, 8136,00, 8136,98,2,00,1,03,L-0,000044,971563,2,,,,O,OVX,5,,175,0,0,X,,,.,OVX,O,6.0,"T X C ewe,OVX",Ovx,,0,2004
04IN00007,1998008210, 8210,00, 8210,98,2,68,1,06,L-5,895863,774263,0,,,,1,.,1,,185,184,2,,,,G,54K,1,6.0,,,,0,2004
04IN00008,1998008281, 8281,00, 8281,98,2,18,1,07,L12,674810,674910,2,,,,O,OVX,5,,197,0,0,X,,,.,OVX,O,6.0,"OVX,PROD",Ovx,,0,2004
04IN00009,1998008286, 8286,00, 8286,98,2,68,1,06,L-5,895863,768863,0,,,,1,.,1,,188,190,6,,,,G,51K,1,6.0,,,,0,2004
04IN00010,1998008320, 8320,00, 8320,98,2,18,1,43,L11,752910, 57100,0,,,,1,.,2,,160,158,2,,,,.,000,1,6.0,"PNEU., OPP?",,,0,2004
04IN03252,2003819972,Z9972,81,Z9972,03,2,00,1,01,-1-,792544,004511,0,,,,N,.,2,,142,149,2,,,,X,DAK,1,1.0,4TEATS,JxR,,0,2004
04IN03253,2003819981,Z9981,81,Z9981,03,2,00,1,31,-4-,755304,925610,0,,,,1,.,5,,131,0,0,,93,0524,X,.,.,1.0,CSECTION,JxR,,1386,2004
04IN03254,2003819982,Z9982,81,Z9982,03,2,00,1,31,-4-,755304,925610,0,,,,2, 56,2,,126,145,2,,92,0923,X,.,.,1.0,,JxR,,5363,2004
04IN03255,2003819985,Z9985,81,Z9985,03,2,00,1,01,-1-,792544,037009,0,,,,1,.,2,,137,132,1,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN03256,2003819987,Z9987,81,Z9987,03,2,00,1,03,-5-,000044,124064,7,,,,1,.,*,,0,0,0,,92,0114,X,.,.,1.0,,JxC,,1206,2004
04IN03257,2003819988,Z9988,81,Z9988,03,2,00,1,31,-3-,765904,065811,0,,,,1,.,1,,151,171,2,,,,X,33R,2,1.0,,JxR,,0,2004
04IN03258,2003819989,Z9989,81,Z9989,03,2,00,1,31,-3-,765904,065811,0,,,,1,.,2,,153,157,2,,,,X,34R,2,1.0,4TEATS,JxR,,0,2004
04IN03259,2003819997,Z9997,81,Z9997,03,2,00,1,80,52N,000081,388104,7,,,,1,.,T,,183,201,2,,,,N,58K,1,1.0,,SxP,,0,2004
04IN03260,2003819999,Z9999,81,Z9999,03,2,00,1,01,-2-,730544,258711,0,,,,1,.,2,,155,159,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN03261,2002818303,Z8303,81,Z8303,02,2,00,1,00,AI,000011,609600,2,,,,O,ORE,1,??,139,172,1,X,,,X,ORE,O,2.0,LAMBD 1/15/04,Ovx,,1932,2004
