UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,CLR,ALTID,INBRL,YRREC
06IN00001,,F53,00,  100,05,1,00,1,Tx,,,,r,,,,1,,Y,,146,159,0,,,,,alt,,1.0,Fisher F53,Term,,0,1,Fisher F53,0.0,2006
06IN00002,,  104,00,  104,04,1,00,1,97,,,,r,,,,3,,M,,248,0,0,,93,0612,,11,,2.0,"X,L.TESTE,X",Term,,0,6,MI37-281,0.0,2006
06IN00003,,  306,00,  306,04,1,00,1,06,,,,r,,,,1,,*,,0,0,0,,93,0508,,w4,,2.0,IDZ223-0464,Term,,0,1,IDZ223-0464,0.0,2006
06IN00004,,  308,00,  308,04,1,00,1,06,,,,r,,,,1,,*,,0,0,0,,19,0213,,06K,,2.0,MT0188-0608,Term,,0,1,MT0188-0608,0.0,2006
06IN00005,,  327,00,  327,04,1,00,1,06,,,,r,,,,1,,M,,252,268,0,,,,,07K,,2.0,THIN Jarvis,Term,,0,1,UT06-4566,0.0,2006
06IN00006,,  337,00,  337,04,1,00,1,06,,,,r,,,,1,,M,,271,274,0,,,,,04K,,2.0,"THIN,SM.TSTS",Term,,0,1,UT0398-206,0.0,2006
06IN00007,,  345,00,  345,04,1,00,1,06,,,,r,,,,1,,M,,267,269,0,,,,,02K,,2.0,"THIN, OK",Term,,0,1,MT0188-0645,0.0,2006
06IN00008,,  360,00,  360,04,1,00,1,06,,,,r,,,,1,,M,,263,264,0,,,,,05K,,2.0,"THIN,LUNGS?",Term,,0,1,UT0398-207,0.0,2006
06IN00009,,  408,00,  408,04,1,00,1,Tx,,,,r,,,,1,,M,,211,220,0,,54,1107,,22,,2.0,KSS0010-0695,Term,,0,1,KSS0010-0695,0.0,2006
06IN00010,,  426,00,  426,04,1,00,1,Tx,,,,r,,,,1,,M,,157,172,0,,,,,23,,2.0,THIN,Term,,0,1,MT1674-0053,0.0,2006
06IN02961,,  579,00,  579,05,1,00,1,97,,,,r,,,,1,,N,,0,277,0,,,,,,,1.0,JAW3TETRADURE,Term,,0,6,IA1748-0445,,2006
06IN02962,,  518,00,  518,05,1,00,1,Tx,,,,r,,,,1,,N,,0,210,0,,,,,,,1.0,,Term,,0,1,IL1604F-1188,,2006
06IN02963,, 1026,00, 1026,05,1,00,1,06,,,,r,,,,1,,N,,0,313,0,,,,,,,1.0,JAW5UNDERSHOT,Term,,0,1,SD1364-0977,,2006
06IN02964,, 5360,00, 5360,05,1,00,1,06,,,,r,,,,1,,N,,0,292,0,,,,,,,1.0,TRIM HOOVES,Term,,0,1,NDS0082-1802,,2006
06IN02965,, 5434,00, 5434,05,1,00,1,06,,,,r,,,,1,,N,,0,280,0,,,,,,,1.0,NICE,Term,,0,1,NDS0060-1425,,2006
06IN02966,, 5988,00, 5988,05,1,00,1,06,,,,r,,,,1,,N,,0,275,0,,,,,,,1.0,NICE,Term,,0,1,MT0218-0686,,2006
06IN02967,,  595,00,  595,05,1,00,1,06,,,,r,,,,1,,N,,0,283,0,,,,,,,1.0,,Term,,0,1,MT0227-0595,,2006
06IN02968,,  584,00,  584,05,1,00,1,97,,,,r,,,,1,,N,,0,293,0,,,,,,,1.0,,Term,,0,6,IA1748-0351,,2006
06IN02969,,  901,00,  901,05,1,00,1,06,,,,r,,,,1,,N,,0,338,0,,,,,,,1.0,JAW3UNDERSHOT,Term,,0,1,NDS0117-0508,,2006
06IN02970,,    4,00,    4,06,1,00,1,Tx,,,,r,,,,1,,N,,0,0,0,,19,1226,,,,0.0,NICE,Term,,0,1,IDX353-0228,0.0,2006
