UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
07IN00001,,   44,00,   44,05,1,00,1,97,,,,,,0,,,,2,.,M,,270,273,0,Y,92,0827,.,,,2.0,,Term,,0,6,IDZ284-0120,,,2007
07IN00002,,   65,00,   65,05,1,00,1,97,,,,,,0,,,,2,.,M,,291,273,0,Y,92,0827,.,,,2.0,,Term,,0,6,OR00139-0023,,,2007
07IN00003,,   76,00,   76,05,1,00,1,97,,,,,,0,,,,6,.,M,,294,0,0,Y,01,0710,.,,,2.0,GOK 7/10/07,Term,,0,6,OR00139-0007,,,2007
07IN00004,,F53,00,  100,05,1,00,1,Tx,,,,,,0,,,,6,.,M,,194,0,0,Y,95,1024,.,,,2.0,Fisher F53,Term,,0,1,IDX353-0100,0.0,,2007
07IN00005,,  327,00,  327,04,1,00,1,06,,,,,,0,,,,6,.,M,,300,292,0,Y,01,0819,.,,,3.0,UT06-4566THIN,Term,,0,1,UT06-4566,0.0,,2007
07IN00006,,  337,00,  337,04,1,00,1,06,,,,,,0,,,,3,.,M,,314,311,0,Y,93,0803,.,,,3.0,R.EYE CLOUDY,Term,,0,1,UT0398-206,0.0,,2007
07IN00007,,  345,00,  345,04,1,00,1,06,,,,,,0,,,,6,.,*,,0,0,0,Y,90,0423,.,,,3.0,IMPACT.ABOMAS,Term,,0,1,MT0188-0645,0.0,,2007
07IN00008,,  360,00,  360,04,1,00,1,06,,,,,,0,,,,6,.,*,,0,0,0,Y,71,0224,.,,,3.0,VOLVULUS,Term,,0,1,UT0398-207,0.0,,2007
07IN00009,,  426,00,  426,04,1,00,1,Tx,,,,,,0,,,,1,.,M,,190,183,0,Y,,,.,,,3.0,THIN,Term,,0,1,MT1674-0053,0.0,,2007
07IN00010,,  428,00,  428,04,1,00,1,Tx,,,,,,0,,,,3,.,M,,217,204,0,Y,93,0803,.,,,3.0,ABS. L.JAW,Term,,7307,1,MT30-1083,0.0,,2007
07IN03071,,03345,00,03345,06,1,,,m3,,,,,,,,,,3,,,,,,,,,,,,,,TO MARKET,,,0,,,,,2007
07IN03072,,03376,00,03376,06,1,,,m3,,,,,,,,,,3,,,,,,,,,,,,,,TO MARKET,,,0,,,,,2007
07IN03073,,03404,00,03404,06,1,,,m3,,,,,,,,,,3,,,,,,,,,,,,,,TO MARKET,,,0,,,,,2007
07IN03074,,03498,00,03498,06,1,,,m3,,,,,,,,,,3,,,,,,,,,,,,,,TO MARKET,,,0,,,,,2007
07IN03075,,03593,00,03593,06,1,,,m3,,,,,,,,,,3,,,,,,,,,,,,,,TO MARKET,,,0,,,,,2007
07IN03076,,   46,00,   46,07,1,,,Tx,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2007
07IN03077,,   61,00,   61,07,1,,,Tx,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2007
07IN03078,, 7027,00, 7027,06,1,,,Tx,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2007
07IN03079,, 7621,00, 7621,06,1,,,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2007
07IN03080,, 7622,00, 7622,06,1,,,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2007
