UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDAR,CLR,ALTID,INBRL,CULLPILE,YRREC
21IN00001,2018060006,A0006,06,A0006,18,2,,1,30,37,H8837,05,H9299,05,0,,,6,RED,,,0,0,0,,89,0314,,,,3.0,+Abomasitis,EC,,,1,,0.04,,2021
21IN00002,2018060009,A0009,06,A0009,18,2,,1,30,41,H9486,05,H9504,05,0,,,1,RED,D,,222,215,2,,,0707,,,,3.0,LambedInJuly,,,,1,,0.034,,2021
21IN00003,2018060013,A0013,06,A0013,18,1,,1,30,38,H9294,05,H8620,05,0,,,3,RED,M,,245,266,0,,93,0912,,,,3.0,To MARC,,,3093,1,,0.023,,2021
21IN00004,2018060032,A0032,06,A0032,18,2,,1,30,40,H9420,05,H8664,05,,,,3,RED,1,,168,166,4,,93,1018,,,,3.0,X Bag,,,15575,1,,0.033,,2021
21IN00005,2018060049,A0049,06,A0049,18,2,,1,30,39,H9361,05,H9357,05,0,,,1,RED,2,,169,157,2,,,,,,,3.0,.,,,,1,,0.037,,2021
21IN00006,2018060059,A0059,06,A0059,18,2,,1,30,41,H9486,05,H9325,05,7,,,1,RED,1,,166,167,2,,,,,,,3.0,.,,,,1,,0.037,,2021
21IN00007,2018060061,A0061,06,A0061,18,2,,1,30,40,H9420,05,H8925,05,0,,,2,RED,1,,165,155,2,,92,0916,,,,3.0,.,,,15156,1,,0.031,,2021
21IN00008,2018060070,A0070,06,A0070,18,2,,1,30,41,H9486,05,H8709,05,,,,3,RED,1,,154,165,2,,93,0912,,,,3.0,To MARC,,,3125,1,,0.034,,2021
21IN00009,2018060073,A0073,06,A0073,18,2,,1,30,38,H9294,05,H9149,05,,,,1,RED,2,,229,208,2,,,,,,,3.0,WARTS,EC,,,1,,0.027,,2021
21IN00010,2018060081,A0081,06,A0081,18,2,,1,30,39,H9361,05,H8721,05,0,,,3,RED,2,,168,171,2,,93,1018,,,,3.0,OKFORONE,,,15707,1,,0.025,,2021
21IN02653,2020000147,Y0147,00,Y0147,20,2,,,Kt,,,,,,,,,1,,,,,,,,,,,,,1.0,MARC,,,,,202008386,,,
21IN02654,2019000148,Y0148,00,Y0148,19,2,,,Kt,,,,,,,,,1,,,,,,,,,,,,,2.0,MARC,,,,,201908272,,,
21IN02655,2020000149,Y0149,00,Y0149,20,2,,,Kt,,,,,,,,,1,,,,,,,,,,,,,1.0,MARC,,,,,202008130,,,
21IN02656,2020000150,Y0150,00,Y0150,20,2,,,Kt,,,,,,,,,1,,,,,,,,,,,,,1.0,MARC,,,,,202008222,,,
21IN02657,2020000151,Y0151,00,Y0151,20,2,,,Kt,,,,,,,,,1,,,,,,,,,,,,,1.0,MARC,,,,,202008145,,,
21IN02658,2018000152,Y0152,00,Y0152,18,2,,,Kt,,,,,,,,,1,,,,,,,,,,,,,3.0,MARC,,,,,201808299,,,
21IN02659,2018000153,Y0153,00,Y0153,18,2,,,Kt,,,,,,,,,1,,,,,,,,,,,,,3.0,MARC,,,,,201808147,,,
21IN02660,2020000154,Y0154,00,Y0154,20,1,,,Kt,,,,,,,,,1,,,,,,,,,,,,,1.0,MARC,,,,,202008355,,,
21IN02661,2019000155,Y0155,00,Y0155,19,1,,,Kt,,,,,,,,,6,,,,,,,,01,1203,,,,2.0,MARC,,,,,201908901,,,
21IN02662,2018009747,Z9747,00,Z9747,18,1,,,97,,,,,,,,,1,,,,,,,,,,,,,3.0,MARC,,,,,201810904,,,
