UID,YR,SEX,LAMB,LB1,DATE,BRWT,SIRE,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
53LA00001,53,2,3852,1,407,9.8,3163,1,1704,1,24,5,8,1,4,1,20,200,1,,0,,,,,,,11,,,,11,11,,20,1,12,,63,,,97,11,1,1,1,1,10,1953-04-07,45,50,07
53LA00002,53,2,4011,1,417,9.6,3072,1,1744,1,30,5,8,4,3,2,27,270,1,,0,,,,,,,11,,,,11,11,,27,1,25,,69,,,107,11,1,1,1,1,10,1953-04-17,45,50,07
53LA00003,53,1,4047,1,421,12.0,3072,1,1745,1,30,5,8,2,4,2,27,270,1,,0,,,,,,,11,,,,11,11,,27,1,25,,93,,,111,11,1,1,1,1,10,1953-04-21,45,50,07
53LA00004,53,1,3989,1,415,10.0,3163,1,1764,1,26,5,8,1,4,1,20,200,1,,0,,,,,,,11,,,,11,11,,20,1,27,,62,,,105,11,1,1,1,1,10,1953-04-15,45,50,07
53LA00005,53,2,3902,1,410,10.4,3192,1,1775,1,19,8,8,1,4,1,23,230,1,,0,,98,,,,,11,,,,11,11,09,23,1,18,,68,,,100,11,1,1,2,1,10,1953-04-10,45,50,07
53LA00006,53,2,3903,1,410,8.2,3192,1,1775,1,19,8,8,1,4,1,23,230,2,,0,,,,,,,11,,,,11,11,,23,1,18,,55,,,100,11,1,1,2,1,10,1953-04-10,45,50,07
53LA00007,53,2,4035,1,420,11.0,3192,1,1860,1,36,5,8,1,4,1,23,230,1,7,230,,,,,,,11,,,,11,11,,23,1,10,,,,,110,11,1,1,1,1,0,1953-04-20,45,50,07
53LA00008,53,1,4071,1,430,10.0,3192,1,1874,1,17,5,8,1,3,2,23,230,1,,0,,,,,,,11,,,,11,11,,23,1,17,,72,,,120,11,1,1,1,1,10,1953-04-30,45,50,07
53LA00009,53,1,3906,1,410,12.4,3340,1,1898,1,,5,8,1,4,1,63,580,1,,0,,,,,,,11,,,,11,11,,20,6,28,,85,27,,100,11,1,1,1,1,10,1953-04-10,45,51,07
53LA00010,53,2,4040,1,420,7.8,3163,1,1903,1,27,5,8,1,3,1,20,200,1,,0,,,,,,,11,,,,11,11,04,20,1,26,,52,,,110,11,1,1,1,1,10,1953-04-20,45,50,07
53LA00011,53,2,3804,1,404,7.0,3302,1,1972,1,,8,7,1,4,2,63,590,1,,0,2,,,,,,11,,,,11,11,,27,6,15,,55,20,,94,11,1,1,2,1,10,1953-04-04,46,51,07
53LA00012,53,2,3805,1,404,9.4,3302,1,1972,1,,8,7,1,4,2,63,590,2,,0,2,,,,,,11,,,,11,11,,27,6,15,,65,20,,94,11,1,1,2,1,10,1953-04-04,46,51,07
53LA00013,53,1,3835,1,407,9.6,3163,1,1999,1,24,5,7,1,4,1,20,200,1,,0,,,,,,,11,,,,11,11,,20,1,12,,72,,,97,11,1,1,1,1,10,1953-04-07,46,50,07
53LA00014,53,2,4003,1,417,9.4,3313,1,2021,1,43,8,7,1,4,1,34,340,1,2,110,,,,,,,11,,,,11,11,,34,1,26,,,,,107,11,1,1,2,1,0,1953-04-17,46,51,07
53LA00015,53,1,4004,1,417,10.4,3313,1,2021,1,43,8,7,1,4,1,34,340,2,,0,2,,,,,,11,,,,11,11,,34,1,26,,79,,,107,11,1,1,2,1,10,1953-04-17,46,51,07
53LA00016,53,,,,410,0.0,3509,1,2037,1,28,,7,,,,19,190,1,,0,,,,,,,11,,,6,11,11,,19,1,24,,,,,100,11,0,0,0,0,0,1953-04-10,46,51,07
53LA00017,53,2,4050,1,422,12.2,3192,1,2115,1,17,5,7,1,5,1,23,230,1,,0,,,,,,,11,,,,11,11,,23,1,13,,85,,,112,11,1,1,1,1,10,1953-04-22,46,50,07
53LA00018,53,2,3799,1,404,12.4,3313,1,2127,1,35,5,7,1,3,1,34,340,1,6,0,,,0960,14,+,60,11,,,,11,11,04,34,1,24,,,,,94,11,1,1,1,1,0,1953-04-04,46,51,07
53LA00019,53,1,3998,1,416,9.6,3563,1,2129,1,,8,7,1,5,1,63,570,1,,0,,,,,,,11,,,,11,11,,20,6,13,,74,27,,106,11,1,1,2,1,10,1953-04-16,46,51,07
53LA00020,53,1,3999,1,416,7.4,3563,1,2129,1,,8,7,3,5,1,63,570,2,6,0,1,,,,,03,11,,,,11,11,,20,6,13,,,27,,106,11,1,1,2,1,0,1953-04-16,46,51,07
53LA00021,53,1,3868,1,408,10.0,3163,1,2131,1,27,5,7,1,4,1,20,200,1,,0,,,,,,,11,,,,11,11,,20,1,26,,86,,,98,11,1,1,1,1,10,1953-04-08,46,50,07
53LA00022,53,,,,524,0.0,3509,1,2202,1,28,,7,,,,19,190,1,,0,,,,,,,11,,-,,,11,,19,1,24,1,,,,144,11,1,0,0,0,0,1953-05-24,46,51,07
53LA00023,53,2,1903,5,524,12.0,0000,6,2202,1,,5,7,1,4,1,00,190,1,,0,,,,,,,11,,,,,48,,19,0,24,2,67,04,,144,60,1,1,1,1,10,1953-05-24,46,51,04
53LA00024,53,2,3883,1,409,13.4,0107,,2207,1,0,5,7,1,4,1,32,321,1,,0,,,,,,,11,,,,11,11,,32,1,24,,91,,,99,91,1,1,1,1,10,1953-04-09,46,47,07
53LA00025,53,1,3933,1,412,9.8,3509,1,2219,1,21,8,6,1,4,1,19,190,1,,0,,,,,,,11,,,,11,11,,19,1,21,,83,,,102,11,1,1,2,1,10,1953-04-12,47,51,07
