UID,YR,SEX,LAMB,LB1,DATE,BRWT,SIRE,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,LBRD,DBRD,X1,DRY,DEAD,X2,ABEWE,ABLMB,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
54LA00001,54,1,1737,0,406,12.4,0781,2,1624,0,,5,8,1,4,1,69,359,1,,0,,,,,,10,10,,,,,,,68,4,,,81,35,,96,14,1,1,1,1,10,1954-04-06,46,52,07
54LA00002,54,1,1716,0,403,10.0,0604,2,1625,0,,8,8,1,3,1,69,368,1,,0,,,,,,10,10,,,,,,,68,4,,,85,36,,93,14,1,1,2,1,10,1954-04-03,46,52,07
54LA00003,54,2,1717,0,403,8.8,0604,2,1625,0,,8,8,1,3,1,69,368,2,,0,,,6672,40,-,10,10,,,,,,,68,4,,,75,36,,93,14,1,1,2,1,10,1954-04-03,46,52,07
54LA00004,54,,,,506,0.0,1771,2,1626,0,,,8,,,,69,499,1,,0,,,,,,10,10,,-,,,,,68,4,,,,49,,126,13,1,0,0,0,0,1954-05-06,46,51,07
54LA00005,54,2,1750,0,411,7.4,0604,2,1627,0,,8,8,1,3,1,69,368,1,6,0,,,0495,13,-,10,10,,,,,,,68,4,,,,36,,101,14,1,1,2,1,0,1954-04-11,46,52,07
54LA00006,54,2,1751,0,411,8.2,0604,2,1627,0,,8,8,1,3,1,69,368,2,,0,,,,,,10,10,,,,,,,68,4,,,70,36,,101,14,1,1,2,1,10,1954-04-11,46,52,07
54LA00007,54,1,1734,0,406,11.2,1822,2,1628,0,,8,8,1,3,1,69,269,1,6,0,,,,,,10,10,,,,,04,,68,4,,,,26,,96,13,1,1,2,1,0,1954-04-06,46,51,07
54LA00008,54,1,1735,0,406,11.2,1822,2,1628,0,,8,8,1,3,1,69,269,2,,0,,,,,,10,10,,,,,,,68,4,,,60,26,,96,13,1,1,2,1,10,1954-04-06,46,51,07
54LA00009,54,2,1719,0,404,9.2,6997,3,1629,0,,8,8,1,4,1,69,748,1,,0,,,,,,10,10,,,,,,,68,4,,,71,70,,94,17,1,1,2,1,10,1954-04-04,46,52,07
54LA00010,54,1,1720,0,404,9.2,6997,3,1629,0,,8,8,1,4,1,69,748,2,,0,,,,,,10,10,,,,,,,68,4,,,57,70,,94,17,1,1,2,1,10,1954-04-04,46,52,07
