UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DATE,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,ABLMB,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,SBRD,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
55LA00001,55,1,1849,0,69,728,1624,10,0,,1,9,13,1,07,,1,413,103,8,,0,3,93,,,,,,,0,10,7231,3,,79,68,4,1,,11.2,,,17,,1,1,1,2,1,10,1955-04-13
55LA00002,55,1,1850,0,69,728,1624,10,0,,1,9,13,1,07,,1,413,103,8,,0,3,93,,,,,,,0,10,7231,3,,76,68,4,1,,9.6,,,17,,2,1,1,2,1,10,1955-04-13
55LA00003,55,2,,,69,328,1625,10,0,,1,9,,1,07,,1,404,94,1,,0,3,,,,2302,14,+,,0,10,0107,,,,68,4,,,10.0,,1,91,,1,1,1,1,0,0,1955-04-04
55LA00004,55,1,1881,0,69,498,1629,10,0,,1,9,,1,07,,1,420,110,8,,0,2,,6,,3636,11,-,,0,10,1037,2,,77,68,4,5,,9.8,,,14,,1,1,1,2,1,10,1955-04-20
55LA00005,55,2,1882,0,69,498,1629,10,0,,1,9,,1,07,,1,420,110,8,,0,2,,6,,,,,,0,10,1037,2,,59,68,4,,,10.4,,,14,,2,1,1,2,1,10,1955-04-20
55LA00006,55,1,,,69,409,1631,10,0,,1,8,33,,07,,,401,91,4,,0,0,05,,,,,,,0,10,0935,2,,,68,4,,,9.2,,1,14,,1,1,1,2,0,0,1955-04-01
55LA00007,55,1,,,69,409,1631,10,0,,1,8,33,,07,,,401,91,4,,0,0,05,,,,,,,0,10,0935,2,,,68,4,,,11.0,,1,14,,2,1,1,2,0,0,1955-04-01
55LA00008,55,2,1853,0,69,469,1632,10,0,,1,8,,1,07,,1,413,103,5,,0,4,,,,,,,,0,10,1323,2,,80,68,4,1,,10.6,,,14,,1,1,1,1,1,10,1955-04-13
55LA00009,55,1,,,69,458,1636,10,0,,1,7,,1,07,,1,331,90,0,,0,2,,,,,,,,0,10,0117,,,,68,4,,,6.5,,0,91,,1,1,1,1,0,0,1955-03-31
55LA00010,55,1,1801,0,69,258,1638,10,0,,1,7,,1,07,,1,401,91,5,,0,4,,,,,,,,0,10,0116,,,105,68,4,1,,12.8,,,91,,1,1,1,1,1,10,1955-04-01
55LA00011,55,2,1806,0,69,498,1639,10,0,,1,6,,1,07,,1,402,92,5,,0,4,,,,,,,,0,10,1037,2,,87,68,4,1,,10.0,,,14,,1,1,1,1,1,10,1955-04-02
55LA00012,55,2,1824,0,69,399,1640,10,0,,1,6,04,1,07,,1,407,97,8,,98,2,07,,,,,,,0,10,1240,2,,,68,4,,,9.4,,6,14,,1,1,1,2,1,0,1955-04-07
55LA00013,55,1,1825,0,69,399,1640,10,0,,1,6,04,1,07,,2,407,97,8,,121,2,07,,,,,,,0,10,1240,2,,,68,4,,,11.6,,6,14,,2,1,1,2,1,0,1955-04-07
55LA00014,55,1,1837,0,69,328,1642,10,0,,1,5,,1,07,,2,409,99,5,,0,4,,,,,,,,0,10,0107,,,97,68,4,1,,12.6,,,91,,1,1,1,1,1,10,1955-04-09
55LA00015,55,2,1823,0,69,269,1643,10,0,,1,5,,3,07,,2,407,97,5,,99,3,,,,,,,,0,10,1505,2,,,68,4,,,6.0,,6,14,,1,1,1,1,1,0,1955-04-07
55LA00016,55,,,,70,738,1644,10,0,,1,4,,,07,1,,515,135,-,,0,,,,,,,,,0,10,7019,3,,,68,2,,,0.0,,,17,,1,1,0,0,0,0,1955-05-15
55LA00017,55,2,2004,5,00,738,1644,10,0,,1,4,,1,04,2,1,515,135,5,,230,4,,,,,,,,0,48,0000,,,,68,0,2,,11.4,,7,60,,1,1,1,1,1,0,1955-05-15
55LA00018,55,2,,,69,359,1645,10,0,,1,4,,1,07,,1,402,92,1,,0,4,,,,2270,14,+,,0,10,0781,2,,,68,4,,,8.0,,1,14,,1,1,1,1,0,0,1955-04-02
55LA00019,55,1,1819,0,69,468,1646,10,0,,1,4,,1,07,,1,407,97,5,,0,3,,,,,,,,0,10,0693,2,,99,68,4,1,,13.2,,,14,,1,1,1,1,1,10,1955-04-07
55LA00020,55,1,1814,0,69,268,1647,10,0,,1,4,,1,07,,1,406,96,8,,0,4,,,,,,,,0,10,1008,2,,71,68,4,1,,10.2,,,14,,1,1,1,2,1,10,1955-04-06
55LA00021,55,2,1815,0,69,268,1647,10,0,,1,4,,1,07,,1,406,96,8,,0,4,,,,,,,,0,10,1008,2,,79,68,4,1,,9.6,,,14,,2,1,1,2,1,10,1955-04-06
55LA00022,55,1,1832,0,69,498,1648,10,0,,1,4,,1,07,,2,408,98,5,,0,4,,,,,,,,0,10,1037,2,,85,68,4,1,,11.8,,,14,,1,1,1,1,1,10,1955-04-08
55LA00023,55,2,1854,0,69,408,1649,10,0,,1,4,,1,07,,1,414,104,8,,0,3,,,,,,,,0,10,1209,2,,82,68,4,1,,11.8,,,14,,1,1,1,2,1,10,1955-04-14
55LA00024,55,2,1855,0,69,408,1649,10,0,,1,4,,1,07,,1,414,104,8,,0,3,,,,,,,,0,10,1209,2,,73,68,4,1,,12.0,,,14,,2,1,1,2,1,10,1955-04-14
55LA00025,55,1,1866,0,69,258,1650,10,0,,1,3,,1,07,,1,416,106,5,,0,3,,,,,,,,0,10,0116,,,88,68,4,5,,12.0,,,91,,1,1,1,1,1,10,1955-04-16
55LA00026,55,1,1810,0,69,408,1651,10,0,,1,3,,1,07,,1,404,94,5,,0,3,,,,,,,,0,10,1209,2,,88,68,4,1,,11.8,,,14,,1,1,1,1,1,10,1955-04-04
55LA00027,55,,,,69,469,1652,10,0,,1,3,,,07,1,,515,135,-,,0,,,,,,,,,0,10,1323,2,,,68,4,,,0.0,,,14,,1,1,0,0,0,0,1955-05-15
55LA00028,55,1,,,00,469,1652,10,0,,1,3,,1,04,2,1,510,130,5,,230,3,,,,,,,,0,48,0000,,,,68,0,,,9.0,,7,60,,1,1,1,1,1,0,1955-05-10
55LA00029,55,1,1818,0,69,258,1653,10,0,,1,3,,1,07,,1,407,97,5,,0,4,,,,,,,,0,10,0116,,,100,68,4,1,,12.0,,,91,,1,1,1,1,1,10,1955-04-07
55LA00030,55,1,1809,0,69,398,1654,10,0,,1,3,,1,07,,1,404,94,5,,0,3,,,,,,,,0,10,0396,2,,88,68,4,1,,12.6,,,14,,1,1,1,1,1,10,1955-04-04
