UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,X3,ABLMB,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
58LA00001,58,1,2142,0,69,469,1644,10,0,,1,7,,1,07,,1,93,5,,0,4,,,,,,,,0,10,1994,2,14,101,68,4,1,,12.0,,,,,1,1,1,1,1,10,1958-04-03
58LA00002,58,1,2169,0,69,468,1647,10,0,,1,7,,1,07,,1,99,8,,0,3,,,,9399,40,-,,0,10,1575,2,14,88,68,4,1,,9.8,,,,,1,1,1,2,1,10,1958-04-09
58LA00003,58,1,2170,0,69,468,1647,10,0,,1,7,,1,07,,8,99,8,,0,3,,,,,,,,0,10,1575,2,14,97,68,4,1,,10.6,,,,,2,1,1,2,1,10,1958-04-09
58LA00004,58,1,2185,0,69,631,1650,10,0,,1,6,,1,07,,1,102,8,,0,3,,,,,,,,0,10,1857,2,14,66,68,5,1,,10.4,6,,,87,1,1,1,2,1,10,1958-04-12
58LA00005,58,2,2186,0,69,631,1650,10,0,,1,6,,1,07,,1,102,8,,0,3,,,,,,,,0,10,1857,2,14,55,68,5,1,,9.8,,,,,2,1,1,2,1,10,1958-04-12
58LA00006,58,,,,69,408,1651,10,0,,1,6,07,,07,1,,143,-,,0,,,,,,,,,0,48,3087,2,14,,68,4,,,0.0,,,,,1,1,0,0,0,0,1958-05-23
58LA00007,58,2,2228,5,00,408,1651,10,0,,1,6,07,1,04,2,3,143,5,,0,4,92,,,,,,,0,48,0000,,61,73,68,0,,,13.8,,,,,1,1,1,1,1,10,1958-05-23
58LA00008,58,2,2210,0,69,651,1653,10,0,,1,6,,1,07,,1,108,5,,0,4,,,,,,,,0,10,3112,2,14,,68,5,2,,11.8,,2,,,1,1,1,1,1,0,1958-04-18
58LA00009,58,1,2178,0,69,328,1655,10,0,,1,6,,1,07,,1,100,8,,0,3,,,,3969,11,-,,0,10,4657,1,11,79,68,4,1,,10.8,,,,,1,1,1,2,1,10,1958-04-10
58LA00010,58,2,2179,0,69,328,1655,10,0,,1,6,,1,07,,1,100,8,,0,3,,,,,,,,0,10,4657,1,11,75,68,4,1,,9.8,,,,,2,1,1,2,1,10,1958-04-10
58LA00011,58,1,2194,0,69,551,1658,10,0,,1,6,,1,07,,1,103,5,,0,4,,,,,,,,0,10,4377,1,11,74,68,5,2,,12.2,,,,,1,1,1,1,1,10,1958-04-13
58LA00012,58,2,,,69,571,1659,10,0,,1,6,,,07,,,99,0,,0,1,,,,,,,,0,10,4610,1,11,,68,5,,,0.0,,0,,,1,1,1,1,0,0,1958-04-09
58LA00013,58,1,2138,0,69,561,1666,10,0,,1,6,,1,07,,1,92,5,,0,3,,,,,,,,0,10,4706,1,11,87,68,5,1,,11.6,,,,,1,1,1,1,1,10,1958-04-02
58LA00014,58,2,2172,0,69,671,1668,10,0,,1,6,,1,07,,1,99,5,,0,5,,,,,,,,0,10,2504,2,14,62,68,5,1,,11.0,,,,,1,1,1,1,1,10,1958-04-09
58LA00015,58,2,2145,0,69,349,1673,10,0,,1,6,,1,07,,1,94,5,,0,4,,,,,,,,0,10,4079,1,11,94,68,4,1,,12.4,,,,,1,1,1,1,1,10,1958-04-04
58LA00016,58,2,2215,0,69,498,1676,10,0,,1,6,,1,07,,1,115,7,,0,2,,,,,,,,0,10,3125,2,14,76,68,4,,,12.4,,,,,1,1,1,2,1,10,1958-04-25
58LA00017,58,2,,,69,498,1676,10,0,,1,6,,1,07,,1,115,7,,0,2,,,,,,,,0,10,3125,2,14,,68,4,,,11.8,,1,,,2,1,1,2,0,0,1958-04-25
58LA00018,58,1,2197,0,69,591,1682,10,0,,1,6,08,1,07,,1,104,8,,0,3,,,,,,,,0,10,4774,1,11,88,68,5,2,,10.0,,,,,1,1,1,2,1,10,1958-04-14
58LA00019,58,2,2198,0,69,591,1682,10,0,,1,6,,1,07,,1,104,8,,0,3,,,,,,,,0,10,4774,1,11,68,68,5,2,,8.4,,,,,2,1,1,2,1,10,1958-04-14
58LA00020,58,2,2201,0,82,478,1685,10,0,,1,6,,1,07,,1,105,8,,0,2,,,,,,,,0,10,0603,2,14,76,68,7,2,,10.0,,,,,1,1,1,2,1,10,1958-04-15
58LA00021,58,2,2202,0,82,478,1685,10,0,,1,6,,1,07,,1,105,8,,0,2,,,,,,,,0,10,0603,2,14,80,68,7,2,,10.0,,,,,2,1,1,2,1,10,1958-04-15
58LA00022,58,2,2124,0,69,611,1687,10,0,,1,6,,1,07,,1,91,8,,0,2,,,,7743,17,-,,0,10,4585,1,11,87,68,5,1,,9.6,,,,,1,1,1,2,1,10,1958-04-01
58LA00023,58,1,2125,0,69,611,1687,10,0,,1,6,,1,07,,1,91,8,,0,2,,,,,,,,0,10,4585,1,11,104,68,5,1,,9.0,,,,,2,1,1,2,1,10,1958-04-01
58LA00024,58,,,,69,499,1688,10,0,,1,6,,,07,1,,121,-,,0,,,,,,,,,0,10,3080,2,14,,68,4,,,0.0,,,,,1,1,0,0,0,0,1958-05-01
58LA00025,58,1,2229,5,00,499,1688,10,0,,1,6,,1,04,2,1,143,8,,0,2,,,,,,,,0,48,0000,,61,67,68,0,,,9.4,,,,,1,1,1,2,1,10,1958-05-23
58LA00026,58,2,2230,5,00,499,1688,10,0,,1,6,,1,04,2,1,143,8,,143,2,,,,,,,,0,48,0000,,61,,68,0,,,9.0,,2,,,2,1,1,2,1,0,1958-05-23
58LA00027,58,1,2150,0,69,621,1690,10,0,,1,6,,1,07,,2,94,5,,0,4,,,,,,,,0,10,4799,1,11,111,68,5,1,,10.8,,,,,1,1,1,1,1,10,1958-04-04
58LA00028,58,2,2160,0,69,518,1691,10,0,,1,6,,1,07,,1,97,5,,101,4,,,,4212,14,+,,0,10,2374,2,14,,68,4,,,9.0,,6,,,1,1,1,1,1,0,1958-04-07
58LA00029,58,2,2211,0,69,329,1692,10,0,,1,6,,1,07,,1,110,8,,0,3,,,,,,,,0,10,5016,1,11,67,68,4,2,,9.6,,,,,1,1,1,2,1,10,1958-04-20
58LA00030,58,1,2212,0,69,329,1692,10,0,,1,6,,1,07,,1,110,8,,0,3,,,,,,,,0,10,5016,1,11,82,68,4,2,,10.2,,,,,2,1,1,2,1,10,1958-04-20
58LA00031,58,2,2128,0,69,661,1694,10,0,,1,6,,1,07,,1,91,5,,0,4,,,,,,,,0,10,3195,2,14,88,68,5,1,,12.8,,,,,1,1,1,1,1,10,1958-04-01
58LA00032,58,1,2191,0,69,641,1695,10,0,,1,6,,1,07,,1,103,8,,0,3,,,,1769,14,-,,0,10,3387,2,14,77,68,5,2,,9.6,,,,,1,1,1,2,1,10,1958-04-13
58LA00033,58,2,2192,0,69,641,1695,10,0,,1,6,,1,07,,1,103,8,,0,3,,,,,,,,0,10,3387,2,14,78,68,5,2,,10.2,1,,,10,2,1,1,2,1,10,1958-04-13
58LA00034,58,1,2130,0,69,398,1696,10,0,,1,6,,1,07,,1,92,5,,0,4,,,,,,,,0,10,1714,2,14,102,68,4,1,,11.6,1,,,01,1,1,1,1,1,10,1958-04-02
58LA00035,58,,,,69,348,1697,10,0,,1,6,,,07,,,164,-,,0,,,,,,,,,0,10,4458,1,11,,68,4,,,0.0,,,,,1,1,0,0,0,0,1958-06-12
58LA00036,58,,,,69,409,1702,10,0,,1,6,,,07,,,63,-,,0,,,,,,,,,0,10,2435,2,14,,68,4,,,0.0,,,,,1,1,0,0,0,0,1958-03-04
58LA00037,58,2,2161,0,69,479,1706,10,0,,1,6,,1,07,,1,97,5,,0,4,,,,,,,,0,10,2461,2,14,73,68,4,1,,11.0,,,,,1,1,1,1,1,10,1958-04-07
58LA00038,58,1,,,69,329,1710,10,0,,1,4,,1,07,,1,92,1,,0,3,,,,4073,14,+,,0,10,5016,1,11,,69,4,,,12.0,,1,,,1,1,1,1,0,0,1958-04-02
58LA00039,58,1,2156,0,69,348,1712,10,0,,1,4,,1,07,,2,96,8,,0,4,,,,,,,,0,10,4458,1,11,90,69,4,1,,8.8,,,,,1,1,1,2,1,10,1958-04-06
58LA00040,58,1,2157,0,69,348,1712,10,0,,1,4,,1,07,,2,96,8,,0,4,,,,,,,,0,10,4458,1,11,81,69,4,1,,8.2,,,,,2,1,1,2,1,10,1958-04-06
58LA00041,58,1,,,69,468,1719,10,0,,1,4,,,07,,,84,0,,0,1,,,,,,,,0,10,1575,2,14,,69,4,,,0.0,,0,,13,1,1,1,1,0,0,1958-03-25
58LA00042,58,2,2139,0,69,561,1724,10,0,,1,4,,1,07,,1,92,5,,120,4,,,,,,,,0,10,4706,1,11,,69,5,,,9.0,,6,,,1,1,1,1,1,0,1958-04-02
58LA00043,58,,,,69,611,1728,10,0,,1,4,,,07,,,106,0,,0,0,,,,,,,,0,10,4585,1,11,,69,5,,,0.0,,0,,,1,1,1,1,0,0,1958-04-16
58LA00044,58,2,2195,0,69,519,1731,10,0,,1,4,,1,07,,1,103,8,,0,4,,,,,,,,0,10,2579,2,14,49,69,4,2,,7.2,,,,,1,1,1,2,1,10,1958-04-13
58LA00045,58,1,2196,0,69,519,1731,10,0,,1,4,,1,07,,1,103,8,,0,4,,,,,,,,0,10,2579,2,14,79,69,4,2,,10.0,,,,,2,1,1,2,1,10,1958-04-13
58LA00046,58,1,2167,0,69,399,1733,10,0,,1,4,,1,07,,1,99,5,,0,4,,,,,,,,0,10,0396,2,14,90,69,4,1,,14.0,,,,,1,1,1,1,1,10,1958-04-09
58LA00047,58,,,,69,671,1743,10,0,,1,4,,,07,,,116,-,,0,,,,,,,,,0,10,2504,2,14,,69,5,,,0.0,,,,,1,1,0,0,0,0,1958-04-26
58LA00048,58,1,2134,0,69,469,1751,10,0,,1,4,,1,07,,3,92,8,,0,3,,,,2795,14,-,,0,10,1994,2,14,87,69,4,8,,8.6,,,,,1,1,1,2,1,10,1958-04-02
