UID,YR,SEX,LAMB,LBRD,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,LB2,DB2,SB2,LB,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TRT2,X2,BRWT,ABNL,DISP,ABLMB,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
60LA00001,60,2,2463,10,1,69,700,1647,10,1,,5,9,,1,07,,1,109,8,,0,4,,,,,,,0,0,4,0,4114,1,14,71,68,5,,2,10.8,2,,16,&,1,1,1,2,1,10,1960-04-18
60LA00002,60,2,2464,10,1,69,700,1647,10,1,,5,9,,1,07,,1,109,8,,0,4,,,,,,,0,0,4,0,4114,1,14,54,68,5,,2,9.0,,,,&,2,1,1,2,1,10,1960-04-18
60LA00003,60,2,2440,10,1,69,508,1650,10,1,,1,8,,1,07,,1,103,5,,0,3,,,,,,,0,0,4,0,1705,1,14,78,68,4,,1,12.4,,,,&,1,1,1,1,1,10,1960-04-12
60LA00004,60,2,2383,10,1,69,498,1655,10,1,,,8,,1,07,,3,95,8,,236,3,,,,,,,0,0,4,0,4188,1,14,,68,4,,,10.4,,6,,&,1,1,1,2,1,0,1960-04-04
60LA00005,60,2,2384,10,1,69,498,1655,10,1,,3,8,,1,07,,1,95,8,,0,3,,,,,,,0,0,4,0,4188,1,14,73,68,4,,1,11.2,,,,&,2,1,1,2,1,10,1960-04-04
60LA00006,60,1,2372,10,1,69,478,1666,10,1,,3,8,,1,07,,1,93,8,,0,3,,,,,,,0,0,4,0,2461,1,14,91,68,4,,1,9.4,,,,&,1,1,1,2,1,10,1960-04-02
60LA00007,60,1,2373,10,1,69,478,1666,10,1,,4,8,,1,07,,1,93,8,,0,3,,,,1899,14,-,0,0,4,0,2461,1,14,85,68,4,,1,9.6,1,,03,&,2,1,1,2,1,10,1960-04-02
60LA00008,60,2,2430,10,1,69,518,1685,10,1,,4,8,,1,07,,1,102,8,,0,3,,,,2744,41,-,0,0,4,0,4420,1,14,79,68,4,,3,12.4,,,,&,1,1,1,2,1,10,1960-04-11
60LA00009,60,1,2431,10,1,69,518,1685,10,1,,4,8,,1,07,,1,102,8,,0,3,,,,0735,14,-,0,0,4,0,4420,1,14,96,68,4,,2,12.4,,,,&,2,1,1,2,1,10,1960-04-11
60LA00010,60,1,2382,10,1,69,348,1688,10,1,,1,8,,1,07,,1,94,5,,0,4,,,,,,,0,0,1,0,5102,1,11,93,68,4,,1,13.6,,,,&,1,1,1,1,1,10,1960-04-03
60LA00011,60,2,2429,10,1,69,328,1690,10,1,,1,8,,1,07,,1,102,5,,0,4,,,,,,,0,0,1,0,5058,1,11,89,68,4,,1,12.2,,,,&,1,1,1,1,1,10,1960-04-11
60LA00012,60,1,2356,10,1,69,298,1691,10,1,,1,8,,1,07,,2,89,5,,0,4,,,,,,,0,0,4,0,4218,1,14,104,68,4,,1,12.0,,,,&,1,1,1,1,1,10,1960-03-29
60LA00013,60,1,2376,10,1,69,428,1696,10,1,,5,8,,1,07,,1,94,8,,0,4,,,,,,,0,0,1,0,0119,9,91,76,68,4,,1,11.4,,,,&,1,1,1,2,1,10,1960-04-03
60LA00014,60,1,2377,10,1,69,428,1696,10,1,,5,8,,1,07,,3,94,8,,0,4,,,,,,,0,0,1,0,0119,9,91,76,68,4,,1,10.4,,,,&,2,1,1,2,1,10,1960-04-03
60LA00015,60,1,2446,10,1,69,258,1728,10,1,,5,6,,1,07,,1,105,8,,0,3,,,,,,,0,0,4,0,2805,1,14,82,69,4,,2,12.6,,,,&,1,1,1,2,1,10,1960-04-14
60LA00016,60,2,2447,10,1,69,258,1728,10,1,,5,6,,1,07,,1,105,8,,0,3,,,,,,,0,0,4,0,2805,1,14,69,69,4,,2,9.6,2,,16,&,2,1,1,2,1,10,1960-04-14
60LA00017,60,1,2448,10,1,69,218,1731,10,1,,5,6,,1,07,,1,105,8,,0,4,,,,,,,0,0,1,0,5188,1,11,89,69,4,,2,12.2,,,,&,1,1,1,2,1,10,1960-04-14
60LA00018,60,2,2449,10,1,69,218,1731,10,1,,5,6,,1,07,,1,105,8,,0,4,,,,,,,0,0,1,0,5188,1,11,50,69,4,,2,9.0,,,,&,2,1,1,2,1,10,1960-04-14
60LA00019,60,1,2399,10,1,69,198,1733,10,1,,1,6,,1,07,,3,97,5,,0,5,,,,,,,0,0,1,0,5223,1,11,78,69,4,,1,12.6,,,,&,1,1,1,1,1,10,1960-04-06
60LA00020,60,2,2392,10,1,69,248,1743,10,1,,3,6,,1,07,,1,96,8,,0,3,,,,,,,0,0,1,0,4073,1,11,55,69,4,,1,8.8,,,,&,1,1,1,2,1,10,1960-04-05
60LA00021,60,2,2393,10,1,69,248,1743,10,1,,4,6,,1,07,,1,96,8,,0,3,,,,9130,17,-,0,0,1,0,4073,1,11,70,69,4,,1,8.2,,,,&,2,1,1,2,1,10,1960-04-05
60LA00022,60,2,2434,10,1,69,288,1758,10,1,,5,6,,1,07,,1,103,8,,0,4,,,,,,,0,0,4,0,2775,1,14,81,69,4,,2,11.0,,,,&,1,1,1,2,1,10,1960-04-12
60LA00023,60,1,2435,10,1,69,288,1758,10,1,,5,6,,1,07,,1,103,8,,0,4,,,,,,,0,0,4,0,2775,1,14,79,69,4,,2,11.2,,,,&,2,1,1,2,1,10,1960-04-12
60LA00024,60,1,2468,10,1,69,228,1759,10,1,,3,6,,1,07,,1,112,7,,119,3,,,,,,,0,0,4,0,4239,1,14,,69,4,,,11.6,,6,,&,1,1,1,2,1,0,1960-04-21
60LA00025,60,1,,10,1,69,228,1759,10,1,,,6,,1,07,,1,112,7,,0,3,,,,,,,0,0,4,0,4239,1,14,,69,4,,,11.2,,1,,,2,1,1,2,0,0,1960-04-21
60LA00026,60,1,2450,10,1,69,238,1762,10,1,,5,6,,1,07,,1,105,8,,0,4,,,,,,,0,0,1,0,5318,1,11,66,69,4,,2,12.6,,,,&,1,1,1,2,1,10,1960-04-14
60LA00027,60,1,2451,10,1,69,238,1762,10,1,,5,6,,1,07,,1,105,8,,0,4,,,,,,,0,0,1,0,5318,1,11,79,69,4,,2,12.0,,,,&,2,1,1,2,1,10,1960-04-14
60LA00028,60,2,2462,10,1,69,268,1778,10,1,,1,6,,1,07,,1,109,5,,0,3,,,,,,,0,0,4,0,4066,1,14,84,69,4,,7,10.0,,,,&,1,1,1,1,1,10,1960-04-18
60LA00029,60,,,10,1,69,358,1781,10,1,,,6,,,07,,,64,-,,0,,,,,,,,0,0,4,0,4588,1,14,,69,4,,,0.0,,,,,1,1,0,0,0,0,1960-03-04
60LA00030,60,1,2474,10,1,69,408,1789,10,1,,1,6,,1,07,,2,115,5,,0,4,,,,,,,0,0,4,0,3087,1,14,96,69,4,,3,14.4,,,,&,1,1,1,1,1,10,1960-04-24
60LA00031,60,1,2454,10,1,69,368,1803,10,1,,1,5,,1,07,,1,106,5,,0,4,,,,,,,0,0,4,0,4424,1,14,97,69,4,,2,11.8,,,,&,1,1,1,1,1,10,1960-04-15
60LA00032,60,1,2433,10,1,69,378,1806,10,1,,1,5,,1,07,,1,102,5,,0,4,,,,,,,0,0,4,0,1755,1,14,93,69,4,,1,13.8,,,,&,1,1,1,1,1,10,1960-04-11
60LA00033,60,1,,10,1,69,398,1812,10,1,,,5,,1,07,,1,93,4,,0,3,,,,4591,41,+,0,0,4,0,1714,1,14,,69,4,,,0.0,,1,,,1,1,1,2,0,0,1960-04-02
60LA00034,60,1,,10,1,69,398,1812,10,1,,,5,,1,07,,1,93,4,,0,3,,,,,,,0,0,4,0,1714,1,14,,69,4,,,0.0,,1,,,2,1,1,2,0,0,1960-04-02
60LA00035,60,1,2355,10,1,00,000,1816,10,1,,1,5,,1,00,3,1,89,5,,0,3,,,,,,,0,0,,0,0000,,00,90,69,0,,1,13.4,,,,&,1,1,1,1,1,10,1960-03-29
