UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,X2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABEWE,DISP,INBD,FONO,FOBR,FOPU,X3,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,X4,Y2,Y3,BRWT,Y5,ABLMB,X5,CDNO,DATEBN
63LA00001,63,1,1336,3,70,730,0139,18,1,,,3,,1,07,,1,96,5,,0,4,,,,,,,,8,18,9209,17,1,99,70,2,1,,1,1,10.1,10,,,1,1963-04-06
63LA00002,63,2,1474,3,70,710,0145,18,1,,,3,,1,07,,1,104,8,,0,5,,,,,,,,8,18,0482,18,1,68,70,2,1,,1,2,9.4,10,,,1,1963-04-14
63LA00003,63,2,1475,3,70,710,0145,18,1,,,3,,1,07,,2,104,8,,0,5,,,,,,,,8,18,0482,18,1,72,70,2,1,,1,2,9.1,10,,,2,1963-04-14
63LA00004,63,1,1390,3,70,710,0151,18,1,,,3,,1,07,,1,99,5,,0,3,,,,,,,,8,18,0482,18,1,108,70,2,1,,1,1,12.6,10,,,1,1963-04-09
63LA00005,63,1,1398,3,70,720,0154,18,1,,,3,,1,07,,1,100,5,,0,4,,,,,,,,8,18,0605,18,1,81,70,2,1,,1,1,10.6,10,,,1,1963-04-10
63LA00006,63,2,1488,3,70,730,0167,18,1,,,3,,3,07,,1,105,5,,0,4,,,,,,,,8,18,9209,17,1,93,70,2,1,,1,1,12.4,10,,,1,1963-04-15
63LA00007,63,2,1482,3,72,940,0184,18,1,,,3,,1,07,,2,104,5,,0,4,,,,,,,,8,18,0968,18,1,83,72,3,1,,1,1,11.5,10,,,1,1963-04-14
63LA00008,63,2,1548,3,72,930,0191,18,1,,,3,,1,07,,1,108,5,,0,4,,,,,,,,8,18,0887,18,1,78,72,3,1,,1,1,10.0,10,,,1,1963-04-18
63LA00009,63,1,1560,3,70,720,0193,18,1,,,3,,1,07,,2,108,8,,0,4,,,,,,,,8,18,0605,18,1,83,70,2,1,,1,2,10.1,10,,,1,1963-04-18
63LA00010,63,2,1561,3,70,720,0193,18,1,,,3,,1,07,,1,108,8,,145,4,,2,,,,,,8,18,0605,18,1,,70,2,1,,1,2,7.4,0,,,2,1963-04-18
63LA00011,63,1,1379,3,70,710,0199,18,1,,,3,,1,07,,1,99,8,,0,4,,,,,,,,8,18,0482,18,1,88,70,2,1,,1,2,10.6,10,,,1,1963-04-09
63LA00012,63,2,1380,3,70,710,0199,18,1,,,3,,1,07,,1,99,8,,0,4,,,,,,,,8,18,0482,18,1,65,70,2,1,,1,2,8.8,10,,,2,1963-04-09
