UID,YR,SEX,LAMB,LB1,LINE,BPEN,DAM,DBRD,DB1,INBRL,CODE,ADAM,TRT,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,INBRD,FONO,FOPU,TRT2,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,CODE2,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,DATEBN,STMD
72LA00001,72,2,6547,1,32,320,5741,11,1,29,5,00,,1,07,,1,94,8,,0,1,,,22,,,,1,11,6472,11,1,69,32,1,1,,1,2,8.8,10,,6,1,1972-04-03,07
72LA00002,72,2,6548,1,32,320,5741,11,1,29,5,00,,1,07,,1,94,8,,0,1,,,22,,&,,1,11,6472,11,0,55,32,1,1,,0,0,7.0,5,,6,2,1972-04-03,07
72LA00003,72,2,6546,1,32,320,5970,11,1,35,5,90,,1,07,,1,93,5,,0,4,09,,35,,,,1,11,6472,11,1,51,32,1,1,,1,1,11.2,10,,6,1,1972-04-02,07
72LA00004,72,2,6543,1,24,240,5979,11,1,40,5,80,,1,07,,1,89,8,,91,3,33,6,31,,,,1,11,6457,11,1,0,24,1,1,,1,2,5.8,0,79,7,1,1972-03-29,07
72LA00005,72,2,6544,1,24,240,5979,11,1,40,5,80,,1,07,,1,89,8,,91,3,,6,31,,,,1,11,6457,11,0,0,24,1,1,,0,0,6.0,0,79,7,2,1972-03-29,07
72LA00006,72,2,6587,1,24,240,6071,11,1,40,5,80,,1,07,,1,107,8,,0,3,,,31,,,,1,11,6457,11,1,68,24,1,1,,1,2,8.4,10,,6,1,1972-04-16,07
72LA00007,72,2,6588,1,24,240,6071,11,1,40,5,80,,1,07,,1,107,8,,0,3,,,31,,&,,1,11,6457,11,0,64,24,1,1,,0,0,8.8,5,,6,2,1972-04-16,07
72LA00008,72,2,6569,1,24,240,6088,11,1,39,5,80,,1,07,,1,101,8,,0,4,,,28,,,,1,11,6457,11,1,45,24,1,1,,1,2,8.4,10,,7,1,1972-04-10,07
72LA00009,72,1,6570,1,24,240,6088,11,1,39,5,80,,1,07,,1,101,8,,0,4,,,28,,,,1,11,6457,11,0,51,24,1,1,,0,0,9.0,10,,7,2,1972-04-10,07
72LA00010,72,1,6576,1,24,240,6105,11,1,40,5,80,,1,07,,1,104,8,,106,2,,6,29,,,,1,11,6457,11,1,0,24,1,1,,1,2,8.0,0,,6,1,1972-04-13,07
