UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,DB1,C19,Y5A,C21,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,C4243,FONO,FOPU,TRT2,DB2,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,YR
77LA00001,1977-03-21,3,X0119,79,1,00,000,00000,00,00,,,1,,30,,5,00,3,1,80,5,,0,2,,,,073493,-,,,00000,00,1,75,,0,1,,1,1,65,5,,,1,77
77LA00002,1977-04-09,2,X1277,79,1,00,000,00000,00,00,,,,,,,5,00,3,1,99,5,,112,3,,6,,562962,-,,,00000,00,1,0,,0,1,,1,1,115,0,,,1,77
77LA00003,1977-04-11,3,U4900,93,1,00,000,00000,00,00,,,1,,30,,1,00,3,1,101,5,,0,0,,,,876218,-,,,00000,00,1,72,,0,1,,1,1,118,5,,,1,77
77LA00004,1977-03-26,2,X0313,79,1,00,000,00000,00,00,,,1,,30,,5,00,3,1,85,5,,0,2,,,,855918,-,,,00000,00,1,86,,0,1,,1,1,70,5,,,1,77
77LA00005,1977-05-18,2,X1825,79,1,00,000,00000,00,00,,,,,,,5,00,3,1,138,5,,154,3,,6,,,&,,,00000,00,1,0,,0,1,,1,1,110,0,,,1,77
77LA00006,1977-03-27,3,X0320,79,1,00,000,00000,00,00,,,1,,20,,5,00,3,1,86,5,,0,2,,,,132693,-,,,00000,00,1,101,,0,1,,1,1,100,5,,,1,77
77LA00007,1977-03-28,3,X0398,79,1,00,000,00000,00,00,,,1,,40,,5,00,3,1,87,5,,284,2,,3,,,&,,,00000,00,1,117,,0,1,93,1,1,121,5,,,1,77
77LA00008,1977-03-28,3,X0397,79,1,00,000,00000,00,00,,,1,,40,,5,00,3,1,87,5,,0,1,,,,873490,-,,,00000,00,1,105,,0,1,,1,1,125,5,,,1,77
77LA00009,1977-03-24,3,X0208,79,1,00,000,00000,00,00,,,1,,30,,5,00,3,1,83,5,,0,2,,,,018493,-,,,00000,00,1,104,,0,1,,1,1,81,5,,,1,77
77LA00010,1977-04-28,3,U5526,93,1,00,000,00000,00,00,,,,,,,1,00,3,1,118,5,,180,3,,6,,,&,,,00000,00,1,0,,0,1,,1,1,110,0,,,1,77
