UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
81LA00001,1981-04-18,1,Y1814,02,,00,,00000,00,00,,1,,,,1,00,3,1,108,8,,0,,,,,568601,-,,00000,00,0,77,,0,1,,0,0,082,5,,,,81
81LA00002,1981-04-11,3,X7262,79,,00,,00000,00,00,,1,,,,1,00,3,1,101,5,,0,,,,,,&,,00000,00,0,73,,0,1,,0,0,075,5,,,,81
81LA00003,1981-04-04,2,X7032,79,,00,,00000,00,00,,1,,,,5,00,3,1,94,5,,0,0,,,,012219,-,,00000,00,0,65,,0,1,,0,0,122,5,,,,81
81LA00004,1981-04-06,2,X7136,79,,00,,00000,00,00,,1,,,,1,00,3,1,96,5,,0,,,,,,&,,00000,00,0,51,,0,1,,0,0,091,5,,,,81
81LA00005,1981-04-04,2,X7030,79,,00,,00000,00,00,,1,,,,1,00,3,1,94,5,,0,0,,,,,&,,00000,00,0,59,,0,1,,0,0,045,5,,,,81
81LA00006,1981-02-10,2,X6145,79,,00,,00000,00,00,,1,,,,4,00,3,1,41,5,,0,0,,,,,&,,00000,00,0,63,,0,1,,0,0,135,5,,,,81
81LA00007,1981-04-07,2,M0818,94,,00,,00000,00,00,,1,,,,2,00,3,1,97,5,,0,3,,,,,,,00000,00,0,54,,0,1,,0,0,088,10,,,,81
81LA00008,1981-04-15,2,M1606,94,,00,,00000,00,00,,1,,,,1,00,3,1,105,5,,0,0,,,,901742,-,,00000,00,0,73,,0,1,,0,0,086,5,,,,81
81LA00009,1981-03-19,3,X6276,79,,00,,00000,00,00,,1,,,,1,00,3,1,78,5,,0,0,,,,072019,-,,00000,00,0,62,,0,1,,0,0,066,5,,,,81
81LA00010,1981-04-10,3,X7260,79,,00,,00000,00,00,,1,,,,1,00,3,3,100,5,,0,,,,,,&,,00000,00,0,63,,0,1,,0,0,064,5,,,,81
81LA00011,1981-04-18,3,X7303,79,,00,,00000,00,00,,1,,,,1,00,3,1,108,5,,0,,,,,653001,-,,00000,00,0,77,,0,1,,0,0,082,5,,,,81
81LA00012,1981-04-03,3,X7008,79,,00,,00000,00,00,,1,,,,1,00,3,1,93,5,,0,,,,,143743,-,,00000,00,0,73,,0,1,,0,0,105,5,,,,81
81LA00013,1981-04-11,2,X7266,79,,00,,00000,00,00,,1,,,,1,00,3,1,101,5,,0,,,,,384162,-,,00000,00,0,65,,0,1,,0,0,102,5,,,,81
81LA00014,1981-02-19,3,X6165,79,,00,,00000,00,00,,1,,,,1,00,3,1,50,5,,0,0,,,,,&,,00000,00,0,73,,0,1,,0,0,080,5,,,,81
81LA00015,1981-04-17,3,X7299,79,,00,,00000,00,00,,1,,,,1,00,3,1,107,5,,0,,,,,302043,-,,00000,00,0,64,,0,1,,0,0,075,5,,,,81
81LA00016,1981-05-02,2,X7392,79,,00,,00000,00,00,,1,,,,1,00,3,1,122,5,,0,0,,,,,&,,00000,00,0,64,,0,1,,0,0,105,5,,,,81
81LA00017,1981-04-18,2,Y1815,02,,00,,00000,00,00,,1,,,,1,00,3,1,108,8,,0,,,,,568601,-,,00000,00,0,65,,0,1,,0,0,094,5,,,,81
81LA00018,1981-04-05,2,X7104,79,,00,,00000,00,00,,1,,,,5,00,3,1,95,5,,0,0,,,,052619,-,,00000,00,0,66,,0,1,,0,0,080,5,,,,81
81LA00019,1981-04-11,3,X7270,79,,00,,00000,00,00,,1,,,,1,00,3,1,101,8,,0,,,,,,&,,00000,00,0,74,,0,1,,0,0,099,5,,,,81
81LA00020,1981-04-10,3,X7252,79,,00,,00000,00,00,,,,,,1,00,3,3,100,5,,102,,,6,,,&,,00000,00,0,0,,0,1,01,0,0,040,0,,,,81
81LA00021,1981-04-12,3,X7273,79,,00,,00000,00,00,,1,,,,1,00,3,1,102,5,,0,,,,,806818,-,,00000,00,0,57,,0,1,,0,0,083,5,,,,81
81LA00022,1981-04-10,2,X7251,79,,00,,00000,00,00,,1,,,,1,00,3,3,100,5,,0,,,,,,&,,00000,00,0,47,,0,1,,0,0,035,5,,,,81
81LA00023,1981-04-11,2,X7269,79,,00,,00000,00,00,,1,,,,1,00,3,1,101,8,,0,,,,,,&,,00000,00,0,73,,0,1,,0,0,092,5,,,,81
81LA00024,1981-02-10,3,X6144,79,,00,,00000,00,00,,,,,,1,00,3,1,41,5,,47,0,,6,,,,,00000,00,0,0,,0,1,01,0,0,120,0,,,,81
81LA00025,1981-03-11,2,X6258,79,,00,,00000,00,00,,,,,,1,00,3,1,70,5,,71,0,,6,,,&,,00000,00,0,0,,0,1,01,0,0,075,0,,,,81
81LA00026,1981-04-25,3,M2229,94,,00,,00000,00,00,,1,,,,1,00,3,1,115,5,,0,2,,,,,,,00000,00,0,50,,0,1,,0,0,063,10,,,,81
81LA00027,1981-04-12,3,X7275,79,,00,,00000,00,00,,1,,,,1,00,3,1,102,5,,0,,,,,787993,-,,00000,00,0,75,,0,1,,0,0,109,5,,,,81
81LA00028,1981-04-14,2,X7287,79,,00,,00000,00,00,,,,,,1,00,3,1,104,5,,105,,,6,,,,,00000,00,0,0,,0,1,01,0,0,079,0,,,,81
81LA00029,1981-04-12,2,X7274,79,,00,,00000,00,00,,1,,,,1,00,3,1,102,5,,0,,,,,,&,,00000,00,0,72,,0,1,,0,0,059,5,,,,81
81LA00030,1981-04-15,2,M1605,94,,00,,00000,00,00,,,,,,1,00,3,1,105,5,,110,0,,6,,,&,,00000,00,0,0,,0,1,01,0,0,080,0,,,,81
81LA00031,1981-04-09,3,X7233,79,,00,,00000,00,00,,1,,,,1,00,3,1,99,5,,0,,,,,,&,,00000,00,0,88,,0,1,,0,0,099,5,,,,81
81LA00032,1981-04-02,2,X6941,79,,00,,00000,00,00,,1,,,,5,00,3,1,92,5,,0,,,,,763893,-,,00000,00,0,53,,0,1,,0,0,082,5,,,,81
81LA00033,1981-04-12,3,X7271,79,,00,,00000,00,00,,,,,,1,00,3,1,102,5,,105,,,6,,248719,-,,00000,00,0,0,,0,1,01,0,0,091,0,,,,81
81LA00034,1981-04-12,2,X7272,79,,00,,00000,00,00,,1,,,,1,00,3,1,102,5,,0,,,,,908162,-,,00000,00,0,42,,0,1,,0,0,052,5,,,,81
81LA00035,1981-04-04,2,X7087,79,,00,,00000,00,00,,1,,,,1,00,3,1,94,5,,0,0,,,,922593,-,,00000,00,0,70,,0,1,,0,0,070,5,,,,81
81LA00036,1981-04-10,3,X7253,79,,00,,00000,00,00,,1,,,,1,00,3,1,100,5,,0,,,,,,&,,00000,00,0,65,,0,1,,0,0,043,5,,,,81
81LA00037,1981-04-02,2,X6935,79,,00,,00000,00,00,,1,,,,5,00,3,1,92,5,,0,,,,,029993,-,,00000,00,0,69,,0,1,,0,0,096,5,,,,81
81LA00038,1981-04-10,2,X7250,79,,00,,00000,00,00,,1,,,,1,00,3,3,100,5,,0,,,,,983193,-,,00000,00,0,54,,0,1,,0,0,065,5,,,,81
81LA00039,1981-04-11,3,X7267,79,,00,,00000,00,00,,1,,,,1,00,3,1,101,5,,0,,,,,,&,,00000,00,0,86,,0,1,,0,0,102,5,,,,81
81LA00040,1981-04-18,2,X7301,79,,00,,00000,00,00,,1,,,,1,00,3,1,108,5,,0,,,,,142101,-,,00000,00,0,65,,0,1,,0,0,104,5,,,,81
81LA00041,1981-04-06,3,X7152,79,,00,,00000,00,00,,,,,,1,00,3,1,96,5,,98,,,6,,,&,,00000,00,0,0,,0,1,01,0,0,092,0,78,,,81
81LA00042,1981-04-11,1,T4158,43,1,49,491,P3673,01,02,,1,,60,0,1,02,,1,101,8,,0,4,,,01,,,,P6166,01,1,74,49,4,1,,1,2,103,10,,,1,81
81LA00043,1981-04-11,1,T4159,43,,49,491,P3673,01,02,,1,,60,0,1,02,,1,101,8,,0,4,,,01,,,,P6166,01,0,74,49,4,1,,0,0,100,10,,,2,81
81LA00044,,,,43,1,49,493,P6025,01,02,,,,40,0,,02,,,0,,,0,,,,,,,,P6871,01,1,0,49,4,0,,0,0,,0,,,1,81
81LA00045,1981-04-13,2,T4232,43,1,49,492,P1405,01,02,,1,,90,0,1,02,,1,103,8,,0,3,13,,,065819,-,,T3762,43,1,78,49,4,1,,1,2,100,5,,,1,81
81LA00046,1981-04-13,1,T4233,43,,49,492,P1405,01,02,,1,,90,0,1,02,,3,103,8,,0,3,,,,,,,T3762,43,0,80,49,4,1,,0,0,116,10,,,2,81
81LA00047,1981-04-18,1,T4414,43,1,49,492,P1421,01,02,,1,,90,0,1,02,,1,108,5,,0,4,,,13,730179,+,,T3762,43,1,79,49,4,1,,1,1,141,15,,,1,81
81LA00048,1981-04-22,1,T4615,43,1,49,493,P1448,01,02,,1,,90,0,1,02,,1,112,5,,0,4,,,,,,,P6871,01,1,80,49,4,1,,1,1,127,10,,,1,81
81LA00049,1981-04-13,2,T4228,43,1,49,491,P1523,01,02,,1,,90,0,1,02,,1,103,8,,0,4,10,,06,,,,P6166,01,1,72,49,4,1,,1,2,095,10,,,1,81
81LA00050,1981-04-13,1,T4229,43,,49,491,P1523,01,02,,,,90,0,1,02,,1,103,8,,104,4,,6,06,,,,P6166,01,0,0,49,4,1,01,0,0,074,0,,,2,81
81LA00051,1981-04-25,2,T4699,43,1,49,492,P2011,01,02,,1,,80,0,1,02,,1,115,8,,0,5,,,11,,,,T3762,43,1,74,49,4,1,,1,2,090,10,,,1,81
81LA00052,1981-04-25,1,T4700,43,,49,492,P2011,01,02,,1,,80,0,1,02,,1,115,8,,0,5,,,11,,,,T3762,43,0,68,49,4,1,,0,0,090,10,,,2,81
81LA00053,1981-04-12,1,T4211,43,1,49,493,P2236,01,02,,1,,80,0,1,02,,1,102,8,,0,4,,,16,,,,P6871,01,1,58,49,4,1,,1,2,083,10,,,1,81
81LA00054,1981-04-12,1,T4212,43,,49,493,P2236,01,02,,1,,80,0,1,02,,1,102,8,,0,4,,,16,,,,P6871,01,0,50,49,4,1,,0,0,087,10,,,2,81
81LA00055,1981-04-17,1,T4397,43,1,49,491,P2268,01,02,,1,,80,0,1,02,,1,107,8,,0,3,,,05,,,,P6166,01,1,72,49,4,1,,1,2,089,10,,,1,81
81LA00056,1981-04-17,2,T4398,43,,49,491,P2268,01,02,,,,80,0,2,02,,1,107,8,,112,3,,6,05,,,,P6166,01,0,0,49,4,1,01,0,0,101,0,,,2,81
81LA00057,1981-04-06,2,T4068,43,1,49,492,P2269,01,02,,1,,80,0,1,02,,1,96,9,,0,3,,,12,769862,-,,T3762,43,1,78,49,4,1,,1,3,086,5,,,1,81
81LA00058,1981-04-06,2,T4069,43,,49,492,P2269,01,02,,1,,80,0,1,02,,1,96,9,,0,3,,,12,,,,T3762,43,0,64,49,4,1,,0,0,085,10,,,2,81
81LA00059,1981-04-06,2,T4070,43,,49,492,P2269,01,02,,1,,80,0,1,02,,1,96,9,,0,3,,,12,,,,T3762,43,0,73,49,4,1,,0,0,080,10,,,3,81
81LA00060,,,,43,1,49,493,P2292,01,02,,,,80,0,,02,,,0,,,0,,,,16,,,,P6871,01,1,0,49,4,0,,0,0,,0,,,1,81
81LA00061,1981-04-20,2,T4493,43,1,49,491,P2870,01,02,,1,,70,0,1,02,,1,110,5,,0,2,,,04,,,,P6166,01,1,71,49,4,1,,1,1,087,10,,,1,81
81LA00062,1981-04-18,1,T4419,43,1,49,492,P3023,01,02,,1,,70,0,1,02,,1,108,8,,0,2,02,,08,,,,T3762,43,1,67,49,4,1,,1,2,097,10,,,1,81
81LA00063,1981-04-18,2,T4420,43,,49,492,P3023,01,02,,,,70,0,1,02,,1,108,8,,121,2,,6,08,,&,,T3762,43,0,0,49,4,1,01,0,0,096,0,,,2,81
81LA00064,1981-04-16,2,T4353,43,1,49,493,P3135,01,02,,1,,70,0,1,02,,1,106,8,,0,2,04,,15,,&,,P6871,01,1,91,49,4,1,,1,2,105,5,,,1,81
81LA00065,1981-04-16,3,T4354,43,,49,493,P3135,01,02,,1,,70,0,1,02,,1,106,8,,0,2,,,15,,&,,P6871,01,0,95,49,4,1,,0,0,102,5,,,2,81
81LA00066,1981-04-12,2,T4202,43,1,49,491,P3161,01,02,,1,,70,0,1,02,,1,102,8,,0,4,,,,,,,P6166,01,1,82,49,4,1,,1,2,094,10,,,1,81
81LA00067,1981-04-12,1,T4203,43,,49,491,P3161,01,02,,1,,70,0,1,02,,1,102,8,,0,4,,,,,,,P6166,01,0,58,49,4,1,,0,0,105,10,,,2,81
