UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,TENT,TIME,ADAM,Y5A,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
86LA00001,1986-04-23,1,T8121,43,,00,,00000,00,1,,,,1,00,3,1,113,5,,114,0,,3,00,,&,00000,00,1,0,,0,1,93,1,1,11.5,0,,,,86
86LA00002,1986-03-23,3,X0898,80,,00,,00000,00,,,,1,5,00,3,1,82,8,,0,2,,,00,372419,-,00000,00,1,78,,0,1,,1,2,8.4,5,,,,86
86LA00003,1986-03-23,2,X1078,80,,00,,00000,00,,,,1,5,00,3,1,82,5,,0,3,,,00,664494,-,00000,00,1,88,,0,1,,1,1,11.0,5,,,,86
86LA00004,1986-03-14,3,X0895,80,,00,,00000,00,,,,1,1,00,3,1,73,5,,0,3,,,00,456297,-,00000,00,1,87,,0,1,,1,1,12.0,5,,,,86
86LA00005,1986-03-31,3,K1837,63,,00,,00000,00,,,,,1,00,3,1,90,8,,233,2,,7,00,146363,-,00000,00,1,0,,0,1,97,1,2,6.5,0,,,,86
86LA00006,1986-03-14,2,X0896,80,,00,,00000,00,,,,1,5,00,3,1,73,5,,0,3,,,00,456297,-,00000,00,1,88,,0,1,,1,1,12.0,5,,,,86
86LA00007,1986-04-19,2,X2356,80,,00,,00000,00,5,,,1,1,00,3,1,109,5,,0,0,,,00,,&,00000,00,1,79,,0,1,,1,1,9.8,5,,,,86
86LA00008,1986-04-09,3,X1350,80,,00,,00000,00,3,,,,1,00,3,1,99,5,,112,3,,3,00,,&,00000,00,1,0,,0,1,93,1,1,10.6,0,,,,86
86LA00009,1986-03-24,2,X0901,80,,00,,00000,00,,,,1,5,00,3,1,83,8,,0,3,,,00,393819,-,00000,00,1,74,,0,1,,1,2,4.9,5,,,,86
86LA00010,1986-04-19,3,X2310,80,,00,,00000,00,1,,,,1,00,3,1,109,8,,111,0,,3,00,,&,00000,00,1,0,,0,1,93,1,2,7.9,0,,,,86
86LA00011,1986-03-16,2,X0894,80,,00,,00000,00,,,,1,5,00,3,1,75,8,,0,3,,,00,703202,-,00000,00,1,71,,0,1,,1,2,8.0,5,,,,86
86LA00012,1986-04-30,2,T8293,43,,00,,00000,00,1,,,1,1,00,3,1,120,8,,0,2,,,00,737043,-,00000,00,1,73,,0,1,,1,2,10.5,5,,,,86
86LA00013,1986-04-13,2,S7407,19,,00,,00000,00,,,,,1,00,3,1,103,5,,233,1,,7,00,874662,-,00000,00,1,0,,0,1,97,1,1,10.6,0,,,,86
86LA00014,1986-03-25,2,X0902,80,,00,,00000,00,,,,1,1,00,3,1,84,5,,0,4,,,00,559894,-,00000,00,1,77,,0,1,,1,1,10.0,5,,,,86
86LA00015,1986-03-16,2,X0893,80,,00,,00000,00,,,,1,5,00,3,1,75,8,,0,2,,,00,425819,-,00000,00,1,74,,0,1,,1,2,8.5,5,,,,86
86LA00016,1986-04-16,2,X1989,80,,00,,00000,00,,,,1,1,00,3,1,106,8,,0,0,,,00,,&,00000,00,1,60,,0,1,,1,2,7.5,5,,,,86
86LA00017,1986-03-07,3,X0897,80,,00,,00000,00,,,,1,4,00,3,1,66,5,,0,4,,,00,036263,-,00000,00,1,70,,0,1,,1,1,13.0,5,,,,86
86LA00018,1986-03-16,3,X0891,80,,00,,00000,00,,,,1,5,00,3,1,75,5,,0,2,,,00,719702,-,00000,00,1,96,,0,1,,1,1,12.0,5,,,,86
86LA00019,1986-03-02,2,X0892,80,,00,,00000,00,,,,1,6,00,3,1,61,5,,0,3,,,00,503602,-,00000,00,1,84,,0,1,,1,1,13.0,5,,,,86
86LA00020,1986-05-18,1,X3064,80,1,,  1,01297,00,,,20,,1,01,3,1,138,5,2,233,2,,8,02,,,00000,19,1,0,,,1,97,1,1,9.9,0,,1,1,86
86LA00021,1986-05-06,1,X2999,80,1,,  1,01299,00,,,20,,1,01,3,1,126,8,1,233,4,,8,02,,,00000,19,1,0,,,1,97,1,2,11.0,0,,2,1,86
86LA00022,1986-05-06,1,X3000,80,,,  1,01299,00,,,20,,1,01,3,1,126,8,1,233,4,,8,02,,,00000,19,0,0,,,1,97,0,0,11.2,0,,2,2,86
86LA00023,1986-05-08,2,X3026,80,1,,  2,01305,00,,,20,,1,01,3,1,128,5,2,233,3,09,8,02,,,00000,19,1,0,,,1,97,1,1,10.1,0,,2,1,86
86LA00024,1986-04-30,2,X2905,80,1,,  1,01307,00,,,20,,1,01,3,1,120,5,1,233,3,,7,02,,&,00000,19,1,0,,,1,97,1,1,7.6,0,,1,1,86
86LA00025,1986-05-03,1,X2965,80,1,,  1,01308,00,,,20,,1,01,3,1,123,5,2,233,2,,8,02,,,00000,19,1,0,,,1,97,1,1,12.5,0,,1,1,86
86LA00026,1986-05-01,1,X2926,80,1,,  2,01309,00,,,20,,1,01,3,1,121,5,1,233,1,,8,02,,,00000,19,1,0,,,1,97,1,1,10.4,0,,2,1,86
86LA00027,1986-05-01,2,X2927,80,1,,  2,01310,00,,,20,,1,01,3,1,121,5,1,152,3,,6,02,,,00000,19,1,0,,,1,19,1,1,10.5,0,,1,1,86
