UID,DAM,DBRD,LNDAM,BPEN,ADAM,STMD,TRT,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JUWT,JDAY,BAND,SPEC,DATEBN,YR
88LA00001,K1747,63,63,633,30,06,7,,0408,,,,0.0,,,,,,0,,235203,,,,2,K1945,63,06,63,99,+,0,0,0,0,0,0,5,0,0,0,,,1988-04-08,88
88LA00002,K8918,62,61,611,80,06,7,3,0414,7,3,1,10.1,1,1,,,1,105,44,664680,IN SAC,26,,2,K2791,63,06,61,105,+,0,0,0,0,0,0,5,0,0,0,,,1988-04-14,88
88LA00003,1,97,97,297,50,97,7,1,0410,7,5,2,8.8,6,1,,,1,101,44,,IN SAC?,26,,2,M6574,97,97,97,101,,0,0,0,0,0,0,0,0,0,0,,,1988-04-10,88
88LA00004,S8108,19,11,  3,10,07,7,,,,,,0.0,,,,,,0,,,,,,1,S6934,19,07,11,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00005,T6981,43,41,005,30,02,,,,,,,0.0,,,,,,0,,,,,,1,X0616,95,52,44,0,,1,1,0,0,0,0,0,0,0,0,,1,,88
88LA00006,K1063,63,61,005,40,06,,,0510,8,5,2,10.5,5,1,,,6,131,01,,SMOTHERED,,,2,00000,97,30,00,131,,0,0,0,0,1,0,0,0,0,0,,2,1988-05-10,88
88LA00007,M6577,97,97,297,40,97,7,5,0411,3,4,2,7.2,6,1,,,1,102,44,,,,,4,M6574,97,97,97,102,,0,0,0,0,0,0,0,0,0,0,,,1988-04-11,88
88LA00008,X3846,80,65,  9,10,56,,,,,,,0.0,,,,,,0,,,,,,1,00000,19,59,59,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00009,M1849,94,46,462,70,52,,,,,,,0.0,,,,,,0,,,,,,1,X4169,80,52,46,0,,1,1,0,0,0,0,0,0,0,0,,1,,88
88LA00010,X1022,80,67,671,20,56,,,0408,7,2,1,5.5,1,6,,,6,99,01,,DEFORMED LEGS,,59,1,X3742,80,56,67,99,,1,1,1,2,1,0,0,0,0,0,,,1988-04-08,88
88LA00011,M4526,97,97,297,50,97,7,5,0413,7,5,2,10.0,6,1,,,1,104,44,347163,GOITER?,,70,2,M6574,97,97,97,104,+,0,0,0,0,0,0,5,0,0,0,,,1988-04-13,88
88LA00012,X4648,80,16,  9,10,51,7,,,,,,0.0,,,,,,0,,,,,,1,00000,19,54,54,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00013,M6068,94,45,473,50,55,,,0414,9,4,1,9.5,1,1,,,1,105,44,250203,,,,1,X5330,80,55,47,105,+,1,1,1,3,0,0,5,0,0,0,,,1988-04-14,88
88LA00014,T8025,43,42,852,20,02,,,,,,,0.0,,,,,,0,,,,,,1,T8034,43,02,42,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00015,M6577,97,97,297,40,97,7,5,0411,3,4,2,7.1,6,1,,,1,102,44,918519,,,,1,M6574,97,97,97,102,+,1,1,1,4,0,0,0,0,0,0,,,1988-04-11,88
88LA00016,M7619,94,67,673,40,56,,,,,,,0.0,,,,,,0,,,,,,1,X3725,80,56,67,0,,1,0,0,0,0,0,0,0,0,0,,,,88
88LA00017,Y1419,02,71,711,70,30,,,,,,,0.0,,,,,,0,,,,,,1,L1012,03,30,71,0,,1,0,0,0,0,0,0,0,0,0,,,,88
88LA00018,K8479,62,61,614,90,06,,,,,,,0.0,,,,,,0,,,,,,1,K2443,63,06,61,0,,1,1,0,0,0,0,0,0,0,0,,1,,88
88LA00019,M6577,97,97,297,40,97,7,5,0411,3,4,1,8.3,6,1,,,1,102,44,918619,,,,2,M6574,97,97,97,102,+,0,0,0,0,0,0,0,0,0,0,,,1988-04-11,88
88LA00020,Y7346,02,70,702,40,30,,,,,,,0.0,,,,,,0,,,,,,1,Y9342,02,30,70,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00021,T7470,43,41,003,30,02,,,0402,2,0,,0.0,,,,,0,0,,,,,,2,M6045,95,52,44,93,,0,0,0,0,0,0,0,0,0,0,,,1988-04-02,88
88LA00022,K1026,63,61,611,40,06,7,5,0409,6,2,,0.0,,,,,0,0,,,MUMMY,,51,2,K2791,63,06,61,100,,0,0,0,0,0,0,0,0,0,0,,,1988-04-09,88
88LA00023,M9995,94,14,164,30,51,,,0407,2,0,,0.0,,,,,0,0,,,,,,2,X3889,80,51,16,98,,0,0,0,0,0,0,0,0,0,0,,,1988-04-07,88
88LA00024,X4007,80,16,  9,10,51,,,,,,,0.0,,,,,,0,,,,,,1,00000,19,54,54,0,,1,0,0,0,0,0,0,0,0,0,,,,88
88LA00025,M1740,94,44,461,70,52,,,,,,,0.0,,,,,,0,,,,,,1,X4469,80,52,46,0,,1,0,0,0,0,0,0,0,0,0,,,,88
88LA00026,X1603,80,44,461,20,52,,,0417,9,3,1,7.0,1,1,,,1,108,44,,IN SAC,26,,3,X4469,80,52,46,108,,0,0,0,0,0,0,0,0,0,0,,,1988-04-17,88
88LA00027,M9995,94,14,164,30,51,,,0407,2,0,,0.0,,,,,0,0,,,SICK CULL,47,,1,X3889,80,51,16,98,,1,1,1,2,0,0,0,0,0,0,,,1988-04-07,88
88LA00028,X4649,80,16,  9,10,51,7,,0229,0,0,,0.0,,,,,0,0,,,,,,1,00000,19,54,54,60,,1,1,1,1,0,0,0,0,0,0,,,1988-02-29,88
88LA00029,M6232,94,65,674,50,56,,,0321,2,2,,0.0,,,,,0,0,,,,,,2,X3780,80,56,67,81,,0,0,0,0,0,0,0,0,0,0,,,1988-03-21,88
88LA00030,T8721,43,40,  7,10,02,,,,,,,0.0,,,,,,0,,,,,,1,T8748,43,02,40,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00031,M9037,97,97,197,30,97,7,1,0427,9,3,2,6.5,6,1,,,1,118,44,,,,,3,00022,97,97,97,118,,0,0,0,0,0,0,0,0,0,0,,,1988-04-27,88
88LA00032,M7160,94,47,473,40,55,,,0420,1,4,2,9.0,1,1,,,1,111,44,969643,,,,1,X5330,80,55,47,111,+,1,1,1,1,0,0,5,0,0,0,,,1988-04-20,88
88LA00033,K2422,63,63,504,10,06,,,,,,,0.0,,,,,,0,,,,,,1,K2734,63,06,63,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00034,T9173,43,42,  5,10,02,,,,,,,0.0,,,,,,0,,,,,,1,T8617,43,02,48,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00035,M4596,97,97,197,50,97,7,,,,,,0.0,,,,,,0,,,,,,1,00022,97,97,97,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00036,Y8197,02,71,711,30,30,,,0323,9,4,1,4.8,1,1,,,6,83,01,,,,,3,L1012,03,30,71,83,,0,0,0,0,1,0,0,0,0,0,,,1988-03-23,88
88LA00037,S6207,19,18,005,30,07,,,,,,,0.0,,,,,,0,,,,,,1,X0616,95,51,14,0,,1,1,0,0,0,0,0,0,0,0,,1,,88
88LA00038,K1200,63,61,613,40,06,7,3,0406,7,3,1,4.5,1,1,,,1,97,44,224103,BVD,,45,2,K2690,63,06,61,97,+,0,0,0,0,0,0,5,0,0,0,,,1988-04-06,88
88LA00039,M6577,97,97,297,40,97,7,5,0411,3,4,2,7.2,6,1,,,1,102,44,,,,,3,M6574,97,97,97,102,,0,0,0,0,0,0,0,0,0,0,,,1988-04-11,88
88LA00040,X3893,80,67,  9,10,56,,,,,,,0.0,,,,,,0,,,,,,1,00000,19,59,59,0,,1,0,0,0,0,0,0,0,0,0,,,,88
88LA00041,M4095,94,14,006,60,51,7,,0425,9,2,,0.0,,,,,1,116,44,,,,,3,M4569,97,75,00,116,,0,0,0,0,0,0,0,0,0,0,,,1988-04-25,88
88LA00042,X1301,80,16,163,20,51,,,0408,9,2,2,6.0,1,1,,,1,99,44,,EARLY?,,,2,X5137,80,51,16,99,,0,0,0,0,0,0,0,0,0,0,,,1988-04-08,88
88LA00043,M0496,97,97,197,70,97,7,5,0408,1,4,2,13.8,6,1,,,1,99,44,606580,BREECH,25,,1,00022,97,97,97,99,+,1,1,1,1,0,0,5,0,0,0,,,1988-04-08,88
