UID,DAM,DBRD,LNDAM,BPEN,TRT,SYNC,ADAM,AGE,STMD,BGRP,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,SPEC,VC,ML,DATEBN,YR,INBRL
91LA00001,Z0000,00,00,,,,,0.0,00,,X,0314,5,2,3,10.0,5,1,Z1090,81,,0,,060644,SIDDOWAY,,,0,00000,00,00,00,73,-,0,0,0,0,1,1,5,82,0,77,178,2,3,,0,1991-03-14,91,0.0
91LA00002,Z0000,00,00,,,,,0.0,00,,X,0319,5,2,3,10.0,5,1,Z1091,81,,0,,106903,SIDDOWAY,,,0,00000,00,00,00,78,-,0,0,0,0,1,1,5,94,0,83,178,2,3,,0,1991-03-19,91,0.0
91LA00003,Z0000,00,00,,,,,0.0,00,,X,0406,5,2,2,9.5,1,1,Z0637,81,6,101,23,,MIXUP,,,0,00000,00,00,00,96,&,0,0,0,0,1,0,0,0,0,0,0,,3,,0,1991-04-06,91,0.0
91LA00004,Z0000,00,00,,,,,0.0,00,,X,0307,5,2,3,10.0,1,1,Z1093,81,,0,,977719,SIDDOWAY,,,0,00000,00,00,00,66,-,0,0,0,0,1,1,5,75,0,71,178,2,3,,0,1991-03-07,91,0.0
91LA00005,T0000,00,00,,,,,0.0,00,,X,0407,5,2,2,8.6,1,1,T1979,44,3,128,93,,MIXUP,,,0,00000,00,00,00,97,&,0,0,0,0,1,0,0,0,0,0,0,,3,,0,1991-04-07,91,0.0
91LA00006,Y5888,02,83,331,,,70,7.0,30,2,,,,,,0.0,,,,,,0,,,,,,1,L3943,03,30,83,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA00007,Y6974,02,82,321,,,70,7.0,30,2,,0410,8,3,1,7.9,1,1,L6987,03,,0,,,,,,1,L3531,03,30,82,100,,1,1,1,2,1,1,10,70,1,59,177,1,,,0,1991-04-10,91,0.079
91LA00008,Y6974,02,82,321,,,70,7.0,30,2,,0410,8,3,1,9.7,1,1,L6988,03,6,119,19,,,,,2,L3531,03,30,82,100,,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-10,91,0.079
91LA00009,Y7005,02,82,322,,,70,7.0,30,2,,0412,8,4,1,11.2,1,1,L7180,03,3,119,93,,DEADEWE 4/27,**,,1,L3545,03,30,82,102,&,1,1,1,2,1,0,0,0,0,0,0,,,,0,1991-04-12,91,0.036
91LA00010,Y7005,02,82,322,,,70,7.0,30,2,,0412,8,4,2,9.5,1,1,L7181,03,3,119,93,,,,,2,L3545,03,30,82,102,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-12,91,0.036
91LA00011,Y7041,02,82,323,,,70,7.0,30,2,,0415,9,4,1,9.0,1,1,L7438,03,,0,,,,,,1,L3698,03,30,82,105,,1,1,1,3,1,1,10,83,1,58,178,2,,,0,1991-04-15,91,0.049
91LA00012,Y7041,02,82,323,,,70,7.0,30,2,,0415,9,4,1,10.2,1,1,L7439,03,,0,,,,,,2,L3698,03,30,82,105,,0,0,0,0,1,1,10,82,1,61,178,2,,,0,1991-04-15,91,0.049
91LA00013,Y7041,02,82,323,,,70,7.0,30,2,,0415,9,4,1,8.2,1,1,L7440,03,6,105,54,,FX.LIVER,,,3,L3698,03,30,82,105,,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-15,91,0.049
91LA00014,Y7043,02,80,301,,,70,7.0,30,2,,0412,9,3,2,10.5,1,1,L7137,03,,0,,,,,,1,L3958,03,30,80,102,,1,1,1,3,1,1,10,80,1,53,177,1,,,0,1991-04-12,91,0.051
91LA00015,Y7043,02,80,301,,,70,7.0,30,2,,0412,9,3,1,9.6,1,1,L7138,03,,0,,,,,,2,L3958,03,30,80,102,,0,0,0,0,1,1,10,68,1,47,177,1,,,0,1991-04-12,91,0.051
91LA00016,Y7043,02,80,301,,,70,7.0,30,2,,0412,9,3,1,9.1,1,1,,,1,102,44,,,,,3,L3958,03,30,80,102,,0,0,0,0,0,0,0,0,0,0,0,,,,0,1991-04-12,91,0.051
91LA00017,Y7063,02,82,324,,,70,7.0,30,2,,0413,3,2,3,5.7,1,1,L7261,03,,0,,,R.SPOILED,**,,1,L3742,03,30,82,103,,1,1,1,4,1,1,10,82,1,57,177,1,,,0,1991-04-13,91,0.047
91LA00018,Y7063,02,82,324,,,70,7.0,30,2,,0413,3,2,3,5.3,1,1,L7262,03,6,112,01,,RAT,,,2,L3742,03,30,82,103,,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-13,91,0.047
91LA00019,Y7063,02,82,324,,,70,7.0,30,2,,0413,3,2,2,4.4,1,1,L7263,03,3,107,93,,HAIRY,,,3,L3742,03,30,82,103,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-13,91,0.047
91LA00020,Y7063,02,82,324,,,70,7.0,30,2,,0413,3,2,2,5.1,1,1,,,1,103,44,,,,,4,L3742,03,30,82,103,,0,0,0,0,0,0,0,0,0,0,0,,,,0,1991-04-13,91,0.047
91LA00021,Y7102,02,82,325,,,70,7.0,30,2,,0413,8,2,2,7.7,1,3,L7185,03,,0,,,,,,1,L3766,03,30,82,103,,1,1,1,2,1,1,10,74,1,49,177,1,,,0,1991-04-13,91,0.076
91LA00022,Y7102,02,82,325,,,70,7.0,30,2,,0413,8,2,2,7.2,1,3,L7186,03,,0,,,ENTR,,21,2,L3766,03,30,82,103,,0,0,0,0,1,1,10,72,1,44,177,1,,,0,1991-04-13,91,0.076
91LA00023,Y7131,02,82,326,,,70,7.0,30,2,,0410,5,3,2,10.7,1,1,L6947,03,,0,,,,,,1,L3918,03,30,82,100,,1,1,1,1,1,1,10,82,1,55,177,1,,,0,1991-04-10,91,0.054
91LA00024,Y7134,02,80,302,,,70,7.0,30,2,,0410,5,2,2,8.6,1,1,L6953,03,,0,,,"SLOW,DIARRHEA",**,,1,L4252,03,30,80,100,,1,1,1,1,1,1,10,55,1,35,177,1,,,0,1991-04-10,91,0.068
91LA00025,Y7138,02,81,311,,,70,7.0,30,2,,0410,9,3,2,8.5,1,1,L7032,03,,0,,,,,,1,L3801,03,30,81,100,,1,1,1,3,1,1,10,85,1,58,177,1,,,0,1991-04-10,91,0.07
91LA00026,Y7138,02,81,311,,,70,7.0,30,2,,0410,9,3,2,7.9,1,1,L7033,03,,0,,,,,,2,L3801,03,30,81,100,,0,0,0,0,1,1,10,75,1,51,177,1,,,0,1991-04-10,91,0.07
91LA00027,Y7138,02,81,311,,,70,7.0,30,2,,0410,9,3,1,9.5,1,1,L7034,03,,0,,005603,,,,3,L3801,03,30,81,100,-,0,0,0,0,1,1,5,97,0,73,177,1,,,0,1991-04-10,91,0.07
91LA00028,Y7151,02,80,303,,,70,7.0,30,2,,,,,,0.0,,,,,,0,,,DEAD EWE,,,1,L4278,03,30,80,0,,1,0,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA00029,Y7195,02,80,304,,,70,7.0,30,2,,,,,,0.0,,,,,,0,,,DEAD EWE,,,1,L3822,03,30,80,0,,1,0,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA00030,Y7241,02,80,301,,,70,7.0,30,2,,0417,9,3,3,9.4,1,2,L7592,03,3,109,93,,LTS,**,,1,L3958,03,30,80,107,&,1,1,1,3,1,0,0,0,0,0,0,,,,0,1991-04-17,91,0.099
91LA00031,Y7241,02,80,301,,,70,7.0,30,2,,0417,9,3,1,8.1,1,1,L7593,03,,0,,,,,,2,L3958,03,30,80,107,,0,0,0,0,1,1,10,79,1,54,178,2,,,0,1991-04-17,91,0.099
91LA00032,Y7241,02,80,301,,,70,7.0,30,2,,0417,9,3,2,6.8,1,1,L7594,03,,0,,,4TEATS,,,3,L3958,03,30,80,107,,0,0,0,0,1,1,10,67,1,39,178,2,,,0,1991-04-17,91,0.099
91LA00033,Y7247,02,80,302,,,70,7.0,30,2,,0421,9,2,2,8.6,1,1,L7750,03,,0,,227003,,,,1,L4252,03,30,80,111,-,1,1,1,3,1,1,5,85,0,53,178,2,,,0,1991-04-21,91,0.084
91LA00034,Y7247,02,80,302,,,70,7.0,30,2,,0421,9,2,3,8.8,1,1,L7751,03,,0,,,2CRYPT,,,2,L4252,03,30,80,111,,0,0,0,0,1,1,10,75,1,47,178,2,,,0,1991-04-21,91,0.084
91LA00035,Y7247,02,80,302,,,70,7.0,30,2,,0421,9,2,2,8.3,1,1,L7752,03,,0,,,,,,3,L4252,03,30,80,111,,0,0,0,0,1,1,10,64,1,35,178,2,,,0,1991-04-21,91,0.084
91LA00036,Y7344,02,81,312,,,70,7.0,30,2,,0417,5,3,3,10.0,1,1,L7561,03,,0,,,PINK,,,1,L3856,03,30,81,107,,1,1,1,1,1,1,10,88,1,61,178,2,,,0,1991-04-17,91,0.047
91LA00037,Y7437,02,80,303,,,65,6.5,30,2,,0419,9,1,3,8.7,1,1,L7674,03,3,112,93,,L.SPOILED,**,,1,L4278,03,30,80,109,&,1,1,1,3,1,0,0,0,0,0,0,,,,0,1991-04-19,91,0.041
91LA00038,Y7437,02,80,303,,,65,6.5,30,2,,0419,9,1,2,7.4,1,1,L7675,03,3,109,93,,HAIRY,,,2,L4278,03,30,80,109,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-19,91,0.041
91LA00039,Y7437,02,80,303,,,65,6.5,30,2,,0419,9,1,2,9.0,1,1,L7676,03,,0,,979580,4TEATS,,,3,L4278,03,30,80,109,-,0,0,0,0,1,1,5,66,0,40,178,2,,,0,1991-04-19,91,0.041
