UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,ADAM,AGE,STMD,BGRP,RGRP,GRP,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
93LA00001,93,00000,00,00,,00000,00,,0.0,00,,,,?,0506,126,,,,0.0,,,T3943,44,00,02,,0,,,,,T-TAG CRUSHED,,,,,0,3,0,0,0,0,0,0.0,0,,0,0,,1993-05-06,0.0
93LA00002,93,00000,00,00,,00000,00,20,2.0,00,2,2,,?,0423,113,5,2,2,9.5,1,1,S3882,10,00,07,3,113,93,,8,,S3882-MIXUP,,,,W,0,3,1,1,1,1,0,0.0,0,,0,0,,1993-04-23,0.0
93LA00003,93,00000,00,00,,00000,00,30,3.0,00,1,0,,?,0411,101,5,2,2,10.8,5,1,Z2346,81,00,80,,0,,L475003,-,,Z2346-MIXUP,,,,B,0,3,1,1,1,1,1,0.5,94,0,75,182,1,1993-04-11,0.0
93LA00004,93,00000,00,00,,00000,00,,0.0,00,,,,?,0413,103,,,,0.0,,,K6724,63,00,06,,0,,,,,K-TAG MISSING,,,,,0,3,0,0,0,0,0,0.0,0,,0,0,,1993-04-13,0.0
93LA00005,93,00000,00,00,,00000,00,,0.0,00,,,,?,0415,105,,,,0.0,,,L9669,03,00,30,,0,,,,,L-TAG CRUSHED,,,,,0,3,0,0,0,0,0,0.0,0,,0,0,,1993-04-15,0.0
93LA00006,93,00000,00,00,,00000,00,70,7.0,00,1,0,,?,0411,101,5,3,2,11.6,1,1,Z2350,81,00,07,,0,,S785119,-,,Z2350-MIXUP,,,,B,0,3,1,1,1,1,1,0.5,98,0,76,182,1,1993-04-11,0.0
93LA00007,93,00000,00,00,,00000,00,20,2.0,00,2,0,,?,0422,112,8,3,2,9.3,1,1,L9772,03,00,30,,0,,S174710,-,,L9772-MIXUP,,,,H,0,3,1,1,2,1,1,0.5,73,0,52,183,2,1993-04-22,0.0
93LA00008,93,K1830,63,60,601,K5205,63,70,7.0,06,1,0,,M,0419,109,9,2,1,10.0,1,1,K6863,63,60,06,,0,,,,,ENTR,,,,N,1,0,1,1,3,1,1,1.0,92,1,62,183,2,1993-04-19,0.048
93LA00009,93,K1830,63,60,601,K5205,63,70,7.0,06,1,0,,M,0419,109,9,2,1,9.5,1,2,K6864,63,60,06,,0,,,,,,,,,N,2,0,0,0,0,1,1,1.0,97,1,62,183,2,1993-04-19,0.048
93LA00010,93,K1830,63,60,601,K5205,63,70,7.0,06,1,0,,M,0419,109,9,2,2,10.8,1,1,K6865,63,60,06,,0,,S073110,-,,4TEATS,,,,N,3,0,0,0,0,1,1,0.5,68,0,47,182,1,1993-04-19,0.048
93LA00011,93,K1831,63,62,803,K5160,63,70,7.0,06,1,0,,C,0509,129,5,2,1,3.2,1,2,,,62,06,6,129,66,S420210,+,,DEFORMED LEGS,,,,N,1,0,1,1,1,1,0,0.5,0,,0,0,,1993-05-09,0.0
93LA00012,93,K1848,63,68,751,00751,00,70,7.0,06,A,0,2,H,,0,,,,0.0,,,,,00,05,,0,,,,,,,,,,1,0,0,0,0,0,0,0.0,0,,0,0,,,0.0
93LA00013,93,K1849,63,60,602,K5608,63,70,7.0,06,1,0,,M,0428,118,1,0,,0.0,,,,,60,06,1,0,,,,"DEAD,UT.TEAR",,,,,B,1,0,1,1,1,0,0,0.0,0,,0,0,,1993-04-28,0.0
93LA00014,93,K1880,63,60,603,K5749,63,70,7.0,06,1,0,,M,0409,99,0,0,2,3.6,1,1,,,60,06,0,0,,,,,,,,,N,1,0,1,1,1,0,0,0.0,0,,0,0,,1993-04-09,0.0
93LA00015,93,K1882,63,62,813,K5162,63,70,7.0,06,1,0,,C,0321,80,2,1,,0.0,,,,,62,06,0,0,,,,,,,,,,1,0,1,1,2,0,0,0.0,0,,0,0,,1993-03-21,0.0
93LA00016,93,K1882,63,62,813,K5162,63,70,7.0,06,1,0,,C,0321,80,2,1,,0.0,,,,,62,06,0,0,,,,,,,,,,2,0,0,0,0,0,0,0.0,0,,0,0,,1993-03-21,0.0
93LA00017,93,K1883,63,62,823,K5446,63,70,7.0,06,1,0,,C,,0,,,,0.0,,,,,62,06,,0,,,,,,,,,,1,0,0,0,0,0,0,0.0,0,,0,0,,,0.0
