UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,BGRP,RGRP,GRP,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
94LA00001,94,00000,00,00,,00000,00,0.0,00,2,2,,,0513,133,8,0,2,12.5,5,1,Z3195,81,00,00,,0,,T194944,-,,?ORPHAN T9105,,,,J,0,3,0,0,0,1,1,0.5,98,0,48,181,2,1994-05-13,0.0
94LA00002,94,00000,00,00,,00000,00,0.0,00,1,0,,,0329,88,8,0,2,9.0,1,1,Z2867,81,00,00,,0,,S298910,-,,?LAMB,,,,Y,0,3,0,0,0,1,1,0.5,74,0,0,0,H,1994-03-29,0.0
94LA00003,94,00000,00,00,,00000,00,0.0,00,1,0,,,0402,92,8,0,2,8.4,1,1,Z2894,81,00,00,,0,,S081810,-,,?LAMB,,,,J,0,3,0,0,0,1,1,0.5,73,0,60,181,2,1994-04-02,0.0
94LA00004,94,A0004,04,00,R.4,L8624,03,1.0,30,y,1,B,,,0,,,,0.0,,,,,00,30,,0,,,,,,,,BLK,,1,3,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA00005,94,A0006,04,81,R.5,L8788,03,1.0,30,y,0,,M,,0,,,,0.0,,,,,88,30,,0,,,,,,,,,,1,,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA00006,94,A0013,04,82,R.3,L9273,03,1.0,30,y,0,,C,0416,106,5,4,2,10.6,1,1,A0955,04,88,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,86,1,58,180,1,1994-04-16,0.053
94LA00007,94,A0021,04,81,R.4,L8624,03,1.0,30,y,0,,M,0424,114,8,2,1,8.9,1,1,A1446,04,88,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,75,1,42,181,2,1994-04-24,0.061
94LA00008,94,A0021,04,81,R.4,L8624,03,1.0,30,y,0,,M,0424,114,8,2,2,7.8,1,1,A1447,04,88,30,,0,,,,,HAIRY,,,,J,2,,0,0,0,1,1,1.0,65,1,37,181,2,1994-04-24,0.061
94LA00009,94,A0036,04,82,R.5,L8788,03,1.0,30,y,0,,C,0414,104,8,2,3,6.1,1,2,A0842,04,88,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,50,1,34,181,2,1994-04-14,0.053
94LA00010,94,A0036,04,82,R.5,L8788,03,1.0,30,y,0,,C,0414,104,8,2,2,9.6,1,2,A0843,04,88,30,,0,,,,,FUZZY,,,,J,2,,0,0,0,1,1,1.0,59,1,43,181,2,1994-04-14,0.053
94LA00011,94,A0037,04,82,R.3,L9273,03,1.0,30,y,0,,C,0413,103,5,2,2,9.0,1,1,A0809,04,88,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,84,1,59,181,2,1994-04-13,0.046
94LA00012,94,A0039,04,81,R.4,L8624,03,1.0,30,y,0,,M,0511,131,5,2,3,11.3,1,1,A1516,04,88,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,69,1,35,181,2,1994-05-11,0.047
94LA00013,94,A0041,04,82,R.5,L8788,03,1.0,30,y,0,,C,,0,,,,0.0,,,,,88,30,,0,,,,,,,,,,1,,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA00014,94,A0050,04,82,R.3,L9273,03,1.0,30,y,0,,C,0410,100,5,2,3,7.9,1,1,A0692,04,88,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,78,1,58,180,1,1994-04-10,0.057
94LA00015,94,A0051,04,82,R.4,L8624,03,1.0,30,y,0,,C,0328,87,5,2,3,6.6,1,2,A0617,04,88,30,,0,,,,,,,,,Y,1,,1,1,1,1,1,1.0,60,1,56,180,1,1994-03-28,0.088
94LA00016,94,A0058,04,82,R.5,L8788,03,1.0,30,y,0,,C,0421,111,5,1,2,7.6,1,1,A1334,04,88,30,6,115,23,A114804,+,,,,,,Y,1,,1,1,1,1,0,0.5,0,,0,0,,1994-04-21,0.058
94LA00017,94,A0067,04,82,R.5,L8788,03,1.0,30,y,0,,C,,0,,,,0.0,,,,,88,30,,0,,,,,,,,,,1,,1,0,0,0,0,0.0,0,,0,0,,,0.0
94LA00018,94,A0068,04,82,R.4,L8624,03,1.0,30,y,0,,C,0420,110,8,2,2,6.9,1,1,A1226,04,88,30,3,131,93, JW,8,,,,,,J,1,,1,1,2,1,0,0.0,0,,0,0,,1994-04-20,0.055
94LA00019,94,A0068,04,82,R.4,L8624,03,1.0,30,y,0,,C,0420,110,8,2,3,8.8,1,1,A1227,04,88,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,70,1,45,181,2,1994-04-20,0.055
