UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
97LA00001,97,00000,00,,,00000,00,0.0,,,,,,,0414,104,,,,0.0,,,A4132,04,00,,5,104,95,,,,TAG DESTROYED,,,,,X,3,0,0,0,0,0,0.0,0,,0,0,,1997-04-14,0.0
97LA00002,97,A0051,04,82,ai0, 0283,00,4.0,30,70,2,0,y,F,0414,104,8,3,3,10.0,1,1,A4130,04,00,71,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,83,1,60,177,1,1997-04-14,0.0
97LA00003,97,A0051,04,82,ai0, 0283,00,4.0,30,70,2,0,y,F,0414,104,8,3,3,8.8,1,1,A4131,04,00,71,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,78,1,54,177,1,1997-04-14,0.0
97LA00004,97,A0068,04,82,23,A2117,04,4.0,30,30,2,0,n,C,0416,106,8,4,2,10.7,1,1,A4281,04,82,30,,0,,,,,ENTR,,,,Y,1,,1,1,2,1,1,1.0,87,1,63,178,2,1997-04-16,0.048
97LA00005,97,A0068,04,82,23,A2117,04,4.0,30,30,2,0,n,C,0416,106,8,4,2,9.6,1,1,A4282,04,82,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,78,1,54,178,2,1997-04-16,0.048
97LA00006,97,A0084,04,82,24,A2191,04,4.0,30,30,2,0,n,C,0421,111,9,4,1,12.1,1,1,A4487,04,82,30,,0,,,,SW BAG,,,,,J,1,,1,1,3,1,1,1.0,87,1,61,177,1,1997-04-21,0.062
97LA00007,97,A0084,04,82,24,A2191,04,4.0,30,30,2,0,n,C,0421,111,9,4,2,10.0,1,1,,,82,30,1,0,,T605344,+,,,,,,J,2,,0,0,0,0,0,0.5,0,,0,0,,1997-04-21,0.062
97LA00008,97,A0084,04,82,24,A2191,04,4.0,30,30,2,0,n,C,0421,111,9,4,1,9.5,1,1,,,82,30,1,0,,,,,BLOB,,,,J,3,,0,0,0,0,0,0.0,0,,0,0,,1997-04-21,0.062
97LA00009,97,A0129,04,81,03,A2146,04,4.0,30,30,2,0,n,M,0420,110,8,3,2,9.4,1,1,A4452,04,81,30,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,75,1,47,177,1,1997-04-20,0.066
97LA00010,97,A0129,04,81,03,A2146,04,4.0,30,30,2,0,n,M,0420,110,8,3,2,10.9,1,1,A4453,04,81,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,94,1,65,177,1,1997-04-20,0.066
