UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
98LA00001,98,A1236,04,ch,AI,A0356,04,4.0,30,30,,,A,2,n,h,0325,84,8,3,2,11.3,1,1,Z4649,81,ch,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,61,,0,0,4,1998-03-25,0.035
98LA00002,98,A1236,04,ch,AI,A0356,04,4.0,30,30,,,A,2,n,h,0325,84,8,3,2,9.8,1,1,Z4650,81,ch,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,92,,0,0,4,1998-03-25,0.035
98LA00003,98,A3098,04,ch,AI,A0356,04,2.0,00,30,,,A,2,n,h,0326,85,5,3,1,12.0,1,1,Z4661,81,ch,00,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,93,,0,0,4,1998-03-26,0.008
98LA00004,98,A3632,04,ch,AI,A0484,04,2.0,31,30,,,A,2,n,h,0327,86,5,2,1,11.6,1,1,Z4667,81,ch,34,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,104,,0,0,4,1998-03-27,0.021
98LA00005,98,A3231,04,ch,AI,A0356,04,2.0,30,30,,,A,2,n,h,0326,85,5,2,1,9.8,1,1,Z4659,81,ch,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,89,,0,0,4,1998-03-26,0.037
98LA00006,98,A4224,04,00,e.-,00000,63,1.0,71,06,,,5,0,y,F,0322,81,2,0,,0.0,,,,,00,76,0,0,,,,"DEAD,DYSTOCIA",,,,,,1,,1,1,2,0,0,0.0,0,,0,0,,1998-03-22,0.0
98LA00007,98,A4224,04,00,e.-,00000,63,1.0,71,06,,,5,0,y,F,0322,81,2,0,,0.0,,,,,00,76,0,0,,,,,,,,,,2,,0,0,0,0,0,0.0,0,,0,0,,1998-03-22,0.0
98LA00008,98,A2326,04,ch,AI,A0484,04,3.0,31,30,,,A,2,n,h,0326,85,8,3,2,11.6,1,1,Z4664,81,ch,34,,0,,,,,BRN.LEGS,,,,J,2,,0,0,0,1,1,1.0,88,,0,0,4,1998-03-26,0.015
98LA00009,98,A2326,04,ch,AI,A0484,04,3.0,31,30,,,A,2,n,h,0326,85,8,3,2,9.5,1,1,Z4663,81,ch,34,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,82,,0,0,4,1998-03-26,0.015
98LA00010,98,A2414,04,ch,AI,A0484,04,3.0,31,30,,,A,2,n,h,0327,86,8,3,2,11.5,1,1,Z4665,81,ch,34,,0,,,,SUCK1SIDE,,,,,J,1,,1,1,2,1,1,1.0,74,,0,0,4,1998-03-27,0.015
98LA00011,98,A2414,04,ch,AI,A0484,04,3.0,31,30,,,A,2,n,h,0327,86,8,3,2,10.3,1,1,Z4666,81,ch,34,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,81,,0,0,4,1998-03-27,0.015
98LA00012,98,A2471,04,ch,AI,A0356,04,3.0,31,30,,,A,2,n,h,0327,86,8,3,1,9.8,1,1,Z4668,81,ch,34,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,88,,0,0,4,1998-03-27,0.02
98LA00013,98,A2471,04,ch,AI,A0356,04,3.0,31,30,,,A,2,n,h,0327,86,8,3,2,8.7,1,1,Z4669,81,ch,34,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,80,,0,0,4,1998-03-27,0.02
98LA00014,98,K6189,63,61,53,K9286,63,6.0,06,05,NN,CC,1,0,y,H,0313,72,0,0,,0.0,,,,,00,05,0,0,,,,,,,,,,1,,1,1,1,0,0,0.0,0,,0,0,,1998-03-13,0.0
98LA00015,98,K6362,63,60,04,K8723,63,6.0,06,06,,,1,0,n,M,0323,82,7,4,1,9.0,1,1,,,60,06,1,0,44,,,,,,,GXE,J,2,,0,0,0,0,0,0.0,0,,0,0,,1998-03-23,0.028
98LA00016,98,K6362,63,60,04,K8723,63,6.0,06,06,,,1,0,n,M,0323,82,7,4,3,9.2,1,1,K9996,63,60,06,,0,,,,MASTITIS TRT.,,,,GXE,J,1,,1,1,2,1,1,1.0,95,1,89,182,1,1998-03-23,0.028
98LA00017,98,K7473,63,62,05,K8711,63,4.0,06,06,,,1,0,y,C,0325,84,0,0,,0.0,,,,,62,06,0,0,,,,,BLOB,,,GXE,J,1,,1,1,1,0,0,0.0,0,,0,0,,1998-03-25,0.0
98LA00018,98,K7579,63,00,51,K8596,63,4.0,05,05,CN,CC,1,0,n,H,0326,85,4,3,1,10.3,1,1,K9998,63,00,05,1,0,44,Z4711,+,,,,,,J,2,,0,0,0,0,0,0.5,0,,0,0,,1998-03-26,0.016
98LA00019,98,K7579,63,00,51,K8596,63,4.0,05,05,CN,CC,1,0,n,H,0326,85,4,3,1,10.4,1,1,K9997,63,00,05,1,0,44,S8989,+,,,,,,J,1,,1,1,2,0,0,0.0,0,,0,0,,1998-03-26,0.016
98LA00020,98,K7650,63,61,54,K8349,63,4.0,06,05,NN,CC,1,0,y,H,0320,79,2,0,,0.0,,,,,00,05,0,0,,,,"X,DOWNER",,,,,,1,,1,1,2,0,0,0.0,0,,0,0,,1998-03-20,0.0
98LA00021,98,K7650,63,61,54,K8349,63,4.0,06,05,NN,CC,1,0,y,H,0320,79,2,0,,0.0,,,,,00,05,0,0,,,,,,,,,,2,,0,0,0,0,0,0.0,0,,0,0,,1998-03-20,0.0
98LA00022,98,S4710,10,10,22,S7003,10,4.0,07,07,,,1,0,n,M,0312,71,9,0,,0.0,,,,,10,07,0,0,,,,,,,,,,1,,1,1,3,0,0,0.0,0,,0,0,,1998-03-12,0.0
98LA00023,98,S4710,10,10,22,S7003,10,4.0,07,07,,,1,0,n,M,0312,71,9,0,,0.0,,,,,10,07,0,0,,,,,,,,,,2,,0,0,0,0,0,0.0,0,,0,0,,1998-03-12,0.0
98LA00024,98,S4710,10,10,22,S7003,10,4.0,07,07,,,1,0,n,M,0312,71,9,0,,0.0,,,,,10,07,0,0,,,,,,,,,,3,,0,0,0,0,0,0.0,0,,0,0,,1998-03-12,0.0
98LA00025,98,S4703,10,12,81,S6729,10,4.0,07,07,,,1,0,n,C,0324,83,8,3,3,6.6,1,1,S8987,10,12,07,3,90,93,,8,,"WEAK,IMM",,,,J,2,,0,0,0,1,0,0.0,0,,0,0,,1998-03-24,0.032
98LA00026,98,S4703,10,12,81,S6729,10,4.0,07,07,,,1,0,n,C,0324,83,8,3,2,7.5,1,1,S8986,10,12,07,,0,,,,,"WEAK,IMM",,,,J,1,,1,1,2,1,1,1.0,54,,0,0,S,1998-03-24,0.032
98LA00027,98,S5041,10,11,13,S6877,10,4.0,07,07,,,1,0,n,R,0326,85,9,0,1,9.0,1,1,,,11,07,1,0,44,,,HYDROPS CSEC,,,,,V,1,,1,1,3,0,0,0.0,0,,0,0,,1998-03-26,0.0
98LA00028,98,S5041,10,11,13,S6877,10,4.0,07,07,,,1,0,n,R,0326,85,9,0,1,9.0,1,1,,,11,07,1,0,44,,,,,,,,V,2,,0,0,0,0,0,0.0,0,,0,0,,1998-03-26,0.0
98LA00029,98,S5041,10,11,13,S6877,10,4.0,07,07,,,1,0,n,R,0326,85,9,0,2,8.0,1,1,,,11,07,1,0,44,,,,,,,,V,3,,0,0,0,0,0,0.0,0,,0,0,,1998-03-26,0.0
98LA00030,98,S5096,10,12,82,S6751,10,4.0,07,43,,,1,0,n,C,0326,85,6,3,2,5.0,1,1,S8991,10,12,07,0,0,,,,,"DAB,IMM",,,,J,2,,0,0,0,0,0,0.0,0,,0,0,,1998-03-26,0.028
98LA00031,98,S5096,10,12,82,S6751,10,4.0,07,43,,,1,0,n,C,0326,85,6,3,2,5.5,1,1,S8990,10,12,07,6,85,27,Z4692,+,,"DEAD,IMM",,,,J,1,,1,1,2,1,0,0.5,0,,0,0,,1998-03-26,0.028
