UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,JUNEDO,INBRL
00LA00001,00,A1133,04,ch,tai,S0000,10,6.0,31,07,,,A,2,y,c,0328,88,5,3,2,9.5,1,1,Z6080,81,00,00,,0,,,,,,,,TAI,J,1,1025,,1,1,1,1,1,1.0,88,1,75,181,1,2000-03-28,Y,0.0
00LA00002,00,A6176,04,82,e.9,A5129,04,1.0,30,30,,,4,0,y,.,0328,88,5,2,3,9.7,1,1,A7033,04,88,30,6,88,29,T7686,+,,"DEF.JAW,DEAD",,,.,J,1,1250,,1,1,1,1,0,0.5,0,,0,0,,2000-03-28,,0.071
00LA00003,00,A6338,04,82,e.7,A5514,04,1.0,30,30,,,4,0,y,.,0328,88,8,2,3,6.3,1,1,A7031,04,88,30,,0,,,,,,,,.,J,1,0400,,1,1,2,1,1,1.0,67,1,64,181,1,2000-03-28,Y,0.064
00LA00004,00,A6338,04,82,e.7,A5514,04,1.0,30,30,,,4,0,y,.,0328,88,8,2,2,6.2,1,1,A7032,04,88,30,,0,,,,,,,,.,J,2,0400,,0,0,0,1,1,1.0,73,1,61,181,1,2000-03-28,Y,0.064
00LA00005,00,A6419,04,81,e.8,A5789,04,1.0,30,30,,,4,0,y,.,0327,87,8,2,3,6.2,1,1,A7027,04,88,30,,0,,,,,,,,.,J,1,0300,,1,1,2,1,1,1.0,75,1,59,181,1,2000-03-27,Y,0.04
00LA00006,00,A6419,04,81,e.8,A5789,04,1.0,30,30,,,4,0,y,.,0327,87,8,2,2,7.3,1,1,A7028,04,88,30,,0,,,,,,,,.,J,2,0300,,0,0,0,1,1,1.0,60,1,50,181,1,2000-03-27,Y,0.04
00LA00007,00,A6542,04,81,e.9,A5129,04,1.0,30,30,,,4,0,y,.,0327,87,5,2,2,7.5,1,1,A7029,04,88,30,,0,,,,,,,,.,J,1,1510,,1,1,1,1,1,1.0,81,1,73,181,1,2000-03-27,Y,0.076
00LA00008,00,A6673,04,88,e.7,A5514,04,1.0,30,30,,,4,7,y,.,0327,87,5,2,3,9.8,1,1,A7030,04,88,30,3,88,93,,8,,"FX.RIBS,WEAK",,,GXE,J,1,0300,,1,1,1,1,0,0.0,0,,0,0,,2000-03-27,,0.07
00LA00009,00,A6933,04,81,e.8,A5789,04,1.0,30,30,,,4,0,y,.,0322,82,5,3,3,8.1,1,1,A7026,04,88,30,6,84,29,,,,ATRESIA ANI,,,.,J,1,1430,,1,1,1,1,0,0.0,0,,0,0,,2000-03-22,,0.041
00LA00010,00,A6720,04,81,e.9,A5129,04,1.0,30,30,,,4,0,y,.,0328,88,8,2,3,7.2,1,1,A7034,04,88,30,,0,,,,,,,,.,J,1,1025,,1,1,2,1,1,1.0,74,1,63,181,1,2000-03-28,Y,0.087
