UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
06LA00001,06,K3133,64,68,05K,00360,00,2.0,2,06,06,1,0,n,G,030706,66,7,4,1,10.2,1,1,K3585,64,6T,06,6,70,19,,,,,.,.,..,.,J,1,,1,1,2,1,0,0.0,0,,0.0,,,2006-03-07,0.0
06LA00002,06,K3133,64,68,05K,00360,00,2.0,2,06,06,1,0,n,G,030706,66,7,4,1,7.5,1,1,,,6T,06,1,66,44,,,,,.,.,..,.,J,2,,0,0,0,0,0,0.0,0,,0.0,,,2006-03-07,0.0
06LA00003,06,K3191,64,68,04K,00337,00,2.0,2,06,06,1,0,n,G,030806,67,2,0,.,0.0,1,.,,,6T,06,0,67,27,,,"THIN, SICK",,.,.,..,.,J,1,,1,1,2,0,0,0.0,0,,0.0,,,2006-03-08,0.0
06LA00004,06,K3191,64,68,04K,00337,00,2.0,2,06,06,1,0,n,G,030806,67,2,0,.,0.0,1,.,,,6T,06,0,67,27,,,DEAD,,.,.,..,.,J,2,,0,0,0,0,0,0.0,0,,0.0,,,2006-03-08,0.0
06LA00005,06,R5728,11,18,e22,R4348,11,1.0,1,07,07,4,0,y,M,030106,60,0,0,.,0.0,1,.,,,18,07,0,60,27,,,,,.,.,..,.,J,1,,1,1,1,0,0,0.0,0,,0.0,,,2006-03-01,0.028
06LA00006,06,R4822,11,18,37,R4405,11,2.0,2,07,07,1,0,n,M,030506,64,2,0,.,0.0,1,.,,,18,07,0,64,27,,,LAME.LR.FOOT,,.,.,..,RMB,J,1,,1,1,2,0,0,0.0,0,,0.0,,,2006-03-05,0.018
06LA00007,06,R4822,11,18,37,R4405,11,2.0,2,07,07,1,0,n,M,030506,64,2,0,.,0.0,1,.,,,18,07,0,64,27,,,,,.,.,..,RMB,J,2,,0,0,0,0,0,0.0,0,,0.0,,,2006-03-05,0.018
06LA00008,06,R4307,11,18,35,R3321,11,2.0,2,07,43,1,0,y,M,021606,47,2,0,.,0.0,1,.,,,18,07,0,47,27,,,,,.,.,..,RMB,J,1,,1,1,2,0,0,0.0,0,,0.0,,,2006-02-16,0.037
06LA00009,06,R4307,11,18,35,R3321,11,2.0,2,07,43,1,0,y,M,021606,47,2,0,.,0.0,1,.,,,18,07,0,47,27,,,,,.,.,..,RMB,J,2,,0,0,0,0,0,0.0,0,,0.0,,,2006-02-16,0.037
06LA00010,06,T9262,44,41,61,00000,00,4.0,4,02,00,2,7,n,S,020106,32,7,2,3,10.0,1,1,X2984,82,00,00,,0,,,,,,.,.,..,SPG,J,1,3,1,1,2,1,1,1.0,91,1,117.0,180,1,2006-02-01,0.0
06LA00011,06,T9262,44,41,61,00000,00,4.0,4,02,00,2,7,n,S,020106,32,7,2,2,9.0,1,1,,,00,00,1,32,44,,,,,.,.,..,SPG,J,2,3,0,0,0,0,0,0.0,0,,0.0,,,2006-02-01,0.0
06LA00012,06, 3058,30,00,r.4,00000,00,2.5,2,33,00,3,7,y,X,013106,31,5,3,2,11.0,1,1,X2983,82,00,00,,0,,,,,,.,.,..,RN,J,1,3,1,1,1,1,1,1.0,86,1,115.0,180,1,2006-01-31,0.0
06LA00013,06,Z9429,81,00,r.2,00000,00,3.0,3,80,00,3,7,y,X,013006,30,5,3,2,11.0,5,1,X2982,82,00,00,,0,,,,,,.,.,..,BFE,J,1,3,1,1,1,1,1,1.0,92,1,0.0,,3,2006-01-30,0.0
06LA00014,06,X0949,82,97,15,04564,00,2.0,2,97,97,1,0,n,B,030906,68,5,2,2,10.0,6,1,,,97,97,6,68,14,,,,c14,.,.,..,.,J,1,,1,1,1,1,0,0.0,0,,0.0,,,2006-03-09,0.0
06LA00015,06,A6146,04,81, 3,K0000,64,7.0,7,30,06,2,2,y,X,031006,69,0,0,.,0.0,1,.,,,00,33,0,69,27,,,,,.,.,..,.,J,1,,1,1,1,0,0,0.0,0,,0.0,,,2006-03-10,0.0
06LA00016,06,K2116,64,68,16,04102,00,4.0,4,06,97,1,0,n,B,031006,69,9,3,2,8.0,5,1,X2985,82,00,30,,0,,,,,,2,2,..,.,J,1,,1,1,3,1,1,1.0,60,1,54.0,180,1,2006-03-10,0.0
06LA00017,06,K2116,64,68,16,04102,00,4.0,4,06,97,1,0,n,B,031006,69,9,3,2,8.1,5,1,X2986,82,00,30,,0,,,,,,2,2,..,.,J,2,,0,0,0,1,1,1.0,69,1,59.0,180,1,2006-03-10,0.0
06LA00018,06,K2116,64,68,16,04102,00,4.0,4,06,97,1,0,n,B,031006,69,9,3,3,7.2,5,1,,,00,30,1,69,44,,,,,2,2,..,.,J,3,,0,0,0,0,0,0.0,0,,0.0,,,2006-03-10,0.0
06LA00019,06,R2814,11,12,16,04102,00,5.0,5,43,97,1,0,y,B,031206,71,5,2,3,13.2,5,1,X2987,82,00,10,,0,,,,,,.,.,..,TRM,J,1,,1,1,1,1,1,1.0,88,1,89.0,180,1,2006-03-12,0.0
06LA00020,06,R4655,11,18,35,R3321,11,2.0,2,07,43,1,0,y,M,031206,71,5,2,2,8.2,1,1,R6134,11,18,07,6,71,14,,,,c14,.,.,..,RMB,J,1,,1,1,1,1,0,0.0,0,,0.0,,,2006-03-12,0.031
06LA00021,06,03364,00,m3, 6,03136,00,1.0,1,m3,m3,4,0,y,3,031106,70,0,0,.,0.0,5,.,,,m3,m3,0,70,27,,,"DEAD,c28",,7,4,..,III,J,1,,1,1,1,0,0,0.0,0,,0.0,,,2006-03-11,0.0
06LA00022,06,R3850,11,18,22,00408,00,4.0,4,07,Tx,1,0,y,T,031306,72,8,2,2,11.4,1,1,X2988,82,00,TR,,0,,,,THIN,,.,.,..,TRM,J,1,,1,1,2,1,1,1.0,70,1,74.0,180,1,2006-03-13,0.0
06LA00023,06,R3850,11,18,22,00408,00,4.0,4,07,Tx,1,0,y,T,031306,72,8,2,2,9.2,1,1,X2989,82,00,TR,3,76,93,,8,,ENTROPION,.,.,..,TRM,J,2,,0,0,0,1,0,0.0,0,,0.0,,,2006-03-13,0.0
06LA00024,06,R2054,11,10,27,06032,00,6.0,6,07,Tx,1,0,y,T,031306,72,8,3,3,11.8,1,1,X2990,82,00,TR,,0,,,,,ENTROPION,.,.,..,TRM,J,1,,1,1,2,1,1,1.0,67,1,63.0,180,1,2006-03-13,0.0
06LA00025,06,R2054,11,10,27,06032,00,6.0,6,07,Tx,1,0,y,T,031306,72,8,3,2,12.8,1,1,X2991,82,00,TR,,0,,,,,,.,.,..,TRM,J,2,,0,0,0,1,1,1.0,56,1,52.0,180,1,2006-03-13,0.0
06LA00026,06,R3752,11,18,06K,00308,00,4.0,4,07,06,1,0,y,C,031306,72,8,3,2,8.4,1,1,X2992,82,00,04,,0,,,,SUCK1SIDE,,.,.,..,TRM,J,1,,1,1,2,1,1,1.0,62,1,62.0,180,1,2006-03-13,0.0
06LA00027,06,R3752,11,18,06K,00308,00,4.0,4,07,06,1,0,y,C,031306,72,8,3,2,7.5,3,1,X2993,82,00,04,,0,,,,,BRN.LEGS,.,.,..,TRM,J,2,,0,0,0,1,1,1.0,59,1,58.0,180,1,2006-03-13,0.0
06LA00028,06,R4653,11,18,34,R4202,11,2.0,2,07,07,1,0,n,M,031306,72,8,1,2,9.9,1,1,R6135,11,18,07,,0,,,,THIN,ENTROPION,.,.,..,RMB,J,1,,1,1,2,1,1,1.0,76,1,73.0,180,1,2006-03-13,0.046
06LA00029,06,R4653,11,18,34,R4202,11,2.0,2,07,07,1,0,n,M,031306,72,8,1,3,9.6,1,1,R6136,11,18,07,3,73,93,,8,,,.,.,..,RMB,J,2,,0,0,0,1,0,0.0,0,,0.0,,,2006-03-13,0.046
06LA00030,06,Z9068,81,97,15,04564,00,3.0,3,97,97,1,0,n,B,031306,72,8,5,2,13.1,6,1,X2994,82,97,97,,0,,,,,,.,.,..,.,J,1,,1,1,2,1,1,1.0,94,1,0.0,,B,2006-03-13,0.0
06LA00031,06,Z9068,81,97,15,04564,00,3.0,3,97,97,1,0,n,B,031306,72,8,5,2,14.1,6,1,X2995,82,97,97,,0,,,,,,.,.,..,.,J,2,,0,0,0,1,1,1.0,106,1,0.0,,B,2006-03-13,0.0
06LA00032,06,R4793,11,18,37,R4405,11,2.0,2,07,07,1,0,n,M,031306,72,7,2,3,7.1,1,1,R6137,11,18,07,6,73,67,X3000,+,THIN,WEAK LAMB,.,.,..,RMB,J,1,,1,1,2,1,0,0.5,0,,0.0,,,2006-03-13,0.039
06LA00033,06,R4793,11,18,37,R4405,11,2.0,2,07,07,1,0,n,M,031306,72,7,2,2,7.2,1,1,,,18,07,1,72,44,,,,,.,.,..,RMB,J,2,,0,0,0,0,0,0.0,0,,0.0,,,2006-03-13,0.039
06LA00034,06,R4325,11,18,31,R4146,11,2.0,2,07,07,1,0,n,M,031306,72,8,2,1,9.8,1,1,R6138,11,18,07,,0,,,,,,.,.,..,RMB,J,1,,1,1,2,1,1,1.0,72,1,67.0,180,1,2006-03-13,0.036
06LA00035,06,R4325,11,18,31,R4146,11,2.0,2,07,07,1,0,n,M,031306,72,8,2,2,7.6,2,1,R6139,11,18,07,,0,,,,,BLK.EAR,.,.,..,RMB,J,2,,0,0,0,1,1,1.0,59,1,57.0,180,1,2006-03-13,0.036
06LA00036,06,S9257,10,12,32,R4349,11,8.0,8,43,07,1,0,y,M,031306,72,8,2,3,10.3,1,1,R6140,11,18,07,,0,,,,,,.,.,..,RMB,J,1,,1,1,2,1,1,1.0,67,1,66.0,180,1,2006-03-13,0.036
06LA00037,06,S9257,10,12,32,R4349,11,8.0,8,43,07,1,0,y,M,031306,72,8,2,2,8.6,1,1,R6141,11,18,07,3,76,93,,8,,ENTROPION,.,.,..,RMB,J,2,,0,0,0,1,0,0.0,0,,0.0,,,2006-03-13,0.036
06LA00038,06,R4484,11,18,32,R4349,11,2.0,2,07,07,1,0,n,M,031306,72,8,2,2,9.5,1,1,R6142,11,18,07,,0,,,,,,.,.,..,RMB,J,1,,1,1,2,1,1,1.0,80,1,78.0,180,1,2006-03-13,0.028
06LA00039,06,R4484,11,18,32,R4349,11,2.0,2,07,07,1,0,n,M,031306,72,8,2,2,8.9,1,1,R6143,11,18,07,3,73,93,,8,,,.,.,..,RMB,J,2,,0,0,0,1,0,0.0,0,,0.0,,,2006-03-13,0.028
