UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
19LA00001,19,T7017,45,,e4,Z0000,83,1.0,1,02,97,4,7,Y,,011019,10,0,0,.,.,.,0.0,.,.,.,,,,0,10,27,,,.,IMM,1,1,..,GRN,J,1,,1,1,1,0,0,0.0,0,2019-01-10,,,,,,
19LA00002,19,T6942,45,,e5,Z0000,00,1.0,1,02,SM,4,0,Y,,011519,15,0,0,.,.,.,0.0,.,.,.,,,,0,15,27,,,.,IMM,1,1,..,GRN,J,1,,1,1,1,0,0,0.0,0,2019-01-15,,,,,,
19LA00003,19,Z5585,83,,e5,Z0000,00,1.0,1,LR,SM,4,0,Y,,020719,38,0,0,.,.,.,0.0,.,.,.,,,,0,38,27,,,.,IMM,1,1,..,,J,1,,1,1,1,0,0,0.0,0,2019-02-07,,,,,,
19LA00004,19,Z3372,83,,30,Z4662,83,3.0,3,S3,97,1,0,Y,,022519,56,8,2,2,0,4,12.1,5,1,Z6357,83,,00,,,,,,EARLY,.,1,1,..,PUR,J,1,,1,1,2,1,1,1.0,87,2019-02-25,0.0,51,121,H,,
19LA00005,19,Z3372,83,,30,Z4662,83,3.0,3,S3,97,1,0,Y,,022519,56,8,2,2,0,2,11.0,5,1,Z6358,83,,00,,,,,,.,.,1,1,..,PUR,J,2,,0,0,0,1,1,1.0,85,2019-02-25,0.0,55,121,H,,
19LA00006,19,Z3228,83,A,19,Z3365,83,3.0,3,97,97,1,0,N,,030719,66,5,2,2,2,2,10.3,6,2,Z6359,83,A,97,,,,,,.,.,1,1,..,,J,1,,1,1,1,1,1,1.0,89,2019-03-07,0.024,53,121,H,,
19LA00007,19,Z4561,83,A,18,Z3355,83,2.0,2,97,97,1,0,N,,030719,66,5,3,2,0,2,12.0,6,1,Z6360,83,A,97,,,,,,.,NICE LAMB,1,1,..,,J,1,,1,1,1,1,1,1.0,98,2019-03-07,0.011,53,121,H,,
19LA00008,19,A0089,06,,e3,Z0000,83,1.0,1,30,00,4,0,Y,,030719,66,5,2,3,R,2,8.0,1,1,Z6361,83,,00,6,115,19,,,.,.,1,1,..,,J,1,,1,1,1,1,,,0,2019-03-07,0.0,,,,,
19LA00009,19,Z3792,83,,4,Z4489,83,3.0,3,SY,CT,1,,N,,030719,66,5,2,1,0,2,9.7,5,1,L2201,70,,PC,6,76,66,,,.,50BL.Pneu,1,1,..,OR,J,1,,1,1,1,1,0,0.0,0,2019-03-07,0.024,,,,,
19LA00010,19,Z5519,83,,e4,Z0000,83,1.0,1,LT,97,4,0,Y,,030719,66,5,1,2,0,3,7.0,5,1,Z6362,83,,00,,,,,,LOW2?,.,1,1,..,,J,1,,1,1,1,1,1,1.0,63,2019-03-07,0.0,30,121,1,,
19LA00011,19,H9501,05,,33,H9684,05,3.0,3,30,30,1,0,N,,030819,67,4,4,1,.,.,10.0,1,1,.,,,,1,67,44,,,.,.,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2019-03-08,,,,,,
19LA00012,19,H9501,05,,33,H9684,05,3.0,3,30,30,1,0,N,,030819,67,4,4,1,.,.,5.4,1,1,.,,,,1,67,44,,,.,.,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2019-03-08,,,,,,
19LA00013,19,H9692,05,,38,H9917,05,2.0,2,30,30,1,0,N,,030919,68,8,2,2,0,2,9.6,1,1,A0347,06,,30,,,,,,.,.,1,1,..,,J,1,,1,1,2,1,1,1.0,89,2019-03-09,0.042,36,121,1,,
19LA00014,19,H9692,05,,38,H9917,05,2.0,2,30,30,1,0,N,,030919,68,8,2,1,0,2,11.0,1,3,A0348,06,,30,,,,,,.,.,1,1,..,,J,2,,0,0,0,1,1,1.0,72,2019-03-09,0.042,33,121,1,,
19LA00015,19,L2033,70,,e2,L0000,70,1.0,1,PC,PC,4,0,N,,030919,68,5,2,2,2,2,13.0,5,1,L2202,70,,PC,,,,,,SM.BAG,20BR,1,1,..,OR,J,1,,1,1,1,1,1,1.0,98,2019-03-09,0.0,53,121,H,,
