CARD_UID,DAMID10,SIREID10,LAMB_IDS,LITTER_SIZE,TB,MILK,PEN,DATEBN,DAYBN,Y1,Y2,Y3,Y4,Y5,YEAR
LC_1950_1942110868,1942110868,1947112296,1950113217|1950113218,2,8,4,190,1950-04-19,109,1,1,2,1,10,1950
LC_1950_1942110906,1942110906,1947910107,1950113161,1,5,5,320,1950-04-15,105,1,1,1,1,10,1950
LC_1950_1942110930,1942110930,1947112296,1950113099,1,5,2,190,1950-04-11,101,1,1,1,1,10,1950
LC_1950_1942110962,1942110962,1948910110,1950113258|1950113259,2,8,4,340,1950-04-22,112,1,1,2,1,10,1950
LC_1950_1942110974,1942110974,1948112531,1950113100,1,5,3,200,1950-04-11,101,1,1,1,1,10,1950
LC_1950_1942110981,1942110981,1947112296,1950113104,1,5,3,190,1950-04-11,101,1,1,1,1,10,1950
LC_1950_1942111054,1942111054,1947910107,1950113237|1950113238,2,8,3,320,1950-04-21,111,1,1,2,1,10,1950
LC_1950_1942111057,1942111057,1948112531,1950113102,1,5,2,200,1950-04-11,101,1,1,1,1,10,1950
LC_1950_1942111084,1942111084,1948112594,1950113260|1950113261,2,8,1,210,1950-04-22,112,1,1,2,1,10,1950
LC_1950_1942111089,1942111089,1947910106,1950113080|1950113081,2,8,1,240,1950-04-10,100,1,1,2,1,10,1950
LC_1950_1943111173,1943111173,1947112232,1950113225|1950113226,2,8,3,270,1950-04-19,109,1,1,2,1,0,1950
LC_1950_1943111191,1943111191,1947112296,1950113143,1,5,2,190,1950-04-14,104,1,1,1,1,10,1950
LC_1950_1943111211,1943111211,1948910110,1950113191,1,5,4,340,1950-04-17,107,1,1,1,1,10,1950
LC_1950_1943111225,1943111225,1948112744,1950113246,1,5,5,230,1950-04-21,111,1,1,1,1,0,1950
LC_1950_1943111229,1943111229,1947112232,1950113278,1,5,2,270,1950-04-26,116,1,1,1,1,10,1950
LC_1950_1943111243,1943111243,1947910107,1950113061,1,5,4,320,1950-04-06,96,1,1,1,1,10,1950
LC_1950_1943111297,1943111297,1948112531,1950113113,1,5,4,200,1950-04-12,102,1,1,1,1,10,1950
LC_1950_1943111298,1943111298,1947910107,1950113268|1950113269,2,8,4,320,1950-04-24,114,1,1,2,1,0,1950
LC_1950_1943111333,1943111333,1947112296,1950113247|1950113248,2,8,1,190,1950-04-21,111,1,1,2,1,0,1950
LC_1950_1943111373,1943111373,1948112740,1950113155,1,5,4,211,1950-04-15,105,1,1,1,1,10,1950
LC_1950_1944111409,1944111409,1948112740,1950113254,1,5,4,211,1950-04-22,112,1,1,1,1,10,1950
LC_1950_1944111418,1944111418,1947910106,1950113094|1950113095,2,8,3,240,1950-04-11,101,1,1,2,1,10,1950
LC_1950_1944111431,1944111431,1947112232,1950113175|1950113176,2,8,2,270,1950-04-16,106,1,1,2,1,10,1950
LC_1950_1944111459,1944111459,1948910110,1950113074,1,5,3,340,1950-04-08,98,1,1,1,1,10,1950
LC_1950_1944111472,1944111472,1948112531,1950113082|1950113083,2,8,1,200,1950-04-10,100,1,1,2,1,0,1950
LC_1950_1944111484,1944111484,1948112531,1950113088,1,5,2,200,1950-04-10,100,1,1,1,1,10,1950
LC_1950_1944111486,1944111486,1948112531,1950113276,1,5,4,200,1950-04-25,115,1,1,1,1,10,1950
LC_1950_1944111490,1944111490,1947910106,1950113117|1950113118,2,8,4,240,1950-04-13,103,1,1,2,1,10,1950
LC_1950_1944111499,1944111499,1947910106,1950113136,1,5,4,240,1950-04-14,104,1,1,1,1,10,1950
LC_1950_1944111517,1944111517,1947112377,1950113174,1,7,4,231,1950-04-16,106,1,1,2,1,10,1950
LC_1950_1944111523,1944111523,1948112531,1950113091,1,5,5,200,1950-04-10,100,1,1,1,1,10,1950
LC_1950_1944111527,1944111527,1947112296,1950113131,1,5,1,190,1950-04-13,103,1,1,1,1,0,1950
LC_1950_1944111537,1944111537,1947112296,1950113213,1,5,4,190,1950-04-19,109,1,1,1,1,10,1950
LC_1950_1944111546,1944111546,1947112377,1950113137,1,5,5,231,1950-04-14,104,1,1,1,1,10,1950
LC_1950_1944111578,1944111578,1947910106,1950113279,1,5,4,240,1950-04-27,117,1,1,1,1,10,1950
LC_1950_1944111604,1944111604,1948910110,1950113274|1950113275,2,8,4,340,1950-04-24,114,1,1,2,1,0,1950
LC_1950_1944111609,1944111609,1947112296,1950113249,1,5,4,190,1950-04-22,112,1,1,1,1,10,1950
LC_1950_1944111616,1944111616,1947112232,1950113244,1,5,4,270,1950-04-21,111,1,1,1,1,10,1950
LC_1950_1944111630,1944111630,1947910107,1950113252|1950113253,2,8,4,320,1950-04-22,112,1,1,2,1,0,1950
LC_1950_1945111661,1945111661,1948112740,1950113171,1,5,4,211,1950-04-16,106,1,1,1,1,10,1950
LC_1950_1945111682,1945111682,1947112296,1950113154,1,5,4,190,1950-04-15,105,1,1,1,1,10,1950
LC_1950_1945111692,1945111692,1947112232,1950113179,1,5,5,270,1950-04-16,106,1,1,1,1,10,1950
LC_1950_1945111701,1945111701,1948910110,1950113193,1,5,4,340,1950-04-17,107,1,1,1,1,10,1950
LC_1950_1945111704,1945111704,1948112531,1950113139,1,5,4,200,1950-04-14,104,1,1,1,1,10,1950
LC_1950_1945111711,1945111711,1948910110,1950113127,1,5,4,340,1950-04-13,103,1,1,1,1,10,1950
LC_1950_1945111713,1945111713,1948910110,1950113281,1,5,4,340,1950-04-27,117,1,1,1,1,10,1950
LC_1950_1945111717,1945111717,1947910107,1950113071,1,5,3,320,1950-04-08,98,1,1,1,1,0,1950
LC_1950_1945111718,1945111718,1947112296,1950113257,1,5,3,190,1950-04-22,112,1,1,1,1,0,1950
LC_1950_1945111727,1945111727,1948112531,1950113170,1,5,4,200,1950-04-16,106,1,1,1,1,10,1950
LC_1950_1945111731,1945111731,1947112232,1950113055,1,5,4,270,1950-04-06,96,1,1,1,1,10,1950
LC_1950_1945111744,1945111744,1947112232,1950113239|1950113240,2,8,3,270,1950-04-21,111,1,1,2,1,10,1950
LC_1950_1945111745,1945111745,1947112232,1950113121|1950113122,2,8,2,270,1950-04-13,103,1,1,2,1,10,1950
LC_1950_1945111755,1945111755,1947112232,1950113203,1,5,5,270,1950-04-18,108,1,1,1,1,10,1950
LC_1950_1945111764,1945111764,1948112531,1950113105,1,5,4,200,1950-04-11,101,1,1,1,1,10,1950
LC_1950_1945111771,1945111771,1947112232,1950113230,1,5,4,270,1950-04-20,110,1,1,1,1,10,1950
LC_1950_1945111775,1945111775,1948112744,1950113168,1,5,4,230,1950-04-16,106,1,1,1,1,10,1950
LC_1950_1945111820,1945111820,1947112296,1950113221,1,5,5,190,1950-04-19,109,1,1,1,1,10,1950
LC_1950_1945111827,1945111827,1947112232,1950113216,1,5,4,270,1950-04-19,109,1,1,1,1,10,1950
LC_1950_1945111828,1945111828,1947112232,1950113204,1,5,4,270,1950-04-18,108,1,1,1,1,10,1950
LC_1950_1945111838,1945111838,1947112232,1950113227|1950113228,2,8,2,270,1950-04-19,109,1,1,2,1,0,1950
LC_1950_1945111847,1945111847,US17481847,1950176517,1,5,4,240,1950-05-27,147,1,1,1,1,10,1950
LC_1950_1945111860,1945111860,1948112744,1950113192,1,5,4,230,1950-04-17,107,1,1,1,1,10,1950
LC_1950_1945111872,1945111872,1948112531,1950113084,1,5,4,200,1950-04-10,100,1,1,1,1,10,1950
LC_1950_1945111874,1945111874,1947112377,1950113184,1,5,4,231,1950-04-17,107,1,1,1,1,10,1950
LC_1950_1945111876,1945111876,1947112377,1950113263|1950113264,2,8,2,231,1950-04-23,113,1,1,2,1,10,1950
LC_1950_1945111878,1945111878,1947112232,1950113052,1,5,4,270,1950-04-06,96,1,1,1,1,0,1950
LC_1950_1945111896,1945111896,1948112594,1950113273,1,5,4,210,1950-04-24,114,1,1,1,1,0,1950
LC_1950_1945111898,1945111898,1948112531,1950113201,1,5,3,200,1950-04-18,108,1,1,1,1,10,1950
LC_1950_1945111901,1945111901,1947910107,1950113280,1,5,4,320,1950-04-27,117,1,1,1,1,10,1950
LC_1950_1945111903,1945111903,1948112531,1950113205,1,5,4,200,1950-04-18,108,1,1,1,1,10,1950
LC_1950_1945111913,1945111913,1947910107,1950113098,1,5,3,320,1950-04-11,101,1,1,1,1,10,1950
LC_1950_1946111929,1946111929,1947112377,1950113224,1,5,4,231,1950-04-19,109,1,1,1,1,10,1950
LC_1950_1946111935,1946111935,1947910107,1950113256,1,5,3,320,1950-04-22,112,1,1,1,1,10,1950
LC_1950_1946111948,1946111948,1947910106,1950113063,1,5,4,240,1950-04-07,97,1,1,1,1,10,1950
LC_1950_1946111949,1946111949,1947910106,1950113166|1950113167,2,8,4,240,1950-04-15,105,1,1,2,1,0,1950
LC_1950_1946111972,1946111972,1947112232,1950113072,1,6,4,270,1950-04-08,98,1,1,2,1,10,1950
LC_1950_1946111979,1946111979,1948910110,1950113153,1,5,3,340,1950-04-15,105,1,1,1,1,10,1950
LC_1950_1946111982,1946111982,1947112296,1950113123,1,5,4,190,1950-04-13,103,1,1,1,1,10,1950
LC_1950_1946111996,1946111996,1948910110,1950113046|1950113047,2,8,2,340,1950-04-05,95,1,1,2,1,10,1950
LC_1950_1946111999,1946111999,1948112531,1950113101,1,5,3,200,1950-04-11,101,1,1,1,1,10,1950
LC_1950_1946112003,1946112003,1948112744,1950113186,1,5,4,230,1950-04-17,107,1,1,1,1,10,1950
LC_1950_1946112005,1946112005,1947910107,1950113078,1,5,4,320,1950-04-09,99,1,1,1,1,10,1950
LC_1950_1946112020,1946112020,1948910110,1950113187|1950113188,2,8,4,340,1950-04-17,107,1,1,2,1,10,1950
LC_1950_1946112021,1946112021,1948910110,1950113194,1,5,4,340,1950-04-17,107,1,1,1,1,10,1950
LC_1950_1946112036,1946112036,1947112232,1950113234,1,5,2,270,1950-04-20,110,1,1,1,1,10,1950
LC_1950_1946112037,1946112037,1947112296,1950113132,1,5,4,190,1950-04-13,103,1,1,1,1,10,1950
LC_1950_1946112055,1946112055,1948112740,1950113119,1,5,4,211,1950-04-13,103,1,1,1,1,0,1950
LC_1950_1946112057,1946112057,1948112594,1950113077,1,5,4,210,1950-04-08,98,1,1,1,1,10,1950
LC_1950_1946112060,1946112060,1948910110,1950113115|1950113116,2,8,2,340,1950-04-13,103,1,1,2,1,10,1950
LC_1950_1946112061,1946112061,1947112377,1950113285|1950113286,2,8,4,231,1950-05-02,122,1,1,2,1,10,1950
LC_1950_1946112088,1946112088,1948112531,1950113163,1,5,5,200,1950-04-15,105,1,1,1,1,10,1950
LC_1950_1946112091,1946112091,1948112531,1950113090,1,5,3,200,1950-04-10,100,1,1,1,1,10,1950
LC_1950_1946112102,1946112102,1947112232,1950113151|1950113152,2,8,3,270,1950-04-15,105,1,1,2,1,0,1950
LC_1950_1946112107,1946112107,1947112296,1950113214,1,5,4,190,1950-04-19,109,1,1,1,1,10,1950
LC_1950_1946112115,1946112115,1948112744,1950113089,1,5,4,230,1950-04-10,100,1,1,1,1,10,1950
