UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DATE,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,ABLMB,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,SBRD,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
55LA00001,55,1,1849,0,69,728,1624,10,0,,1,9,13,1,07,,1,413,103,8,,0,3,93,,,,,,,0,10,7231,3,,79,68,4,1,,11.2,,,17,,1,1,1,2,1,10,1955-04-13
55LA00002,55,1,1850,0,69,728,1624,10,0,,1,9,13,1,07,,1,413,103,8,,0,3,93,,,,,,,0,10,7231,3,,76,68,4,1,,9.6,,,17,,2,1,1,2,1,10,1955-04-13
55LA00003,55,2,,,69,328,1625,10,0,,1,9,,1,07,,1,404,94,1,,0,3,,,,2302,14,+,,0,10,0107,,,,68,4,,,10.0,,1,91,,1,1,1,1,0,0,1955-04-04
55LA00004,55,1,1881,0,69,498,1629,10,0,,1,9,,1,07,,1,420,110,8,,0,2,,6,,3636,11,-,,0,10,1037,2,,77,68,4,5,,9.8,,,14,,1,1,1,2,1,10,1955-04-20
55LA00005,55,2,1882,0,69,498,1629,10,0,,1,9,,1,07,,1,420,110,8,,0,2,,6,,,,,,0,10,1037,2,,59,68,4,,,10.4,,,14,,2,1,1,2,1,10,1955-04-20
55LA00006,55,1,,,69,409,1631,10,0,,1,8,33,,07,,,401,91,4,,0,0,05,,,,,,,0,10,0935,2,,,68,4,,,9.2,,1,14,,1,1,1,2,0,0,1955-04-01
55LA00007,55,1,,,69,409,1631,10,0,,1,8,33,,07,,,401,91,4,,0,0,05,,,,,,,0,10,0935,2,,,68,4,,,11.0,,1,14,,2,1,1,2,0,0,1955-04-01
55LA00008,55,2,1853,0,69,469,1632,10,0,,1,8,,1,07,,1,413,103,5,,0,4,,,,,,,,0,10,1323,2,,80,68,4,1,,10.6,,,14,,1,1,1,1,1,10,1955-04-13
55LA00009,55,1,,,69,458,1636,10,0,,1,7,,1,07,,1,331,90,0,,0,2,,,,,,,,0,10,0117,,,,68,4,,,6.5,,0,91,,1,1,1,1,0,0,1955-03-31
55LA00010,55,1,1801,0,69,258,1638,10,0,,1,7,,1,07,,1,401,91,5,,0,4,,,,,,,,0,10,0116,,,105,68,4,1,,12.8,,,91,,1,1,1,1,1,10,1955-04-01
55LA03554,55,2,1784,7,75,156,0416,69,9,,6,3,,1,06,,1,413,103,8,,0,4,,,,,,,,9,67,9227,6,,76,70,9,1,,9.6,,,60,,1,1,1,2,1,10,1955-04-13
55LA03555,55,1,1785,7,75,156,0416,69,9,,6,3,,1,06,,1,413,103,8,,0,4,,,,,,,,9,67,9227,6,,88,70,9,1,,12.2,,,60,,2,1,1,2,1,10,1955-04-13
55LA03556,55,1,1798,7,75,116,0419,69,9,,6,2,,1,06,,1,425,115,5,,0,4,,,,,,,,9,67,9164,6,,100,73,9,4,,12.6,,,60,,1,1,1,1,1,10,1955-04-25
55LA03557,55,,,,07,072,4583,40,4,22,4,6,,,02,,,607,158,4,,0,1,,,22,,,,,0,41,6521,4,,,07,1,,,0.0,,1,40,,2,1,1,2,0,0,1955-06-07
55LA03558,55,1,,,70,712,6734,40,4,,4,3,,1,02,,1,428,118,7,,0,5,,,,,,,,0,40,7446,4,,0,73,2,,,10.0,,1,40,,2,1,1,2,0,0,1955-04-28
55LA03559,55,2,4434,1,21,210,3341,11,1,28,1,4,,1,07,,1,408,98,8,,0,4,,,25,,,,,1,11,3865,1,,82,21,1,1,,9.6,,,11,,2,1,1,2,1,10,1955-04-08
55LA03560,55,1,2277,2,40,400,1871,13,2,18,1,4,,1,07,,1,403,93,8,,0,3,,,10,,,,,3,14,1209,2,,70,40,1,1,,11.0,,,14,,1,1,1,2,1,10,1955-04-03
55LA03561,55,2,2682,2,39,390,9217,13,2,08,1,7,,1,07,,1,415,105,8,,0,3,,,06,,,,,3,14,0396,2,,78,39,1,5,,10.8,,,14,,1,1,1,2,1,10,1955-04-15
55LA03562,55,1,2484,2,00,000,0000,00,,,,5,,1,00,3,1,409,99,5,,0,5,,,,0571,14,-,,,14,0000,,,82,,0,1,,10.0,,,00,,0,1,1,2,1,10,1955-04-09
55LA03563,55,2,1973,5,00,000,0000,00,,,,4,,1,00,3,1,405,95,5,,0,3,,,,,,,,,48,0000,,,71,,0,,,10.8,,,00,,0,1,1,2,1,10,1955-04-05
