UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DATE,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,X3,ABLMB,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
56LA00001,56,,,,65,621,1624,10,0,,1,0,,,07,,,305,65,-,,0,,,,,,,,,0,10,4083,1,11,,68,5,,,0.0,,,,,1,1,0,0,0,0,1956-03-05
56LA00002,56,2,1895,0,69,399,1625,10,0,,1,0,,1,07,,1,401,92,5,,0,2,,,,,,,,0,10,1714,2,14,78,68,4,,,7.0,,,,,1,1,1,1,1,10,1956-04-01
56LA00003,56,1,1961,0,69,691,1632,10,0,,1,9,,1,07,,1,412,103,5,,0,5,,,,,,,,0,10,1854,2,14,77,68,5,,,12.0,,,,,1,1,1,1,1,10,1956-04-12
56LA00004,56,1,1932,0,69,479,1638,10,0,,1,8,,1,07,,1,408,99,5,,0,5,,,,,,,,0,10,1939,2,14,99,68,4,,,13.0,,,,,1,1,1,1,1,10,1956-04-08
56LA00005,56,2,1908,0,69,728,1639,10,0,,1,7,,1,07,,1,404,95,5,,0,4,,,,,,,,0,10,7166,3,17,80,68,4,,,11.0,,,,,1,1,1,1,1,10,1956-04-04
56LA00006,56,2,1987,0,69,611,1642,10,0,,1,6,,4,07,,4,419,110,8,,0,4,,,,,,,,0,10,4213,1,11,44,68,5,,,10.0,,,,,1,1,1,2,1,10,1956-04-19
56LA00007,56,1,1988,0,69,611,1642,10,0,,1,6,,1,07,,4,419,110,8,,230,4,,,,,,,,0,10,4213,1,11,,68,5,,,9.0,,7,,,2,1,1,2,1,0,1956-04-19
56LA00008,56,1,1982,0,69,408,1643,10,0,,1,6,,1,07,,1,417,108,5,,0,4,,,,,,,,0,10,0935,2,14,88,68,4,,,12.0,2,,,16,1,1,1,1,1,10,1956-04-17
56LA00009,56,1,1981,0,69,398,1644,10,0,,1,5,,1,07,,1,415,106,5,,0,3,,,,,,,,0,10,0396,2,14,83,68,4,,,12.2,,,,,1,1,1,1,1,10,1956-04-15
56LA00010,56,2,1911,0,69,328,1645,10,0,,1,5,,1,07,,1,405,96,8,,0,3,,,,,,,,0,10,4164,1,11,75,68,4,,,11.0,,,,,1,1,1,2,1,10,1956-04-05
56LA03566,56,2,1820,7,75,713,0416,69,9,,6,4,,1,06,,1,421,112,5,,0,5,,,,,,,,9,67,9369,6,60,98,73,9,,,15.4,,,,,1,1,1,1,1,10,1956-04-21
56LA03567,56,2,2075,5,00,000,6084,17,3,,1,7,,3,00,3,1,519,140,8,,146,3,,,00,,,,,7,48,0000,,00,,70,0,,,9.0,,6,,,1,1,1,2,1,0,1956-05-19
56LA03568,56,,,,02,022,5274,40,4,22,4,6,,1,02,,1,421,112,4,,0,3,,,16,,,,,0,41,8445,4,40,,02,1,,,0.0,,1,,,2,1,1,2,0,0,1956-04-21
56LA03569,56,,,,05,052,8359,40,4,30,4,2,,,02,,,420,111,2,,0,0,,,24,,,,,0,41,9142,4,40,,05,1,,,0.0,,0,,,2,1,1,2,0,0,1956-04-20
56LA03570,56,,,,10,103,0234,61,6,25,6,2,,1,06,,1,411,102,7,,0,3,,,20,,,,,1,61,8935,6,60,0,10,1,,,8.0,,1,,,2,1,1,2,0,0,1956-04-11
56LA03571,56,,,,85,024,9981,60,6,,6,2,,1,06,,1,421,112,4,,0,2,,,,,,,,0,61,0266,6,61,,84,7,,,0.0,,1,,,1,1,1,2,0,0,1956-04-21
56LA03572,56,1,2043,5,00,000,5183,40,4,,4,6,,1,00,3,1,430,121,5,,,3,,,13,,,,,0,48,0000,,00,94,07,0,,,12.2,,,,,1,1,1,1,1,10,1956-04-30
56LA03573,56,3,2030,5,00,000,6111,17,3,,1,7,,1,00,3,1,321,81,5,,0,4,,,01,,,,,3,48,0000,,00,80,70,0,,,10.0,,,,,1,1,1,1,1,10,1956-03-21
56LA03574,56,1,2044,5,00,000,9570,13,2,,1,8,,1,00,3,1,430,121,8,,122,2,,,19,,,,,3,48,0000,,00,0,45,0,,,10.0,,3,,,1,1,1,2,1,0,1956-04-30
56LA03575,56,1,2045,5,00,000,9570,13,2,,1,8,,1,00,3,1,430,121,8,,,2,,,19,,,,,3,48,0000,,00,82,45,0,,,10.6,,,,,2,1,1,2,1,10,1956-04-30
