UID,YR,SEX,LAMB,LBRD,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,LB2,DB2,SB2,LB,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TRT2,X2,BRWT,ABNL,DISP,ABLMB,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
60LA00001,60,2,2463,10,1,69,700,1647,10,1,,5,9,,1,07,,1,109,8,,0,4,,,,,,,0,0,4,0,4114,1,14,71,68,5,,2,10.8,2,,16,&,1,1,1,2,1,10,1960-04-18
60LA00002,60,2,2464,10,1,69,700,1647,10,1,,5,9,,1,07,,1,109,8,,0,4,,,,,,,0,0,4,0,4114,1,14,54,68,5,,2,9.0,,,,&,2,1,1,2,1,10,1960-04-18
60LA00003,60,2,2440,10,1,69,508,1650,10,1,,1,8,,1,07,,1,103,5,,0,3,,,,,,,0,0,4,0,1705,1,14,78,68,4,,1,12.4,,,,&,1,1,1,1,1,10,1960-04-12
60LA00004,60,2,2383,10,1,69,498,1655,10,1,,,8,,1,07,,3,95,8,,236,3,,,,,,,0,0,4,0,4188,1,14,,68,4,,,10.4,,6,,&,1,1,1,2,1,0,1960-04-04
60LA00005,60,2,2384,10,1,69,498,1655,10,1,,3,8,,1,07,,1,95,8,,0,3,,,,,,,0,0,4,0,4188,1,14,73,68,4,,1,11.2,,,,&,2,1,1,2,1,10,1960-04-04
60LA00006,60,1,2372,10,1,69,478,1666,10,1,,3,8,,1,07,,1,93,8,,0,3,,,,,,,0,0,4,0,2461,1,14,91,68,4,,1,9.4,,,,&,1,1,1,2,1,10,1960-04-02
60LA00007,60,1,2373,10,1,69,478,1666,10,1,,4,8,,1,07,,1,93,8,,0,3,,,,1899,14,-,0,0,4,0,2461,1,14,85,68,4,,1,9.6,1,,03,&,2,1,1,2,1,10,1960-04-02
60LA00008,60,2,2430,10,1,69,518,1685,10,1,,4,8,,1,07,,1,102,8,,0,3,,,,2744,41,-,0,0,4,0,4420,1,14,79,68,4,,3,12.4,,,,&,1,1,1,2,1,10,1960-04-11
60LA00009,60,1,2431,10,1,69,518,1685,10,1,,4,8,,1,07,,1,102,8,,0,3,,,,0735,14,-,0,0,4,0,4420,1,14,96,68,4,,2,12.4,,,,&,2,1,1,2,1,10,1960-04-11
60LA00010,60,1,2382,10,1,69,348,1688,10,1,,1,8,,1,07,,1,94,5,,0,4,,,,,,,0,0,1,0,5102,1,11,93,68,4,,1,13.6,,,,&,1,1,1,1,1,10,1960-04-03
60LA04055,60,2,3625,61,6,75,026,1808,67,6,,3,5,,1,06,,1,106,8,,0,4,,,,,,,1,7,1,6,2274,6,61,77,73,9,,2,9.8,,,,&,1,1,1,2,1,10,1960-04-15
60LA04056,60,1,3626,61,6,75,026,1808,67,6,,,5,,1,06,,1,106,8,,135,4,,,,,,,1,7,1,6,2274,6,61,,73,9,,,7.2,,6,,&,2,1,1,2,1,0,1960-04-15
60LA04057,60,1,3979,61,6,75,076,1809,67,6,,5,5,,1,06,,1,113,8,,0,4,,,,,,,1,7,1,6,2071,6,61,83,73,9,,2,10.2,,,,&,1,1,1,2,1,10,1960-04-22
60LA04058,60,1,3980,61,6,75,076,1809,67,6,,5,5,,1,06,,2,113,8,,0,4,,,,,,,1,7,1,6,2071,6,61,71,73,9,,2,10.8,,,,&,2,1,1,2,1,10,1960-04-22
60LA04059,60,1,3966,61,6,75,106,1814,67,6,,3,5,,1,06,,1,113,8,,0,3,,,,,,,1,7,1,6,0811,6,61,67,73,9,,3,10.0,,,,&,1,1,1,2,1,10,1960-04-22
60LA04060,60,1,3967,61,6,75,106,1814,67,6,,,5,,1,06,,1,113,8,,114,3,,,,,,,1,7,1,6,0811,6,61,,73,9,,,6.4,,2,,&,2,1,1,2,1,0,1960-04-22
60LA04061,60,1,2410,48,4,00,000,0000,00,,,,2,,1,00,3,1,150,5,,,4,,,,,,,8,,,5,0000,,00,77,,0,,,11.0,,,,,0,1,1,1,1,10,1960-05-29
60LA04062,60,1,4383,61,6,00,000,0000,00,,,,2,,1,00,3,1,132,5,,,3,,,,,,,1,,,6,0000,,00,92,,0,,,11.0,,,,,0,1,1,1,1,10,1960-05-11
60LA04063,60,3,0134,90,9,00,000,0000,00,,,,2,,5,00,3,1,148,5,,,4,,,,,,,0,,,9,0000,,00,79,,0,,,11.0,,,,,0,1,1,1,1,10,1960-05-27
60LA04064,60,3,0143,90,9,00,000,0000,00,,,,2,,5,00,3,1,153,5,,,4,,,,,,,0,,,9,0000,,00,76,,0,,,10.5,,,,,0,1,1,1,1,10,1960-06-01
