UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,X2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABEWE,DISP,INBD,FONO,FOBR,FOPU,X3,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,X4,Y2,Y3,BRWT,Y5,ABLMB,X5,CDNO,DATEBN
65LA00001,65,1,0572,4,09,099,8391,40,4,,,-, 6,1,02,,3,119,8,,0,3,,,10,,,,,0,42,8231,41,1,66,11,7,1,,1,2,10.6,10,,,1,1965-04-29
65LA00002,65,2,0573,4,09,099,8391,40,4,,,-, 6,1,02,,3,119,8,,0,3,,,10,,,,,0,42,8231,41,1,66,11,7,1,,1,2,11.0,10,,,2,1965-04-29
65LA00003,65,2,9985,4,03,038,8479,40,4,,,-, 6,1,02,,1,103,8,,0,4,,,15,,,,,0,41,8111,41,1,66,08,7,1,,1,2,9.0,10,,,1,1965-04-13
65LA00004,65,1,9986,4,03,038,8479,40,4,,,-, 6,1,02,,1,103,8,,0,4,,,15,,,,,0,41,8111,41,1,69,08,7,1,,1,2,8.4,10,,,2,1965-04-13
65LA00005,65,1,0143,4,11,119,8538,40,4,,,-, 6,1,02,,1,107,8,,0,4,,,20,,,,,0,42,8642,41,1,85,08,7,1,,1,2,10.8,10,,,1,1965-04-17
65LA00006,65,2,0144,4,11,119,8538,40,4,,,-, 6,1,02,,3,107,8,,92,4,,6,20,,,,,0,42,8642,41,1,,08,7,1,,1,2,9.8,0,,,2,1965-04-17
65LA00007,65,2,0260,4,05,051,8695,40,4,23,,-, 8,1,02,,1,109,8,,109,2,,2,21,,,,,0,42,8273,41,1,,05,1,1,,1,2,5.8,0,06,,1,1965-04-19
65LA00008,65,1,0261,4,05,051,8695,40,4,23,,-, 8,1,02,,1,109,8,,0,2,,,21,,,,,0,42,8273,41,1,62,05,1,1,,1,2,6.8,10,,,2,1965-04-19
65LA00009,65,1,9759,4,15,159,9018,40,4,,,-, 5,1,02,,1,97,8,,97,2,,2,18,,,,,0,41,8264,41,1,,07,7,1,,1,2,9.0,0,,,1,1965-04-07
65LA00010,65,1,9760,4,15,159,9018,40,4,,,-, 5,1,02,,1,97,8,,99,2,,2,18,,,,,0,41,8264,41,1,,07,7,1,,1,2,9.2,0,,,2,1965-04-07
65LA04656,65,3,4261,8,81,398,9093,80,9,,,7,,1,07,,1,122,5,5,0,4,,,,,,,,1,81,6440,14,1,82,61,4,1,,1,1,11.6,10,,,1,1965-05-02
65LA04657,65,3,4262,8,81,448,9491,80,9,,,6,,1,08,,1,122,8,5,0,4,,,,,,,,4,81,6715,14,1,65,61,4,1,,1,2,11.0,10,,,1,1965-05-02
65LA04658,65,2,4263,8,81,448,9491,80,9,,,6,,1,08,,1,122,8,5,0,4,,,,,,,,4,81,6715,14,0,71,61,4,1,,0,0,12.2,10,,,2,1965-05-02
65LA04659,65,2,4264,8,81,398,9725,80,9,,,6,,1,09,,1,122,8,7,0,4,,,,,,,,6,81,6440,14,1,51,61,4,1,,1,2,10.0,10,,,1,1965-05-02
65LA04660,65,2,4265,8,81,398,9725,80,9,,,6,,1,09,,1,122,8,7,0,4,,,,,,,,6,81,6440,14,0,69,61,4,1,,0,0,13.0,10,,,2,1965-05-02
65LA04661,65,2,4266,8,81,538,9805,80,9,,,4,,1,09,,1,122,5,1,0,4,,,,,,,,6,81,6819,14,1,61,61,4,1,,1,1,9.8,10,,,1,1965-05-02
65LA04662,65,3,1915,9,34,120,3280,81,8,,,2,,1,17,,1,109,8,,230,4,,7,,,,,,0,90,1158,18,0,,81,9,1,,0,0,10.6,0,,7,2,1965-04-19
65LA04663,65,3,1944,9,42,150,3286,81,8,,,2,,1,64,,1,112,5,,0,4,,,,,,,,0,90,5577,61,1,100,81,9,1,,1,1,13.6,10,,7,1,1965-04-22
65LA04664,65,3,1996,9,41,110,3288,81,8,,,2,,2,14,,1,114,8,,122,4,,6,,,,,,0,90,1140,18,1,,81,9,1,,1,2,8.8,0,,7,1,1965-04-24
65LA04665,65,2,1997,9,41,110,3288,81,8,,,2,,1,14,,1,114,8,,0,4,,,,,,,,0,90,1140,18,0,74,81,9,1,,0,0,8.2,10,,7,2,1965-04-24
