UID,YR,SEX,LAMB,LB1,LINE,BPEN,DAM,DBRD,DB1,INBRL,CODE,ADAM,TRT,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,INBRD,FONO,FOPU,TRT2,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,CODE2,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,DATEBN,STMD
70LA00001,70,,,0,32,320,5060,11,1,26,,-0,,,07,,,41,,,0,,,,20,,,,1,11,6381,11,0,0,32,1,0,,0,0,0.0,0,,7,1,,07
70LA00002,70,2,6488,1,24,240,5500,11,1,40,,00,,1,07,,1,113,5,,0,4,,,25,,,,1,11,6255,11,1,66,24,1,1,,1,1,11.8,10,,6,1,1970-04-23,07
70LA00003,70,2,,0,32,320,5562,11,1,31,,00,,1,07,,1,109,1,,0,0,,1,29,,,,1,11,6381,11,1,0,32,1,0,,1,1,6.6,0,,6,1,1970-04-19,07
70LA00004,70,1,6475,1,24,240,5602,11,1,30,,90,,1,07,,1,105,8,,0,4,,,29,,,,1,11,6255,11,1,80,24,1,1,,1,2,11.4,10,,7,1,1970-04-15,07
70LA00005,70,1,6476,1,24,240,5602,11,1,30,,90,,1,07,,1,105,8,,0,4,,,29,,,,1,11,6255,11,0,65,24,1,1,,0,0,10.4,10,,7,2,1970-04-15,07
70LA00006,70,,,0,24,240,5634,11,1,34,,90,,,07,,,41,,,0,,,,32,,,,1,11,6255,11,0,0,24,1,0,,0,0,0.0,0,,6,1,,07
70LA00007,70,1,6479,1,32,320,5741,11,1,32,,80,,1,07,,1,106,5,,0,4,,,22,,,,1,11,6381,11,1,70,32,1,1,,1,1,10.2,10,,6,1,1970-04-16,07
70LA00008,70,2,,0,24,240,5766,11,1,39,,80,,1,07,,1,120,0,,0,0,,0,32,,,,1,11,6255,11,1,0,24,1,0,,1,1,5.0,0,,6,1,1970-04-30,07
70LA00009,70,1,6467,1,24,240,5794,11,1,37,,80,,1,07,,1,101,8,,104,4,,6,30,,,,1,11,6255,11,1,0,24,1,1,,1,2,10.6,0,,7,1,1970-04-11,07
70LA00010,70,2,6468,1,24,240,5794,11,1,37,,80,,1,07,,1,101,8,,0,4,,,30,836714,-,,1,11,6255,11,0,75,24,1,1,,0,0,8.0,5,,7,2,1970-04-11,07
70LA04382,70,1,1474,6,76,761,0086,62,6,,,20,,1,06,,1,108,5,,0,3,,,,,,,2,62,0862,62,1,74,76,6,1,,1,1,8.6,10,,,1,1970-04-18,06
70LA04383,70,2,1820,6,75,751,0087,62,6,,,20,,1,06,,1,114,5,,0,3,,,,929361,-,,2,62,0306,62,1,54,75,6,1,,1,1,9.8,5,,,1,1970-04-24,06
70LA04384,70,1,1785,6,70,701,0098,62,6,,,20,,3,06,,1,114,5,,0,4,,,,,,,2,62,0311,62,1,68,70,2,1,,1,1,11.2,10,,,1,1970-04-24,06
70LA04385,70,,,0,70,702,0099,62,6,,,20,,,06,1,,145,,,0,,,,,,,,2,62,0849,62,1,0,70,2,0,,0,0,0.0,0,,,1,1970-05-25,06
70LA04386,70,2,7903,9,00,702,0099,62,6,,,20,,5,60,2,1,145,5,,0,3,,,,,,,2,90,0000,98,1,54,70,0,1,,1,1,8.2,10,,,1,1970-05-25,06
70LA04387,70,2,,0,70,701,0102,62,6,,,20,,1,06,,1,113,1,,0,3,,1,,165262,+,,2,62,0311,62,1,0,70,2,0,,1,1,7.2,5,,,1,1970-04-23,06
70LA04388,70,1,7720,9,99, 90,7610,61,6,,,50,,1,53,,1,109,8,,0,2,,,,,,,1,90,0002,95,1,72,76,8,1,,1,2,8.2,10,,,1,1970-04-19,06
70LA04389,70,2,7721,9,99, 90,7610,61,6,,,50,,1,53,,1,109,8,,0,2,,,,004738,-,,1,90,0002,95,0,86,76,8,1,,0,0,9.4,5,,,2,1970-04-19,06
70LA04390,70,3,7882,9,00,180,2218,86,8,,,60,,5,60,2,2,143,8,,230,4,,7,,,,,0,90,0000,98,1,0,81,0,1,,1,2,14.0,0,,,1,1970-05-23,06
70LA04391,70,2,7883,9,00,180,2218,86,8,,,60,,5,60,2,1,143,8,,0,4,,,,,,,0,90,0000,98,0,53,81,0,1,,0,0,9.4,10,,,2,1970-05-23,06
