UID,YR,SEX,LAMB,LB1,LINE,BPEN,DAM,DBRD,DB1,INBRL,BAG,ADAM,TRT,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,INBRD,FONO,FOPU,TRT2,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,DATEBN,STMD
75LA00001,75,,,0,75,751,4381,62,6,,,20,,,06,,,0,,,0,,,,,,,,2,62,4382,62,0,0,75,6,0,,0,0,0.0,0,,,1,,06
75LA00002,75,,,0,76,762,3197,62,6,,4,30,,,06,,,0,,8,0,,,,,,,,2,62,4640,62,0,0,76,6,0,,0,0,0.0,0,,,1,,06
75LA00003,75,,,0,77,770,3223,62,6,,2,30,,,06,,,0,,,0,,,,,,,,2,62,5441,62,0,0,77,6,0,,0,0,0.0,0,,,1,,06
75LA00004,75,,,0,77,770,3543,62,6,,1,30,,,06,,,0,,,0,,,,,,,,2,62,5441,62,0,0,77,6,0,,0,0,0.0,0,,,1,,06
75LA00005,75,,,0,75,750,3906,62,6,,3,30,,,06,,,0,,8,0,,,,,,,,2,62,4905,62,0,0,75,6,0,,0,0,0.0,0,,,1,,06
75LA00006,75,,,0,76,762,4047,62,6,,2,30,,,06,,,0,,8,0,,,,,,,,2,62,4640,62,0,0,76,6,0,,0,0,0.0,0,,,1,,06
75LA00007,75,,,0,76,762,2439,62,6,,2,40,,,06,,,0,,,0,,,,,,,,2,62,4640,62,0,0,76,6,0,,0,0,0.0,0,,,1,,06
75LA00008,75,,,0,76,761,2491,62,6,,2,40,,,06,,,0,,8,0,,,,,,,,2,62,4725,62,0,0,76,6,0,,0,0,0.0,0,,,1,,06
75LA00009,75,,,0,75,751,2719,62,6,,1,40,,,06,,,0,,,0,,,,,,,,2,62,4382,62,0,0,75,6,0,,0,0,0.0,0,,,1,,06
75LA00010,75,,,0,75,751,2964,62,6,,6,40,,,06,,,0,,8,0,,,,,,,,2,62,4382,62,0,0,75,6,0,,0,0,0.0,0,,,1,,06
75LA05102,75,,,1,,,9047,90,9,,1,20,,,57,,,87,2,,0,0,,0,,,,,0,93,0000,97,1,0,54,9,0,27,1,2,0.0,0,,,1,1975-03-28,54
75LA05103,75,,,0,,,9047,90,9,,1,20,,,57,,,87,2,,0,0,,0,,,,,0,93,0000,97,0,0,54,9,0,27,0,0,0.0,0,,,2,1975-03-28,54
75LA05104,75,,,1,,,9011,90,9,,1,20,,,75,,,89,9,,0,4,,0,,109993,+,,0,93,0000,97,1,0,51,9,0,27,1,3,0.0,5,,,1,1975-03-30,51
75LA05105,75,,,0,,,9011,90,9,,1,20,,,75,,,89,9,,0,4,,0,,,,,0,93,0000,97,0,0,51,9,0,27,0,0,0.0,0,,,2,1975-03-30,51
75LA05106,75,,,0,,,9011,90,9,,1,20,,,75,,,89,9,,0,4,,0,,,,,0,93,0000,97,0,0,51,9,0,27,0,0,0.0,0,,,3,1975-03-30,51
75LA05107,75,,,1,,,8964,90,9,,1,20,,,78,,,90,2,,0,3,,0,,,,,0,93,0000,97,1,0,52,9,0,27,1,2,0.0,0,,,1,1975-03-31,52
75LA05108,75,,,0,,,8964,90,9,,1,20,,,78,,,90,2,,0,3,,0,,,,,0,93,0000,97,0,0,52,9,0,27,0,0,0.0,0,,,2,1975-03-31,52
75LA05109,75,,,1,,,8718,90,9,,1,20,,,75,,,90,2,,0,3,,0,,,,,0,93,0000,97,1,0,51,9,0,27,1,2,0.0,0,,,1,1975-03-31,51
75LA05110,75,,,0,,,8718,90,9,,1,20,,,75,,,90,2,,0,3,,0,,,,,0,93,0000,97,0,0,51,9,0,27,0,0,0.0,0,,,2,1975-03-31,51
75LA05111,75,,,1,,02,0377,93,9,,,10,8,,78,,,92,0,,0,0,,0,,,,,3,93,0000,97,1,0,52,9,0,27,1,1,0.0,0,,,1,1975-04-02,52
