UID,YR,SEX,LAMB,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,BAG,ADAM,TRT,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,INBRD,FONO,FOPU,TRT2,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,DATEBN,STMD
76LA00001,76,2,9923,3,75,752,8689,18,1,,1,20,,1,07,,1,103,5,,0,4,,,,,,,8,18,8866,18,1,54,75,6,1,,1,1,9.6,10,,,1,1976-04-12,07
76LA00002,76,1,9924,3,75,750,8218,18,1,,1,20,,1,07,,1,103,8,8,0,2,,,,,,,8,18,9202,18,1,60,75,6,1,,1,2,8.0,10,,,1,1976-04-12,07
76LA00003,76,2,9925,3,75,750,8218,18,1,,1,20,,1,07,,1,103,8,8,0,2,,,,,&,,8,18,9202,18,0,55,75,6,1,,0,0,7.6,5,,,2,1976-04-12,07
76LA00004,76,1,9928,3,75,751,7614,18,1,,1,30,,1,07,,1,103,5,8,0,4,,,,,,,8,18,9362,18,1,86,75,6,1,,1,1,11.6,10,,,1,1976-04-12,07
76LA00005,76,2,9930,3,76,760,4882,18,1,,1,60,,1,07,,1,103,8,8,122,1,,6,,,&,,8,18,9169,18,1,0,76,6,1,21,1,2,8.8,0,,,1,1976-04-12,07
76LA00006,76,2,9931,3,76,760,4882,18,1,,1,60,,1,07,,1,103,8,8,0,1,,,,,,,8,18,9169,18,0,74,76,6,1,,0,0,9.9,10,,,2,1976-04-12,07
76LA00007,76,2,9932,3,76,762,8272,18,1,,2,20,,1,07,,1,103,5,8,0,4,,,,,,,8,18,9212,18,1,77,76,6,1,,1,1,12.5,10,,,1,1976-04-12,07
76LA00008,76,1,9933,3,74,741,8211,18,1,,1,20,,1,07,,1,103,5,8,0,3,,,,,,,8,18,9270,18,1,78,74,6,1,,1,1,12.7,10,,,1,1976-04-12,07
76LA00009,76,1,9937,3,74,742,3520,18,1,,4,70,,1,07,,1,103,5,,240,5,,7,,,,,8,18,9021,18,1,0,74,6,1,97,1,1,12.2,0,,,1,1976-04-12,07
76LA00010,76,1,9938,3,73,730,6804,18,1,,2,40,,1,07,,1,103,8,,0,4,,,,,,,8,18,9414,18,1,73,73,6,1,,1,2,11.2,10,,,1,1976-04-12,07
76LA05298,76,2,4683,0,,,2042,93,9, 1,,10,,4,75,,1,138,8,,0,2,,,,,,,3,93,0000,97,0,59,51,9,1,,0,0,5.8,10,,,2,1976-05-17,51
76LA05299,76,3,4692,1,,,0218,43,4, 1,,10,,5,20,,1,140,5,,0,3,,,,,,,3,93,0000,97,1,75,74,9,1,,1,1,10.0,10,,,1,1976-05-19,02
76LA05300,76,3,4696,1,,,0356,43,4, 1,,10,,5,20,,1,141,5,,0,2,,,,,,,3,93,0000,97,1,64,76,9,1,,1,1,8.3,10,,,1,1976-05-20,02
76LA05301,76,3,4698,1,,,0629,43,4, 1,,10,,5,20,,1,141,5,,0,1,,,,,,,3,93,0000,97,1,78,75,9,1,,1,1,10.3,10,,,1,1976-05-20,02
76LA05302,76,2,4709,1,,,0681,43,4, 1,,10,,5,20,,1,143,5,,0,2,,,,,,,3,93,0000,97,1,72,75,9,1,,1,1,10.8,10,,,1,1976-05-22,02
76LA05303,76,2,4710,1,,,0373,43,4, 1,,10,,5,20,,1,144,5,,0,2,,,,,,,3,93,0000,97,1,63,73,9,1,,1,1,11.7,10,,,1,1976-05-23,02
76LA05304,76,3,4711,1,,,9483,18,1,,,10,,5,10,,1,144,5,,235,2,,6,,,,,8,93,0000,97,1,0,07,9,1,01,1,1,10.3,0,,,1,1976-05-23,07
76LA05305,76,3,4714,1,,,0586,43,4,,,10,,5,20,,1,144,5,,240,2,,7,,,,,3,93,0000,97,1,0,73,9,1,97,1,1,11.4,0,,,1,1976-05-23,02
76LA05306,76,3,4717,1,,,7927,18,1,,1,30,,5,10,,1,145,5,,147,3,,6,,,,,8,93,0000,97,1,0,07,9,1,01,1,1,10.8,0,,,1,1976-05-24,07
76LA05307,76,2,4723,1,,,9292,18,1, 1,,10,,5,10,,1,147,5,,0,1,,,,,,,8,93,0000,97,1,68,07,9,1,,1,1,9.3,10,,,1,1976-05-26,07
