UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
81LA00001,1981-04-18,1,Y1814,02,,00,,00000,00,00,,1,,,,1,00,3,1,108,8,,0,,,,,568601,-,,00000,00,0,77,,0,1,,0,0,082,5,,,,81
81LA00002,1981-04-11,3,X7262,79,,00,,00000,00,00,,1,,,,1,00,3,1,101,5,,0,,,,,,&,,00000,00,0,73,,0,1,,0,0,075,5,,,,81
81LA00003,1981-04-04,2,X7032,79,,00,,00000,00,00,,1,,,,5,00,3,1,94,5,,0,0,,,,012219,-,,00000,00,0,65,,0,1,,0,0,122,5,,,,81
81LA00004,1981-04-06,2,X7136,79,,00,,00000,00,00,,1,,,,1,00,3,1,96,5,,0,,,,,,&,,00000,00,0,51,,0,1,,0,0,091,5,,,,81
81LA00005,1981-04-04,2,X7030,79,,00,,00000,00,00,,1,,,,1,00,3,1,94,5,,0,0,,,,,&,,00000,00,0,59,,0,1,,0,0,045,5,,,,81
81LA00006,1981-02-10,2,X6145,79,,00,,00000,00,00,,1,,,,4,00,3,1,41,5,,0,0,,,,,&,,00000,00,0,63,,0,1,,0,0,135,5,,,,81
81LA00007,1981-04-07,2,M0818,94,,00,,00000,00,00,,1,,,,2,00,3,1,97,5,,0,3,,,,,,,00000,00,0,54,,0,1,,0,0,088,10,,,,81
81LA00008,1981-04-15,2,M1606,94,,00,,00000,00,00,,1,,,,1,00,3,1,105,5,,0,0,,,,901742,-,,00000,00,0,73,,0,1,,0,0,086,5,,,,81
81LA00009,1981-03-19,3,X6276,79,,00,,00000,00,00,,1,,,,1,00,3,1,78,5,,0,0,,,,072019,-,,00000,00,0,62,,0,1,,0,0,066,5,,,,81
81LA00010,1981-04-10,3,X7260,79,,00,,00000,00,00,,1,,,,1,00,3,3,100,5,,0,,,,,,&,,00000,00,0,63,,0,1,,0,0,064,5,,,,81
81LA06814,1981-04-12,2,,97,,97,,U8631,97,97,,,,10,,6,97,,1,102,8,,102,4,,6,,,,,00020,97,0,0,97,,1,01,0,0,094,0,,,2,81
81LA06815,1981-04-10,1,M1039,97,1,97,,U8634,97,97,,1,,10,,6,97,,1,100,5,,0,3,,,,,,,00020,97,1,70,97,,1,,1,1,112,10,,,1,81
81LA06816,1981-04-10,1,M1064,97,1,97,,U8635,97,97,,1,,10,,6,97,,1,100,5,,0,2,,,,,,,00020,97,1,74,97,,1,,1,1,108,10,,,1,81
81LA06817,1981-04-07,1,,97,1,97,,U8639,97,97,,,,10,,6,97,,1,97,4,,97,3,,1,,719379,+,,00020,97,1,0,97,,0,44,1,2,050,5,,,1,81
81LA06818,1981-04-07,2,,97,,97,,U8639,97,97,,,,10,,6,97,,1,97,4,,97,3,,1,,,,,00020,97,0,0,97,,0,44,0,0,085,0,,,2,81
81LA06819,1981-04-03,1,M0614,97,1,97,,V9919,97,97,,1,,70,,6,97,,1,93,5,,0,3,,,,,,,00019,97,1,95,97,,1,,1,1,155,10,,,1,81
81LA06820,1981-03-24,1,M0497,97,1,97,,V9922,97,97,,1,,70,,6,97,,1,83,8,,0,4,,,,,,,00019,97,1,72,97,,1,,1,2,102,10,,,1,81
81LA06821,1981-03-24,2,M0498,97,,97,,V9922,97,97,,1,,70,,6,97,,1,83,8,,0,4,,,,,,,00019,97,0,65,97,,1,,0,0,096,10,,,2,81
81LA06822,,,,97,1,45,441,T0262,43,02,,,,60,,,55,,,0,,,0,,,,,,,,U8973,93,1,0,48,8,0,,0,0,,0,,,1,81
81LA06823,1981-04-04,2,S3536,19,1,11,114,S1143,19,07,,,,30,,1,07,,1,94,8,,95,4,,6,,,,,S2922,19,1,0,11,6,1,29,1,1,110,0,72,,1,81
