UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
83LA00001,1983-04-19,3,X9003,79,,00,,00000,00,,1,,,,1,00,3,1,109,5,,0,3,,,00,439443,-,00000,00,0,87,,0,1,,0,0,127,5,,,,83
83LA00002,1983-03-29,2,X8469,79,,00,,00000,00,,1,,,,5,00,3,3,88,5,,0,4,,,00,827762,-,00000,00,0,92,,0,1,,0,0,100,5,,,,83
83LA00003,1983-04-06,2,X8770,79,,00,,00000,00,,1,,,,1,00,3,1,96,5,,0,3,,,00,793193,-,00000,00,0,64,,0,1,,0,0,084,5,,,,83
83LA00004,1983-04-10,2,X8921,79,,00,,00000,00,,,,,,1,00,3,1,100,5,,231,3,,7,00,012219,-,00000,00,0,0,,0,1,97,0,0,084,0,,,,83
83LA00005,1983-04-15,3,X8998,79,,00,,00000,00,,,,,,1,00,3,1,105,5,,173,0,,6,00,,&,00000,00,0,0,,0,1,19,0,0,075,0,,,,83
83LA00006,1983-04-14,3,X8983,79,,00,,00000,00,,,,,,1,00,3,4,104,5,,185,0,,6,00,,&,00000,00,0,0,,0,1,01,0,0,089,0,,,,83
83LA00007,1983-04-13,3,X8980,79,,00,,00000,00,,1,,,,1,00,3,1,103,5,,0,0,,,00,938442,-,00000,00,0,77,,0,1,,0,0,103,5,,,,83
83LA00008,1983-03-29,2,X8450,79,,00,,00000,00,,,,,,1,00,3,1,88,5,,94,2,,6,00,,&,00000,00,0,0,,0,1,19,0,0,073,0,,,,83
83LA00009,1983-04-22,2,X9008,79,,00,,00000,00,,1,,,,1,00,3,1,112,5,,0,3,,,00,,&,00000,00,0,59,,0,1,,0,0,095,5,,,,83
83LA00010,1983-04-13,3,X8979,79,,00,,00000,00,,1,,,,1,00,3,1,103,5,,0,3,,,00,414843,-,00000,00,0,79,,0,1,,0,0,091,5,,,,83
83LA06966,1983-02-28,1,M4519,97,,97,297,U8562,97,,,,30,,6,97,3,2,59,9,,61,2,,6,97,,,00020,97,0,0,97,,1,46,0,0, 97,0,,,2,83
83LA06967,1983-02-28,1,M4520,97,,97,297,U8562,97,,,,30,,6,97,3,2,59,9,,60,,,6,97,,,00020,97,0,0,97,,1,46,0,0, 86,0,,,3,83
83LA06968,1983-03-03,1,M4529,97,1,97,297,U8626,97,,1,,30,,6,97,3,1,62,9,,0,4,,,97,,,00020,97,1,57,97,,1,,1,3, 98,10,,,1,83
83LA06969,1983-03-03,2,M4530,97,,97,297,U8626,97,,1,,30,,6,97,3,1,62,9,,0,4,,,97,,,00020,97,0,75,97,,1,,0,0,120,10,,,2,83
83LA06970,1983-03-03,1,M4531,97,,97,297,U8626,97,,1,,30,,6,97,3,1,62,9,,0,4,,,97,,&,00020,97,0,83,97,,1,,0,0, 94,5,,,3,83
83LA06971,1983-03-16,1,M4554,97,1,97,297,U8631,97,,1,,30,,6,97,3,1,75,8,,0,4,,,97,,,00020,97,1,102,97,,1,,1,2,152,10,,,1,83
83LA06972,1983-03-16,1,M4555,97,,97,297,U8631,97,,,,30,,6,97,3,1,75,8,,92,4,25,6,97,,&,00020,97,0,0,97,,1,19,0,0,170,0,79,,2,83
83LA06973,1983-03-03,1,M4524,97,1,97,197,U8635,97,,1,,30,,6,97,3,1,62,8,,0,4,,,97,,,00019,97,1,83,97,,1,,1,2,131,10,,,1,83
83LA06974,1983-03-03,2,M4525,97,,97,197,U8635,97,,1,,30,,6,97,3,1,62,8,,0,4,,,97,,,00019,97,0,78,97,,1,,0,0,106,10,,,2,83
83LA06975,1983-04-08,1,M5120,97,1,97,197,V9922,97,,1,,90,,6,97,3,1,98,5,,0,3,,,97,,,00019,97,1,63,97,,1,,1,1,126,10,,,1,83
