UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,MELA,Y5A,LOC_DEATH,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
84LA00001,1984-05-09,2,X0205,80,,00,,00000,00,,,O,,,1,00,3,1,130,5,,139,0,,6,00,,&,00000,00,0,0,,0,1,36,0,0,8.3,0,,,,84
84LA00002,1984-04-03,2,X9747,79,,00,,00000,00,,1,,,,1,00,3,1,94,5,,0,3,,,00,266919,-,00000,00,0,72,,0,1,,0,0,8.0,5,,,,84
84LA00003,1984-05-09,3,X0206,80,,00,,00000,00,,1,,,,1,00,3,1,130,5,,0,0,,,00,,&,00000,00,0,56,,0,1,,0,0,7.7,5,,,,84
84LA00004,1984-03-18,2,X9419,79,,00,,00000,00,,1,,,,3,00,3,1,78,5,,0,3,,,00,211502,-,00000,00,0,73,,0,1,,0,0,9.4,5,,,,84
84LA00005,1984-04-21,3,X0035,80,,00,,00000,00,,1,,,,1,00,3,1,112,5,,0,0,,,00,,&,00000,00,0,57,,0,1,,0,0,8.9,5,,,,84
84LA00006,1984-05-09,3,X0203,80,,00,,00000,00,,1,,,,1,00,3,1,130,5,,0,0,,,00,,&,00000,00,0,54,,0,1,,0,0,7.2,5,,,,84
84LA00007,1984-04-07,2,X9952,79,,00,,00000,00,,,Y,,,1,00,3,1,98,5,,100,0,,6,00,366843,-,00000,00,0,0,,0,1,21,0,0,8.4,0,,,,84
84LA00008,1984-04-13,3,X0015,80,,00,,00000,00,,1,,,,1,00,3,1,104,5,,0,0,,,00,,&,00000,00,0,57,,0,1,,0,0,11.5,5,,,,84
84LA00009,1984-05-09,3,X0204,80,,00,,00000,00,,1,,,,1,00,3,1,130,5,,0,0,,,00,,&,00000,00,0,44,,0,1,,0,0,6.6,5,,,,84
84LA00010,1984-04-09,2,X9983,79,,00,,00000,00,,1,,,,1,00,3,1,100,8,,0,2,,,00,261019,-,00000,00,0,63,,0,1,,0,0,7.0,5,99,,,84
84LA08179,1984-01-01,2,X9288,79,1,00,297,U8506,97,,1,,40,,5,00,3,1,1,8,,0,3,,,97,,,00000,00,1,67,97,0,1,,1,2,8.5,10,,,1,84
84LA08180,1984-01-01,3,X9289,79,,00,297,U8506,97,,1,,40,,6,00,3,1,1,8,,0,3,,,97,,,00000,00,0,112,97,0,1,,0,0,13.3,10,,,2,84
84LA08181,1984-02-16,,,,1,00,297,U8518,97,,,,40,,,00,3,,47,8,,47,3,,6,97,651502,+,00000,00,1,0,97,0,1,14,1,2,0.0,5,,,1,84
84LA08182,,,,97,1,97,297,U8518,97,,,,40,,,97,4,,0,,,0,,,,97,,,00020,97,1,0,97,,0,,0,0,0.0,0,,,1,84
84LA08183,1984-02-16,,,,,00,297,U8518,97,,,,40,,,00,3,,47,8,,47,3,,6,97,,,00000,00,0,0,97,0,1,14,0,0,0.0,0,,,2,84
84LA08184,1984-03-21,1,M6559,97,1,97,297,U8631,97,,1,,40,,6,97,,1,81,5,,0,3,,,97,,,00020,97,1,80,97,,1,,1,1,13.5,10,,,1,84
84LA08185,,,,97,1,97,297,U8635,97,,,,40,,,97,4,,0,,,0,,,,97,,,00020,97,1,0,97,,0,,0,0,0.0,0,,,1,84
84LA08186,1984-02-04,,,,1,00,297,U8635,97,,,,40,,,00,3,,35,8,,35,3,,6,97,648102,+,00000,00,1,0,97,0,1,14,1,2,0.0,5,,,1,84
84LA08187,1984-02-04,,,,,00,297,U8635,97,,,,40,,,00,3,,35,8,,35,3,,6,97,,,00000,00,0,0,97,0,1,14,0,0,0.0,0,,,2,84
84LA08188,1984-06-04,2,X0261,80,,00,,00000,00,,1,,00,,1,00,3,1,156,5,,0,0,,,00,,&,00000,00,,65,00,0,1,,1,1,10.5,5,,,1,84
