UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,BOND,Y5A,LOC_DEATH,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,BOSE,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
85LA00001,1985-05-13,2,X0812,80,,00,,00000,00,,1,,,,2,00,3,1,133,5,0,0,0,,,00,,&,00000,00,0,53,,0,1,,0,0,8.6,5,,,,85
85LA00002,1985-05-20,2,X0861,80,,00,,00000,00,,,O,,,1,00,3,1,140,5,0,153,0,,6,00,,&,00000,00,0,0,,0,1,23,0,0,7.7,0,,,,85
85LA00003,1985-05-20,3,X0860,80,,00,,00000,00,,,O,,,1,00,3,1,140,5,0,140,0,,3,00,,&,00000,00,0,0,,0,1,93,0,0,12.5,0,,,,85
85LA00004,1985-04-03,3,X0285,80,,00,,00000,00,,1,,,,1,00,3,1,93,8,0,0,4,,,00,454597,-,00000,00,0,75,,0,1,,0,0,10.0,5,,,,85
85LA00005,1985-05-20,3,X0862,80,,00,,00000,00,,,O,,,1,00,3,1,140,5,0,140,0,,3,00,,&,00000,00,0,0,,0,1,93,0,0,10.7,0,,,,85
85LA00006,1985-04-14,2,X0286,80,,00,,00000,00,,1,,,,5,00,3,1,104,5,0,0,3,,,00,353543,-,00000,00,0,79,,0,1,,0,0,10.0,5,,,,85
85LA00007,1985-04-25,1,X0466,80,1,44,003,P3673,01,,1,,00,0,1,52,,1,115,5,1,0,4,,,01,043080,+,M6046,95,1,82,49,8,1,,1,1,11.6,15,,,1,85
85LA00008,1985-04-10,2,M8985,94,1,44,005,P4194,01,,1,,00,0,1,52,,1,100,8,1,0,3,44,,02,,&,M6108,95,1,53,49,8,1,,1,2,6.4,5,,,1,85
85LA00009,1985-04-10,1,M8986,94,,44,005,P4194,01,,,Y,00,0,1,52,,1,100,8,0,103,3,,6,02,,,M6108,95,0,0,49,8,1,48,0,0,5.8,0,,,2,85
85LA00010,1985-04-01,2,Y7985,02,1,71,711,P4568,01,,1,,90,0,9,30,,1,91,8,1,0,3,,,30,,,Y7286,02,1,65,71,6,1,,1,2,8.6,10,08,,1,85
85LA05701,1985-04-05,1,M8741,97,1,,397,M6581,97,,,,10,,6,97,,1,95,8,0,95,4,,6,97,874394,+,00022,97,1,0,,,1,27,1,2,5.5,5,,,1,85
85LA05702,1985-04-05,1,M8742,97,,,397,M6581,97,,,,10,,6,97,,1,95,8,0,95,4,,6,97,,,00022,97,0,0,,,1,27,0,0,5.5,0,,,2,85
85LA05703,1985-04-05,2,M8761,97,1,97,397,M6582,97,,1,,10,,6,97,,1,95,5,0,0,3,,,97,,,00022,97,1,89,,,1,,1,1,9.3,10,,,1,85
85LA05704,,,,,1,,397,M6583,97,,,,10,,,97,,,0,,,0,,,,97,,,00022,97,1,0,,,0,,0,0,0.0,0,,,1,85
85LA05705,1985-04-13,1,M9218,97,1,97,297,U6961,97,,1,,60,,6,97,,1,103,8,0,0,3,04,,97,968162,-,M4554,97,1,116,,,1,,1,2,13.4,5,,,1,85
85LA05706,1985-04-13,2,M9219,97,,97,297,U6961,97,,1,,60,,6,97,,1,103,8,1,0,3,,,97,,,M4554,97,0,77,,,1,,0,0,12.7,10,,,2,85
85LA05707,1985-04-04,1,M8700,97,1,97,297,U8506,97,,1,,50,,6,97,,1,94,8,1,0,1,04,,97,248797,-,M4554,97,1,87,,,1,,1,2,11.0,5,,,1,85
85LA05708,1985-04-04,1,M8701,97,,97,297,U8506,97,,1,,50,,6,97,,1,94,8,0,0,1,,,97,655362,-,M4554,97,0,65,,,1,,0,0,9.9,5,,,2,85
85LA05709,1985-04-10,1,M8973,97,1,97,297,U8518,97,,1,,50,,6,97,,1,100,5,0,0,3,,,97,,,M4554,97,1,93,,,1,,1,1,10.6,10,,,1,85
85LA05710,,,,,1,,297,U8631,97,,,,50,,,97,,,0,,,0,,,,97,,,M4554,97,1,0,,,0,,0,0,0.0,0,,,1,85
