UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,TENT,TIME,ADAM,Y5A,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
86LA00001,1986-04-23,1,T8121,43,,00,,00000,00,1,,,,1,00,3,1,113,5,,114,0,,3,00,,&,00000,00,1,0,,0,1,93,1,1,11.5,0,,,,86
86LA00002,1986-03-23,3,X0898,80,,00,,00000,00,,,,1,5,00,3,1,82,8,,0,2,,,00,372419,-,00000,00,1,78,,0,1,,1,2,8.4,5,,,,86
86LA00003,1986-03-23,2,X1078,80,,00,,00000,00,,,,1,5,00,3,1,82,5,,0,3,,,00,664494,-,00000,00,1,88,,0,1,,1,1,11.0,5,,,,86
86LA00004,1986-03-14,3,X0895,80,,00,,00000,00,,,,1,1,00,3,1,73,5,,0,3,,,00,456297,-,00000,00,1,87,,0,1,,1,1,12.0,5,,,,86
86LA00005,1986-03-31,3,K1837,63,,00,,00000,00,,,,,1,00,3,1,90,8,,233,2,,7,00,146363,-,00000,00,1,0,,0,1,97,1,2,6.5,0,,,,86
86LA00006,1986-03-14,2,X0896,80,,00,,00000,00,,,,1,5,00,3,1,73,5,,0,3,,,00,456297,-,00000,00,1,88,,0,1,,1,1,12.0,5,,,,86
86LA00007,1986-04-19,2,X2356,80,,00,,00000,00,5,,,1,1,00,3,1,109,5,,0,0,,,00,,&,00000,00,1,79,,0,1,,1,1,9.8,5,,,,86
86LA00008,1986-04-09,3,X1350,80,,00,,00000,00,3,,,,1,00,3,1,99,5,,112,3,,3,00,,&,00000,00,1,0,,0,1,93,1,1,10.6,0,,,,86
86LA00009,1986-03-24,2,X0901,80,,00,,00000,00,,,,1,5,00,3,1,83,8,,0,3,,,00,393819,-,00000,00,1,74,,0,1,,1,2,4.9,5,,,,86
86LA00010,1986-04-19,3,X2310,80,,00,,00000,00,1,,,,1,00,3,1,109,8,,111,0,,3,00,,&,00000,00,1,0,,0,1,93,1,2,7.9,0,,,,86
86LA06130,1986-04-14,2,,,1,,497,M8761,97,5,,10,,6,97,,1,104,1,,0,1,,1,97,,,M6553,97,1,0,,,0,,1,1,6.9,0,,,1,86
86LA06131,1986-04-13,2,X1724,80,1,97,497,M8799,97,4,,10,1,6,97,,1,103,5,,0,2,,,97,,,M6553,97,1,87,,,1,,1,1,10.1,10,,,1,86
86LA06132,,,,,1,,497,M8863,97,,,10,,,97,,,0,,,0,,,,97,,,M6553,97,1,0,,,0,,0,0,0.0,0,,,1,86
86LA06133,,,,,1,,397,M8884,97,,,10,,,97,,,0,,2,0,,,,97,,,00022,97,1,0,,,0,,0,0,0.0,0,,,1,86
86LA06134,,,,,1,,397,M8955,97,,,10,,,97,,,0,,,0,,,,97,,,00022,97,0,0,,,0,,0,0,0.0,0,,,1,86
86LA06135,1986-04-20,1,X2413,80,1,97,397,M8956,97,3,17,10,1,6,97,,1,110,5,1,0,2,,,97,,,00022,97,1,103,,,1,,1,1,12.3,10,,4,1,86
86LA06136,1986-04-17,1,X2115,80,1,97,397,M9037,97,1,13,10,1,6,97,,1,107,5,,0,3,,,97,,,00022,97,1,107,,,1,,1,1,12.1,10,,4,1,86
86LA06137,1986-04-18,2,X2217,80,1,97,497,M9210,97,5,,10,1,6,97,,2,108,5,2,0,2,,,97,,,M6553,97,1,92,,,1,,1,1,11.3,10,,,1,86
86LA06138,1986-04-17,2,X2186,80,1,97,497,M9557,97,4,13,10,1,6,97,,2,107,7,,0,2,,,97,,&,M6553,97,1,47,,,1,,1,2,9.9,5,,2,1,86
86LA06139,1986-04-17,2,,,,,497,M9557,97,4,13,10,,6,97,,1,107,7,,0,2,,1,97,,,M6553,97,0,0,,,0,,0,0,4.5,0,,2,2,86
