UID,DAM,DBRD,LNDAM,BPEN,ADAM,STMD,TRT,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JUWT,JDAY,BAND,SPEC,DATEBN,YR
89LA00001,S7866,19,13,143,20,07,7,,,,,,0.0,,,,,,0,,,,,,1,S8162,19,07,1x,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00002,M9332,94,47,  1,40,55,7,,,,,,0.0,,,,,,0,,,,,,1,X1162,80,56,00,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00003,Y5273,02,71,713,60,30,,,0419,6,2,,0.0,,,,,0,0,,,BRN.BLOB,,51,2,L2370,03,30,71,109,,0,0,0,0,0,0,0,0,0,0,,,1989-04-19,89
89LA00004,S6375,19,12,881,40,07,,,,,,,0.0,,,,,,0,,,,,,1,S8291,19,07,12,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00005,Y8078,02,70,701,40,30,,,0412,6,2,1,7.4,1,1,,,6,102,29,360603,MESS,,50,1,L0795,03,30,70,102,+,1,1,1,2,1,0,5,0,0,0,,,1989-04-12,89
89LA00006,M9088,94,67,BF3,40,56,1,,0503,7,4,2,7.0,5,1,,,1,123,44,,BVD?,,45,2,00000,97,59,00,123,,0,0,0,0,0,0,0,0,0,0,,B,1989-05-03,89
89LA00007,K3136,63,63,C3,10,06,7,,,,,,0.0,,,,,,0,,,,,,1,K2612,63,06,6x,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00008,K1538,63,63,601,40,06,7,,,,,,0.0,,,,,,0,,,,,,1,K2854,63,06,63,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00009,Y9167,02,71,712,30,30,,,0407,9,3,1,8.0,1,1,,,1,97,44,,,,,2,L2503,03,30,71,97,,0,0,0,0,0,0,0,0,0,0,,,1989-04-07,89
89LA00010,M6649,94,45,  7,50,55,7,,0402,9,2,,0.0,,,,,0,0,,,,,,2,S6923,19,58,00,92,,0,0,0,0,0,0,0,0,0,0,,,1989-04-02,89
89LA04834,X3961,80,65,BF2,20,56,1,,0513,8,3,3,13.1,5,1,X9029,80,,0,,,,,,1,00000,97,59,00,133,,1,1,1,2,1,1,10,61,32,180,2,A,1989-05-13,89
89LA04835,X3961,80,65,BF2,20,56,1,,0513,8,3,2,12.6,5,1,X9030,80,,0,,,,,,2,00000,97,59,00,133,,0,0,0,0,1,1,10,102,42,180,2,A,1989-05-13,89
89LA04836,T8843,43,42,912,20,02,,,0513,5,1,3,13.7,5,1,X9031,80,3,137,93,,SM.BAG,29,,1,00000,97,20,00,133,&,1,1,1,1,1,0,0,0,0,0,,2,1989-05-13,89
89LA04837,T6627,43,42,942,50,02,,,0514,8,2,2,8.9,5,1,X9032,80,3,135,93,,FIBERY,02,,1,00000,97,20,00,134,&,1,1,1,2,1,0,0,0,0,0,,2,1989-05-14,89
89LA04838,T6627,43,42,942,50,02,,,0514,8,2,3,13.4,5,1,X9034,80,7,223,97,,,,,2,00000,97,20,00,134,,0,0,0,0,1,0,0,0,28,180,2,2,1989-05-14,89
89LA04839,T6671,43,42,952,50,02,,,0515,8,3,2,10.0,5,1,X9035,80,,0,,,,,,1,00000,97,20,00,135,,1,1,1,2,1,1,10,76,23,180,2,2,1989-05-15,89
89LA04840,T6671,43,42,952,50,02,,,0515,8,3,3,12.3,5,1,X9036,80,,0,,,,,,2,00000,97,20,00,135,,0,0,0,0,1,1,10,89,36,180,2,2,1989-05-15,89
89LA04841,K3035,63,63,  5,20,06,7,,0522,8,4,2,8.0,1,1,X9037,80,7,223,97,,,,,1,Y8923,02,59,00,142,,1,1,1,2,1,0,0,0,0,0,,,1989-05-22,89
89LA04842,K3035,63,63,  5,20,06,7,,0522,8,4,3,9.6,1,1,X9038,80,6,153,01,,,,,2,Y8923,02,59,00,142,,0,0,0,0,1,0,0,0,0,0,,,1989-05-22,89
89LA04843,M3265,94,47,  5,70,55,7,,0522,7,2,2,7.7,1,1,X9039,80,6,144,24,,L.BLOODY MILK,01,,1,Y8923,02,55,00,142,,1,1,1,2,1,0,0,0,0,0,,,1989-05-22,89
